Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.237548828125,24.705318351259162,23.798598610986176,24.694233092060063,212818400
2015-01-05,23.554744720458984,24.086805174772298,23.368524491704783,24.006996022056626,257142000
2015-01-06,23.55695915222168,23.816338020280458,23.19560061965636,23.61903255400942,263188400
2015-01-07,23.88727569580078,23.987036263456744,23.654498782772745,23.76534460966741,160423600
2015-01-08,24.80508041381836,24.862720720656704,24.097883456887466,24.215381460812253,237458000
2015-01-09,24.831689834594727,25.106587091638215,24.432644065198065,24.97800548912445,214798000
2015-01-12,24.219812393188477,24.969129549868345,24.120051828758882,24.962479071089444,198603200
2015-01-13,24.43485450744629,25.00681938380781,24.144438980365567,24.70310120728101,268367600
2015-01-14,24.34174346923828,24.494709555233538,24.053543652156318,24.173257344265455,195826400
2015-01-15,23.681100845336914,24.39938128317444,23.645631062558422,24.386080326054127,240056000
2015-01-16,23.49710464477539,23.849595354822647,23.321967985130645,23.727664233749223,314053200
2015-01-20,24.10232162475586,24.157744549135312,23.610165785646576,23.907231848461198,199599600
2015-01-21,24.286325454711914,24.62107869073436,24.00255866913812,24.153309086853763,194303600
2015-01-22,24.918142318725586,24.933660666894788,24.324008616661335,24.443722313126493,215185600
2015-01-23,25.046728134155273,25.21742999298039,24.72527416557457,24.89597771577307,185859200
2015-01-26,25.07332420349121,25.35265614411919,25.00681772616178,25.215206718108252,222460000
2015-01-27,24.195432662963867,24.935883840684372,24.171046439988512,24.92258118818741,382274800
2015-01-28,25.563274383544922,26.18622933247056,25.563274383544922,26.077599160443782,585908400
2015-01-29,26.359142303466797,26.423433096590607,25.618691178673068,25.787177336812245,337745600
2015-01-30,25.973398208618164,26.603001772030364,25.904672637239905,26.248295420011285,334982000
2015-02-02,26.299280166625977,26.4189938621203,25.733967466726934,26.170700293426666,250956400
2015-02-03,26.30372428894043,26.401267500696697,26.073164685143794,26.270470190930336,207662800
2015-02-04,26.505455017089844,26.71606311438626,26.22834043488918,26.2704623926231,280598800
2015-02-05,26.69464111328125,26.759185637251118,26.541069601144372,26.7124451524758,168984800
2015-02-06,26.4698486328125,26.763636508266117,26.36301590626183,26.712445437657788,174826400
2015-02-09,26.645673751831055,26.672380657208517,26.358562632684485,26.385271236110356,155559200
2015-02-10,27.157575607299805,27.186510351861603,26.743603296210924,26.745827739601534,248034000
2015-02-11,27.794118881225586,27.803021749787224,27.264410937172286,27.32450317740265,294247200
2015-02-12,28.145767211914062,28.372786055941305,27.94768310768235,28.05674024755138,297898000
2015-02-13,28.283763885498047,28.328276526199947,27.96549358013913,28.328276526199947,217088800
2015-02-17,28.45068359375,28.68437915950236,28.248147210358212,28.375010080839985,252609600
2015-02-18,28.648771286010742,28.66212473782531,28.36611077024827,28.406172823740263,179566800
2015-02-19,28.58867835998535,28.71776739221714,28.56197145541902,28.595355086126933,149449600
2015-02-20,28.82238006591797,28.82238006591797,28.49965911505575,28.626520334703407,195793600
2015-02-23,29.601362228393555,29.601362228393555,28.857990488247626,28.93811461207815,283896400
2015-02-24,29.4166259765625,29.73489796822131,29.19405938517191,29.588003202840323,276912400
2015-02-25,28.664348602294922,29.2897635504534,28.52190612565482,29.2808589853591,298846800
2015-02-26,29.02713394165039,29.12728822683171,28.179155786433736,28.66434931718159,365150000
2015-02-27,28.590904235839844,29.060519853426552,28.541939316766616,28.93365527325596,248059200
2015-03-02,28.731128692626953,28.99598355557924,28.555302529375826,28.766740172507415,192386800
2015-03-03,28.791215896606445,28.826827368145587,28.508555359921896,28.702190613855443,151265200
2015-03-04,28.608713150024414,28.835732063722944,28.559751615792635,28.73335331565114,126665200
2015-03-05,28.1346492767334,28.655454390000926,27.989980623698415,28.617618469406004,226068400
2015-03-06,28.17693328857422,28.7934420686846,28.101261454083147,28.577552179150562,291368400
2015-03-09,28.297119140625,28.837957778090015,27.83418017642311,28.479623696005753,354114000
2015-03-10,27.711772918701172,28.314928311443243,27.553750807514756,28.13464987578879,275426400
2015-03-11,27.20654296875,27.769636241841642,27.17760991964379,27.765185656613205,275756000
2015-03-12,27.698415756225586,27.79857175613911,27.070777942685456,27.22212331535712,193450800
2015-03-13,27.507001876831055,27.909848527679312,27.28221086122838,27.687281955206664,207309200
2015-03-16,27.809696197509766,27.809696197509766,27.346758956585212,27.571550001661393,143497200
2015-03-17,28.274858474731445,28.3371768453286,27.96549106494682,28.021132709844032,204092400
2015-03-18,28.59313201904297,28.74670351988461,28.125742488103533,28.26595883797083,261083600
2015-03-19,28.377243041992188,28.766734613156785,28.354986720392482,28.655451307109757,183238000
2015-03-20,28.021135330200195,28.577550133156368,27.856436521356393,28.544166501534818,274780400
2015-03-23,28.312702178955078,28.45514469325615,28.159130653391948,28.292671996341824,150838800
2015-03-24,28.196964263916016,28.497427148688423,28.168029517967973,28.31715043665406,131369200
2015-03-25,27.46026611328125,28.225895749966426,27.46026611328125,28.16357737452431,206620800
2015-03-26,27.651676177978516,27.794118677825203,27.28666705986531,27.32227853385125,190291600
2015-03-27,27.43132972717285,27.754050574155617,27.35565790850584,27.725117531379674,158184800
2015-03-30,28.125743865966797,28.132420592756837,27.59826037492282,27.60938938493857,188398800
2015-03-31,27.693967819213867,28.152454566424634,27.67838822192172,28.0634275684486,168362400
2015-04-01,27.653898239135742,27.847531779753435,27.3979463262866,27.780761124906427,162485600
2015-04-02,27.89204978942871,27.94546530476479,27.64055011075808,27.82750526345867,128880400
2015-04-06,28.343852996826172,28.37946446390211,27.67170268722584,27.702861871893177,148776000
2015-04-07,28.045612335205078,28.51522620847483,28.03893561017987,28.408395211975346,140049200
2015-04-08,27.954364776611328,28.13241873682573,27.81414842912516,28.010006426922278,149316800
2015-04-09,28.16802406311035,28.172476345339447,27.745148945945807,28.010002004940247,129936000
2015-04-10,28.288217544555664,28.312700009016844,27.878695771838775,28.032265587583318,160752000
2015-04-13,28.232566833496094,28.615383273375624,28.179151336371337,28.570867246016924,145460400
2015-04-14,28.110158920288086,28.330499352662446,28.02335809244218,28.26595484256325,102098400
2015-04-15,28.216995239257812,28.294893215067187,28.045619692477185,28.13464667828012,115881600
2015-04-16,28.081228256225586,28.288215267615023,28.067874803248348,28.105710718716157,113476000
2015-04-17,27.765188217163086,28.074555709550506,27.700643688082796,27.94324220759483,207828000
2015-04-20,28.399497985839844,28.515231871372787,27.858661076767103,27.947688056895437,188217200
2015-04-21,28.245922088623047,28.53303144803939,28.192504893247314,28.51077683037157,129740400
2015-04-22,28.62651252746582,28.682154172649728,28.114610410602825,28.263729612164116,150618000
2015-04-23,28.860210418701172,29.02713536756887,28.519683794698807,28.555295265520478,183083600
2015-04-24,28.995975494384766,29.073875160454126,28.762279892273376,29.04271597324572,178103600
2015-04-27,29.52346420288086,29.630298638040404,29.18961423422666,29.447792358382642,387816800
2015-04-28,29.058286666870117,29.94410053747658,28.837947967683483,29.92629820299544,475696000
2015-04-29,28.63097381591797,29.287544756394485,28.555301969728283,28.969276075956806,253544400
2015-04-30,27.85421371459961,28.630970767541644,27.727350805104503,28.630970767541644,332781600
2015-05-01,28.699954986572266,28.962585272787464,27.88758846459079,28.065640679826636,234050400
2015-05-04,28.64432716369629,29.06052910836705,28.546397294361995,28.82238116284069,203953200
2015-05-05,27.99888801574707,28.588688338085316,27.99443573139983,28.521917657268293,197085600
2015-05-06,27.823049545288086,28.210314931617717,27.455814336746123,28.168026736668235,288564000
2015-05-07,27.995149612426758,28.17841652722197,27.718012947016163,27.885635187565743,175763600
2015-05-08,28.522600173950195,28.522600173950195,28.185120262756058,28.312513093384876,222201600
2015-05-11,28.232046127319336,28.509180998854276,28.07783316974487,28.471187045728733,168143200
2015-05-12,28.1314754486084,28.357205448229426,27.896803688642215,28.07113050226684,192640000
2015-05-13,28.162765502929688,28.426491170136035,28.131476161493442,28.19405484436593,138776800
2015-05-14,28.819841384887695,28.819841384887695,28.419784589174334,28.47565865289466,180814000
2015-05-15,28.779621124267578,28.940538742139225,28.654463734874764,28.846670700094613,152832000
2015-05-18,29.096986770629883,29.21543954872697,28.68798809123903,28.69245897256814,203531600
2015-05-19,29.070159912109375,29.251191335426242,28.97405474783214,29.208726500765295,178532800
2015-05-20,29.067922592163086,29.27353873903243,28.90700501456408,29.054513362410205,145819600
2015-05-21,29.365171432495117,29.418811758884058,29.016517836672143,29.07015816306108,158921600
2015-05-22,29.622203826904297,29.718309027826777,29.367418132070213,29.412120128936607,182384000
2015-05-26,28.969589233398438,29.704893968093028,28.85784108371209,29.635610660932755,282790400
2015-05-27,29.510446548461914,29.559616001614543,29.065691145330188,29.130503564331832,183332800
2015-05-28,29.45233726501465,29.49033122049038,29.300361443111733,29.470217375288346,122933200
2015-05-29,29.117095947265625,29.37858619337023,29.032166267061793,29.329416737492505,203538000
2015-06-01,29.17519760131836,29.36517076898995,29.065686626553163,29.117089806754826,128451200
2015-06-02,29.045576095581055,29.20202279900119,28.902538622413736,29.023225104971452,134670400
2015-06-03,29.081335067749023,29.264603655579336,29.032165612979068,29.20202496955987,123934000
2015-06-04,28.91147232055664,29.184137992765837,28.810899699560547,28.960641763760385,153800400
2015-06-05,28.752792358398438,28.98523037753398,28.687979943807765,28.942765542675627,142507200
2015-06-08,28.56282615661621,28.877956739709482,28.34603448543426,28.808670026111816,210699200
2015-06-09,28.47789764404297,28.62540601795868,28.075605334088277,28.316980038004523,224301600
2015-06-10,28.804195404052734,28.90700176077434,28.57399285331299,28.58963752131075,156349200
2015-06-11,28.739389419555664,29.094747730712573,28.714804689270927,28.871251422772424,141563600
