regime,side,symbol,entry_timestamp,entry_price,entry_reason,exit_timestamp,exit_price,exit_reason,entry_atr,hold_minutes,realized_price_move,return_frac,realized_atr_capture,winner,mfe_price_move,mae_price_move,capture_ratio,giveback_price_move,mfe_atr,giveback_atr
baseline_next_open_hybrid,short,SPY,2025-03-21 16:50:00+00:00,562.71,next_open,2025-03-21 17:30:00+00:00,561.98,soft_exit,1.146383605083455,40.0,0.7300000000000182,0.0012972934548879853,0.6367851012200015,True,0.7699999999999818,0.8999999999999773,0.9480519480519941,0.03999999999996362,0.6716774355333937,0.034892334313392136
baseline_next_open_hybrid,long,SPY,2025-03-21 17:30:00+00:00,561.98,next_open,2025-03-21 18:00:00+00:00,563.115,urgent_exit_prob,1.0791399975215665,30.0,1.134999999999991,0.002019644827218059,1.0517634436743302,True,1.8999999999999773,0.15499999999997272,0.597368421052634,0.7649999999999864,1.760661271349092,0.7088978276747618
baseline_next_open_hybrid,short,SPY,2025-03-21 17:50:00+00:00,563.61,next_open,2025-03-21 18:31:00+00:00,562.42,soft_exit,1.070687038679315,41.0,1.1900000000000546,0.002111389081102277,1.111435888369314,True,1.5149999999999864,0.2699999999999818,0.7854785478548286,0.3249999999999318,1.4149793032600153,0.3035434148907014
baseline_next_open_hybrid,long,SPY,2025-03-21 18:31:00+00:00,562.42,next_open,2025-03-24 14:10:00+00:00,572.11,urgent_exit_prob,1.0165736284808233,4059.0,9.690000000000055,0.017229117029977647,9.53201984442669,True,10.540000000000077,0.9049999999999727,0.9193548387096758,0.8500000000000227,10.368161936043085,0.8361420916163941
baseline_next_open_hybrid,short,SPY,2025-03-24 14:20:00+00:00,572.99,next_open,2025-03-24 15:00:00+00:00,573.54,soft_exit,1.2539985215200766,40.0,-0.5499999999999545,-0.0009598771357265477,-0.4385970083387766,False,0.2999999999999545,0.67999999999995,-1.8333333333334596,0.849999999999909,0.23923473182113436,0.6778317401599109
baseline_next_open_hybrid,long,SPY,2025-03-24 14:40:00+00:00,572.84,next_open,2025-03-24 15:20:00+00:00,573.94,urgent_exit_delta,1.1792130109025132,40.0,1.1000000000000227,0.0019202569652958523,0.9328255284074041,True,1.1299999999999955,0.12999999999999545,0.9734513274336524,0.029999999999972715,0.9582662246366732,0.025440696229269172
baseline_next_open_hybrid,short,SPY,2025-03-24 15:10:00+00:00,573.81,next_open,2025-03-24 15:50:00+00:00,573.335,soft_exit,1.0332729537000105,40.0,0.47499999999990905,0.0008278001429042873,0.45970428075079134,True,0.6599999999999682,0.16000000000008185,0.7196969696968666,0.18500000000005912,0.6387470006222437,0.17904271987145234
baseline_next_open_hybrid,long,SPY,2025-03-24 15:50:00+00:00,573.335,next_open,2025-03-24 16:20:00+00:00,573.79,urgent_exit_delta,0.8988278017135031,30.0,0.45499999999992724,0.000793602344179023,0.5062148713385662,True,1.05499999999995,0.0049999999999954525,0.43127962085303206,0.6000000000000227,1.1737509654115328,0.6675360940729665
baseline_next_open_hybrid,short,SPY,2025-03-24 16:00:00+00:00,573.83,next_open,2025-03-24 16:40:00+00:00,573.19,soft_exit,0.8764115301625413,40.0,0.6399999999999864,0.0011153128975480305,0.7302505478006326,True,0.8000000000000682,0.5599999999999454,0.7999999999999148,0.16000000000008185,0.912813184750888,0.18256263695025543
baseline_next_open_hybrid,short,SPY,2025-03-24 16:50:00+00:00,573.42,next_open,2025-03-24 17:30:00+00:00,573.12,soft_exit,0.7989124532721424,40.0,0.2999999999999545,0.0005231767290990104,0.3755104814942247,True,0.9599999999999227,0.04000000000007731,0.3124999999999778,0.6599999999999682,1.2016335407816046,0.8261230592873798
