entry_timestamp,entry_price,side,symbol,exit_timestamp,exit_price,entry_atr,open,high,low,close,hold_minutes,price_move,atr_capture,return_frac,winner
2026-02-13 14:40:00+00:00,679.86,long,SPY,2026-02-13 15:00:00+00:00,679.885,1.6249681120549486,679.86,682.745,677.53,681.365,20.0,0.024999999999977263,0.015384917288230382,3.677227664522498e-05,True
2026-02-13 15:10:00+00:00,682.455,long,SPY,2026-02-13 17:10:00+00:00,685.2,1.786962442487139,682.455,682.88,680.58,681.01,120.0,2.7450000000000045,1.536126297192595,0.004022243224828026,True
2026-02-13 17:40:00+00:00,685.935,short,SPY,2026-02-13 20:50:00+00:00,681.18,1.4925482500466607,685.935,686.24,685.44,685.92,190.0,4.7549999999999955,3.1858266557555797,0.006932143716241328,True
2026-02-17 14:30:00+00:00,680.15,short,SPY,2026-02-17 15:00:00+00:00,676.42,1.3842813580363877,680.15,682.71,680.12,682.71,30.0,3.730000000000018,2.6945389232800534,0.005484084393148597,True
2026-02-17 15:00:00+00:00,676.42,long,SPY,2026-02-17 15:30:00+00:00,677.43,1.7215948045211065,676.42,678.53,676.315,677.38,30.0,1.009999999999991,0.5866653392236166,0.001493155140297464,True
2026-02-17 15:40:00+00:00,675.87,long,SPY,2026-02-17 16:20:00+00:00,682.76,1.9039005677823593,675.87,678.18,675.79,677.68,40.0,6.889999999999986,3.61888646738804,0.010194268128486117,True
2026-02-17 16:20:00+00:00,682.76,short,SPY,2026-02-17 17:20:00+00:00,681.365,1.8977585932015875,682.76,683.2,681.535,681.57,60.0,1.3949999999999818,0.7350776884885902,0.0020431776905500934,True
2026-02-17 17:20:00+00:00,681.365,long,SPY,2026-02-17 19:00:00+00:00,684.06,1.6733052020061894,681.365,682.1,680.49,682.1,100.0,2.6949999999999363,1.6105848453520601,0.003955295619821886,True
2026-02-17 19:00:00+00:00,684.06,short,SPY,2026-02-17 20:10:00+00:00,683.39,1.4391282873098727,684.06,684.49,683.845,683.89,70.0,0.6699999999999591,0.4655596070954686,0.0009794462474051386,True
2026-02-17 20:00:00+00:00,683.57,long,SPY,2026-02-18 15:10:00+00:00,687.48,1.2034356651381783,683.57,684.09,683.33,683.36,1150.0,3.909999999999968,3.2490311806996535,0.0057199701566774674,True
2026-02-18 15:20:00+00:00,687.95,short,SPY,2026-02-18 16:20:00+00:00,688.13,1.3230669936969601,687.95,688.15,687.535,687.85,60.0,-0.17999999999994998,-0.13604753263248423,-0.0002616469220146086,False
2026-02-18 16:40:00+00:00,688.53,short,SPY,2026-02-18 20:00:00+00:00,684.62,0.9910088703217382,688.53,688.63,688.06,688.06,200.0,3.909999999999968,3.9454742708110757,0.005678764904942368,True
2026-02-18 17:00:00+00:00,687.56,long,SPY,2026-02-18 17:20:00+00:00,688.58,1.0080892810427262,687.56,688.885,687.38,688.49,20.0,1.0200000000000955,1.0118151429455229,0.0014835068939438312,True
2026-02-18 20:00:00+00:00,684.62,long,SPY,2026-02-18 20:50:00+00:00,686.47,0.9209299432499645,684.62,685.33,684.44,684.55,50.0,1.8500000000000227,2.008839014910697,0.002702228973737286,True
2026-02-18 20:40:00+00:00,685.53,short,SPY,2026-02-19 14:40:00+00:00,683.68,0.9333923393680272,685.53,686.49,685.345,686.39,1080.0,1.8500000000000227,1.9820175525038097,0.0026986419266844964,True
2026-02-19 14:40:00+00:00,683.68,long,SPY,2026-02-19 15:00:00+00:00,684.9,1.1942503533496889,683.68,684.74,682.98,684.13,20.0,1.2200000000000273,1.0215613473155898,0.001784460566346846,True
2026-02-19 15:00:00+00:00,684.9,short,SPY,2026-02-19 18:00:00+00:00,682.42,1.2711648454902928,684.9,686.135,684.38,684.425,180.0,2.480000000000018,1.9509664767699528,0.003620966564461992,True
2026-02-19 15:30:00+00:00,683.86,long,SPY,2026-02-19 15:40:00+00:00,685.43,1.3355026113491835,683.86,685.83,683.79,685.45,10.0,1.5699999999999363,1.1755873681249138,0.0022957915362793457,True
2026-02-19 17:10:00+00:00,683.04,long,SPY,2026-02-19 17:20:00+00:00,684.08,1.305465537878572,683.04,684.22,683.01,684.01,10.0,1.0400000000000773,0.7966506735138442,0.0015226048254861624,True
2026-02-19 18:00:00+00:00,682.42,long,SPY,2026-02-19 19:00:00+00:00,683.73,1.2221286256387691,682.42,682.67,682.07,682.67,60.0,1.3100000000000591,1.071900266893235,0.0019196389320361718,True
2026-02-19 19:00:00+00:00,683.73,short,SPY,2026-02-19 19:50:00+00:00,682.53,1.1258689658155345,683.73,684.04,683.41,683.92,50.0,1.2000000000000455,1.0658433942450962,0.0017550787591593838,True
2026-02-19 19:40:00+00:00,682.02,long,SPY,2026-02-20 14:50:00+00:00,684.26,1.0830670432282743,682.02,682.66,681.915,682.47,1150.0,2.240000000000009,2.068200684348487,0.003284361162429361,True
2026-02-20 15:00:00+00:00,684.89,long,SPY,2026-02-20 15:10:00+00:00,687.035,1.4095537686252473,684.89,689.32,684.74,687.1,10.0,2.144999999999982,1.5217581959232551,0.003131889792521436,True
2026-02-20 15:20:00+00:00,686.85,long,SPY,2026-02-20 15:50:00+00:00,688.17,1.5783652392738126,686.85,688.07,686.41,686.78,30.0,1.3199999999999363,0.836308331655386,0.0019218169906092264,True
2026-02-20 15:50:00+00:00,688.17,short,SPY,2026-02-20 17:20:00+00:00,685.08,1.652080331882131,688.17,689.145,687.62,688.82,90.0,3.089999999999918,1.8703690978995182,0.004490169580190823,True
2026-02-20 16:30:00+00:00,686.1,long,SPY,2026-02-20 16:40:00+00:00,688.12,1.6373923979301737,686.1,688.085,685.94,688.085,10.0,2.019999999999982,1.2336688521050068,0.002944177233639378,True
2026-02-20 17:20:00+00:00,685.08,long,SPY,2026-02-20 18:50:00+00:00,689.1,1.5663215393970709,685.08,685.2,684.1,685.2,90.0,4.019999999999982,2.5665228363950185,0.005867927833245634,True
2026-02-20 18:50:00+00:00,689.1,short,SPY,2026-02-20 19:30:00+00:00,688.68,1.561930728091357,689.1,689.54,688.3,689.27,40.0,0.42000000000007276,0.2688979686783568,0.0006094906399652776,True
2026-02-20 20:10:00+00:00,689.03,short,SPY,2026-02-23 16:10:00+00:00,681.15,1.225691825280745,689.03,689.18,688.57,688.66,4080.0,7.8799999999999955,6.429022236641808,0.011436367066745999,True
2026-02-23 16:10:00+00:00,681.15,long,SPY,2026-02-23 16:50:00+00:00,682.05,1.3363466198774134,681.15,681.61,680.385,681.47,40.0,0.8999999999999773,0.6734779634362652,0.0013212948689715898,True
2026-02-23 16:30:00+00:00,682.66,short,SPY,2026-02-23 17:10:00+00:00,681.96,1.2934825446902138,682.66,683.06,682.42,682.51,40.0,0.6999999999999318,0.5411746782926864,0.0010254006386780123,True
2026-02-23 17:30:00+00:00,681.67,long,SPY,2026-02-23 18:20:00+00:00,683.13,1.0913700888147146,681.67,681.7,680.62,680.68,50.0,1.4600000000000364,1.33776801743364,0.0021417988176097857,True
2026-02-23 18:20:00+00:00,683.13,short,SPY,2026-02-23 19:30:00+00:00,681.29,1.0432760891783892,683.13,683.9,683.13,683.78,70.0,1.8400000000000318,1.7636750416173022,0.002693484402675965,True
2026-02-23 19:30:00+00:00,681.29,long,SPY,2026-02-24 14:50:00+00:00,684.9,0.9106843496778441,681.29,681.63,680.97,681.11,1160.0,3.6100000000000136,3.964051870746496,0.005298771448281947,True
2026-02-24 15:00:00+00:00,683.125,long,SPY,2026-02-24 15:30:00+00:00,686.33,1.2723975884800578,683.125,683.99,682.07,683.95,30.0,3.205000000000041,2.5188667669738143,0.004691674290942416,True
2026-02-24 16:00:00+00:00,685.36,long,SPY,2026-02-24 17:30:00+00:00,687.45,1.2167174307492363,685.36,686.25,685.3,686.15,90.0,2.090000000000032,1.7177365485041511,0.0030494922376562705,True
2026-02-24 17:40:00+00:00,687.4,short,SPY,2026-02-24 18:30:00+00:00,687.04,0.8907578567666642,687.4,687.6,686.98,687.6,50.0,0.36000000000001364,0.4041502382103786,0.0005237125400058389,True
2026-02-24 18:40:00+00:00,687.67,short,SPY,2026-02-24 19:20:00+00:00,686.93,0.7549240437740217,687.67,687.87,687.51,687.65,40.0,0.7400000000000091,0.9802310657647038,0.0010760975467884438,True
2026-02-24 19:30:00+00:00,686.89,long,SPY,2026-02-24 21:00:00+00:00,687.45,0.6570003067639103,686.89,687.11,686.79,687.01,90.0,0.5600000000000591,0.8523588105435882,0.0008152688203351133,True
2026-02-25 14:30:00+00:00,690.14,long,SPY,2026-02-25 14:40:00+00:00,691.19,0.8470068536603129,690.14,691.22,690.14,691.11,10.0,1.0500000000000682,1.2396593905498248,0.0015214304344046692,True
2026-02-25 14:50:00+00:00,691.68,short,SPY,2026-02-25 15:30:00+00:00,691.13,0.8824701952479254,691.68,691.94,690.85,691.39,40.0,0.5499999999999545,0.6232505108520237,0.00079516539440197,True
