symbol,timestamp,open,high,low,close,volume,p_enter_long,p_enter_short,p_exit_long,p_exit_short,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short,long_valid_signal,short_valid_signal,long_ref_high,short_ref_low,long_adverse_trigger,short_adverse_trigger,long_soft_exit_condition,short_soft_exit_condition,long_soft_confirm_count,short_soft_confirm_count,long_urgent_exit,short_urgent_exit
SPY,2026-02-13 14:30:00+00:00,681.695,682.47,679.8,679.8,79081.0,0.9210206270217896,0.06047732010483742,,,0.5,0.5,0.65,0.65,True,False,682.47,,678.4511881870177,,False,False,0,0,False,False
SPY,2026-02-13 14:40:00+00:00,679.86,682.745,677.53,681.365,84189.0,0.9499882459640503,0.04581328108906746,0.8467478156089783,,0.5,0.5,0.65,0.65,True,False,682.47,,678.4511881870177,,False,False,0,0,False,False
SPY,2026-02-13 14:50:00+00:00,681.43,682.01,679.62,679.8,52829.0,0.9638270735740662,0.021022450178861618,0.9009823799133301,,0.5,0.5,0.65,0.65,True,False,,,,,False,False,0,0,True,False
SPY,2026-02-13 15:00:00+00:00,679.885,682.43,679.885,682.41,37844.0,0.7830053567886353,0.06556703895330429,,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 15:10:00+00:00,682.455,682.88,680.58,681.01,42885.0,0.9482684135437012,0.025404689833521843,0.32145050168037415,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 15:20:00+00:00,681.02,683.37,680.52,682.95,40553.0,0.5380822420120239,0.1275615394115448,0.33930468559265137,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 15:30:00+00:00,682.945,684.57,682.81,682.885,54248.0,0.7620442509651184,0.019339432939887047,0.23985861241817474,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 15:40:00+00:00,682.86,683.14,680.82,681.175,67050.0,0.9681298732757568,0.010513156652450562,0.44790369272232056,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 15:50:00+00:00,681.195,683.19,681.15,682.51,44520.0,0.9591920375823975,0.013326557353138924,0.22643551230430603,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 16:00:00+00:00,682.53,684.2,682.53,683.99,33977.0,0.5108019113540649,0.05541381984949112,0.11734133213758469,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 16:10:00+00:00,684.01,684.01,682.71,683.35,27639.0,0.9306665062904358,0.011430078186094761,0.1452871561050415,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 16:20:00+00:00,683.15,683.93,681.865,683.84,35145.0,0.838115394115448,0.017695199698209763,0.20440272986888885,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 16:30:00+00:00,683.78,684.34,682.92,684.34,29721.0,0.7386625409126282,0.02204866334795952,0.09327512979507446,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 16:40:00+00:00,684.4,684.99,684.03,684.42,39839.0,0.6940399408340454,0.01559058390557766,0.10459741204977036,,0.5,0.5,0.65,0.65,True,False,682.43,,680.6625019850138,,False,False,0,0,False,False
SPY,2026-02-13 16:50:00+00:00,684.39,685.49,684.23,684.81,32425.0,0.4280005991458893,0.05880073457956314,0.5107906460762024,,0.5,0.5,0.65,0.65,False,False,682.43,,680.6625019850138,,True,False,1,0,False,False
SPY,2026-02-13 17:00:00+00:00,684.78,685.63,684.49,685.2,28982.0,0.1463647484779358,0.24189329147338867,0.2568705677986145,,0.5,0.5,0.65,0.65,False,False,,,,,True,False,0,0,False,False
SPY,2026-02-13 17:10:00+00:00,685.2,686.04,684.83,685.05,36954.0,0.3382427394390106,0.10924281179904938,,,0.5,0.5,0.65,0.65,False,False,,,,,False,False,0,0,False,False
SPY,2026-02-13 17:20:00+00:00,685.11,686.015,685.11,685.35,36313.0,0.04859757050871849,0.3031046390533447,,,0.5,0.5,0.65,0.65,False,False,,,,,False,False,0,0,False,False
SPY,2026-02-13 17:30:00+00:00,685.38,686.07,685.28,685.91,38558.0,0.027948768809437752,0.8876231908798218,,,0.5,0.5,0.65,0.65,False,True,,685.28,,687.4558211923579,False,False,0,0,False,False
SPY,2026-02-13 17:40:00+00:00,685.935,686.24,685.44,685.92,32125.0,0.023031169548630714,0.9030260443687439,,,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 17:50:00+00:00,685.94,685.96,685.0,685.11,30670.0,0.04047127813100815,0.6731284856796265,,0.06772870570421219,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 18:00:00+00:00,685.12,685.3,684.13,684.84,34682.0,0.05475730076432228,0.6757491230964661,,0.1797247678041458,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 18:10:00+00:00,684.89,685.8,684.88,685.37,30674.0,0.021127475425601006,0.908838152885437,,0.16980701684951782,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 18:20:00+00:00,685.35,686.26,684.97,685.35,34688.0,0.018944162875413895,0.9410074353218079,,0.10023167729377747,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 18:30:00+00:00,685.39,686.0,685.26,685.77,26265.0,0.01596684381365776,0.96952885389328,,0.15850411355495453,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 18:40:00+00:00,685.76,685.83,684.885,685.18,27943.0,0.020396016538143158,0.9544059634208679,,0.06524018198251724,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 18:50:00+00:00,685.09,685.18,684.37,684.65,34523.0,0.03519083559513092,0.9538555145263672,,0.08664021641016006,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 19:00:00+00:00,684.725,685.16,684.47,685.11,33411.0,0.025085870176553726,0.964365541934967,,0.09651950746774673,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 19:10:00+00:00,685.06,685.34,684.55,685.03,37618.0,0.02440466918051243,0.9571137428283691,,0.08353875577449799,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 19:20:00+00:00,685.03,685.33,684.1,684.3,28817.0,0.05661291256546974,0.9389330148696899,,0.0817442461848259,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 19:30:00+00:00,684.35,684.89,683.82,684.07,26030.0,0.06087610870599747,0.9103537797927856,,0.07262220978736877,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 19:40:00+00:00,684.08,684.25,683.3,683.8,69878.0,0.0688815787434578,0.8947170972824097,,0.08527233451604843,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 19:50:00+00:00,683.87,683.92,682.28,682.41,44512.0,0.199524387717247,0.8502357602119446,,0.1126093789935112,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 20:00:00+00:00,682.48,683.25,682.48,683.07,40998.0,0.16616946458816528,0.807873547077179,,0.41943761706352234,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 20:10:00+00:00,683.1,683.11,681.85,682.62,55410.0,0.1664247065782547,0.808420717716217,,0.4159852862358093,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 20:20:00+00:00,682.55,682.6,680.37,680.64,71188.0,0.3053586781024933,0.6602197289466858,,0.3097951114177704,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 20:30:00+00:00,680.6,681.22,680.03,680.34,62796.0,0.2728078067302704,0.6574726700782776,,0.24039636552333832,0.5,0.5,0.65,0.65,False,True,,685.44,,687.4125482500466,False,False,0,0,False,False
SPY,2026-02-13 20:40:00+00:00,680.39,681.355,679.83,681.2,84970.0,0.18532142043113708,0.7829226851463318,,0.9289360046386719,0.5,0.5,0.65,0.65,False,True,,,,,False,False,0,0,False,True
SPY,2026-02-13 20:50:00+00:00,681.18,681.82,680.39,681.61,241006.0,0.17113186419010162,0.8450499176979065,,,0.5,0.5,0.65,0.65,False,True,,680.39,,682.901533770193,False,False,0,0,False,False
SPY,2026-02-17 14:30:00+00:00,680.15,682.71,680.12,682.71,21657.0,0.018703866750001907,0.9637019038200378,,0.3431569039821625,0.5,0.5,0.65,0.65,False,True,,680.39,,682.901533770193,False,False,0,0,False,False
SPY,2026-02-17 14:40:00+00:00,682.49,682.77,679.7,680.07,26121.0,0.07557433098554611,0.6273998022079468,,0.37252697348594666,0.5,0.5,0.65,0.65,False,True,,680.39,,682.901533770193,False,False,0,0,False,False
SPY,2026-02-17 14:50:00+00:00,680.32,680.52,676.51,676.62,60496.0,0.8442490696907043,0.046136174350976944,,0.6662100553512573,0.5,0.5,0.65,0.65,True,False,680.52,,674.9363594412849,,False,True,0,0,False,True
SPY,2026-02-17 15:00:00+00:00,676.42,678.53,676.315,677.38,42951.0,0.9011805653572083,0.048261858522892,,,0.5,0.5,0.65,0.65,True,False,678.53,,675.6584051954788,,False,False,0,0,False,False
SPY,2026-02-17 15:10:00+00:00,677.525,679.745,676.69,679.59,39229.0,0.4645349681377411,0.08168131113052368,0.29738980531692505,,0.5,0.5,0.65,0.65,False,False,678.53,,675.6584051954788,,False,False,0,0,False,False
SPY,2026-02-17 15:20:00+00:00,679.6,679.7,676.89,677.4,29838.0,0.9221447706222534,0.012499012984335423,0.4192121922969818,,0.5,0.5,0.65,0.65,True,False,678.53,,675.6584051954788,,False,False,0,0,False,False
SPY,2026-02-17 15:30:00+00:00,677.43,677.43,675.84,675.885,16436.0,0.9589419960975647,0.00984223186969757,0.32217642664909363,,0.5,0.5,0.65,0.65,True,False,678.53,,675.6584051954788,,False,False,0,0,False,False
SPY,2026-02-17 15:40:00+00:00,675.87,678.18,675.79,677.68,19887.0,0.92461758852005,0.015779893845319748,0.19704297184944153,,0.5,0.5,0.65,0.65,True,False,678.53,,675.6584051954788,,False,False,0,0,False,False
SPY,2026-02-17 15:50:00+00:00,677.68,678.6,677.15,678.6,17805.0,0.9433996677398682,0.00926426611840725,0.1222057044506073,,0.5,0.5,0.65,0.65,True,False,678.53,,675.6584051954788,,False,False,0,0,False,False
SPY,2026-02-17 16:00:00+00:00,678.6,681.14,678.52,681.07,27798.0,0.17506879568099976,0.20291286706924438,0.24214684963226318,,0.5,0.5,0.65,0.65,False,False,678.53,,675.6584051954788,,True,False,1,0,False,False
