side,arm_atr,trades_with_mfe_at_least_arm,avg_realized_exit_atr,avg_mfe_atr,avg_giveback_atr,median_giveback_atr,p75_giveback_atr,p90_giveback_atr,avg_capture_ratio,median_capture_ratio
long,1.5,45,2.1671829183302935,2.7297798950974985,0.5625969767672052,0.3365639773711182,0.7703577373199966,1.3395343122150625,0.7525571106194797,0.8672199170124727
long,2.0,27,2.7692835061465813,3.327613706517972,0.5583302003713907,0.24725419508199398,0.805316729384695,1.2989739326803122,0.7947738598947632,0.910714285714278
long,2.5,17,3.502681458522773,4.008084582738948,0.5054031242161748,0.4382504674130496,0.6129009758554802,1.1146738529133688,0.8525665569573863,0.9109589041095908
long,3.0,13,3.8900188283919825,4.412564854785275,0.5225460263932933,0.5269455051904695,0.6129009758554802,1.0046674772756061,0.857114744257516,0.9273182957393556
short,1.5,44,2.7182222658036896,3.467562679142254,0.7493404133385638,0.6947606964056859,1.070626350891881,1.4366621670177773,0.7603295238724826,0.7766529345476716
short,2.0,32,3.2721976651549762,4.126741967411533,0.8545443022565565,0.8057829996446295,1.1577629916142071,1.5056955138526342,0.7773453519034337,0.78827882007074
short,2.5,27,3.5774668472909346,4.507613971705358,0.9301471244144239,1.011610854898855,1.19849988711122,1.5555108019593213,0.7761284336946078,0.7788697788697904
short,3.0,22,3.8979183658878367,4.91518671138627,1.017268345498435,1.0781347841399445,1.2692147889470764,1.617181778206194,0.7718859927364826,0.7703872703872743
