regime,long_entries,long_exits,short_entries,short_exits,long_trades_closed,short_trades_closed,long_win_rate,short_win_rate,long_equity_end,short_equity_end,combined_full_gross_end,atr_trail_exit_count
baseline_next_open_exit_baseline,72.0,72.0,69.0,68.0,72.0,68.0,0.9722222222222222,0.9558823529411765,1.2726990118323187,1.2778656746333108,1.5505646864656297,0.0
baseline_plus_atr_trail_a0.75_t0.80_tp1.00_tt0.50,119.0,119.0,134.0,133.0,119.0,133.0,0.8907563025210085,0.9022556390977443,1.2063101856741842,1.2432661017379367,1.4495762874121212,199.0
