regime,arm_atr,giveback_atr,long_entries,long_exits,short_entries,short_exits,long_trades_closed,short_trades_closed,long_win_rate,short_win_rate,long_equity_end,short_equity_end,combined_full_gross_end,profit_protect_exit_count,delta_vs_baseline,rank_combined
baseline,,,72.0,72.0,69.0,68.0,72.0,68.0,0.9722222222222222,0.9558823529411765,1.2726990118323187,1.2778656746333108,1.5505646864656297,0.0,0.0,1.0
profit_protect_a2.50_gb1.20,2.5,1.2,73.0,73.0,72.0,71.0,73.0,71.0,0.9726027397260274,0.9577464788732394,1.2615378849329428,1.2877386106054958,1.5492764955384386,19.0,-0.001288190927191124,2.0
profit_protect_a2.50_gb1.00,2.5,1.0,73.0,73.0,75.0,74.0,73.0,74.0,0.9726027397260274,0.9594594594594594,1.2570528264539602,1.2899977448301212,1.5470505712840814,24.0,-0.0035141151815483163,3.0
profit_protect_a3.00_gb1.20,3.0,1.2,73.0,73.0,71.0,70.0,73.0,70.0,0.9726027397260274,0.9571428571428572,1.2604310505505472,1.2863201323549989,1.5467511829055463,16.0,-0.0038135035600834755,4.0
profit_protect_a3.00_gb1.00,3.0,1.0,73.0,73.0,73.0,72.0,73.0,72.0,0.9726027397260274,0.9583333333333334,1.2555274441865247,1.2904527846837834,1.5459802288703082,20.0,-0.004584457595321556,5.0
profit_protect_a3.00_gb0.80,3.0,0.8,73.0,73.0,74.0,73.0,73.0,73.0,0.9726027397260274,0.958904109589041,1.2509590093987653,1.2931159128575362,1.5440749222563017,25.0,-0.006489764209328008,6.0
profit_protect_a3.00_gb0.60,3.0,0.6,73.0,73.0,75.0,74.0,73.0,74.0,0.9726027397260274,0.9594594594594594,1.2467961418554538,1.2922429610451844,1.539039102900638,33.0,-0.01152558356499167,7.0
profit_protect_a2.50_gb0.80,2.5,0.8,73.0,73.0,76.0,75.0,73.0,75.0,0.9726027397260274,0.96,1.2507143341556881,1.2880385658807252,1.538752900036413,31.0,-0.011811786429216653,8.0
profit_protect_a2.50_gb0.60,2.5,0.6,74.0,74.0,77.0,76.0,74.0,76.0,0.972972972972973,0.9605263157894737,1.2448474644234022,1.281579916598769,1.5264273810221711,43.0,-0.0241373054434586,9.0
