timestamp,symbol,event,price
2026-02-13 14:40:00+00:00,SPY,enter_long,679.86
2026-02-13 15:00:00+00:00,SPY,exit_long,679.885
2026-02-13 15:10:00+00:00,SPY,enter_long,682.455
2026-02-13 17:10:00+00:00,SPY,exit_long,685.2
2026-02-13 17:40:00+00:00,SPY,enter_short,685.935
2026-02-13 20:50:00+00:00,SPY,exit_short,681.18
2026-02-17 14:30:00+00:00,SPY,enter_short,680.15
2026-02-17 15:00:00+00:00,SPY,exit_short,676.42
2026-02-17 15:00:00+00:00,SPY,enter_long,676.42
2026-02-17 15:30:00+00:00,SPY,exit_long,677.43
2026-02-17 15:40:00+00:00,SPY,enter_long,675.87
2026-02-17 16:20:00+00:00,SPY,exit_long,682.76
2026-02-17 16:20:00+00:00,SPY,enter_short,682.76
2026-02-17 17:20:00+00:00,SPY,exit_short,681.365
2026-02-17 17:20:00+00:00,SPY,enter_long,681.365
2026-02-17 19:00:00+00:00,SPY,exit_long,684.06
2026-02-17 19:00:00+00:00,SPY,enter_short,684.06
2026-02-17 20:00:00+00:00,SPY,enter_long,683.57
2026-02-17 20:10:00+00:00,SPY,exit_short,683.39
2026-02-18 15:10:00+00:00,SPY,exit_long,687.48
2026-02-18 15:20:00+00:00,SPY,enter_short,687.95
2026-02-18 16:20:00+00:00,SPY,exit_short,688.13
2026-02-18 16:40:00+00:00,SPY,enter_short,688.53
2026-02-18 17:00:00+00:00,SPY,enter_long,687.56
2026-02-18 17:20:00+00:00,SPY,exit_long,688.58
2026-02-18 20:00:00+00:00,SPY,exit_short,684.62
2026-02-18 20:00:00+00:00,SPY,enter_long,684.62
2026-02-18 20:40:00+00:00,SPY,enter_short,685.53
2026-02-18 20:50:00+00:00,SPY,exit_long,686.47
2026-02-19 14:40:00+00:00,SPY,exit_short,683.68
2026-02-19 14:40:00+00:00,SPY,enter_long,683.68
2026-02-19 15:00:00+00:00,SPY,exit_long,684.9
2026-02-19 15:00:00+00:00,SPY,enter_short,684.9
2026-02-19 15:30:00+00:00,SPY,enter_long,683.86
2026-02-19 15:40:00+00:00,SPY,exit_long,685.43
2026-02-19 17:10:00+00:00,SPY,enter_long,683.04
2026-02-19 17:20:00+00:00,SPY,exit_long,684.08
2026-02-19 18:00:00+00:00,SPY,exit_short,682.42
2026-02-19 18:00:00+00:00,SPY,enter_long,682.42
2026-02-19 19:00:00+00:00,SPY,exit_long,683.73
2026-02-19 19:00:00+00:00,SPY,enter_short,683.73
2026-02-19 19:40:00+00:00,SPY,enter_long,682.02
2026-02-19 19:50:00+00:00,SPY,exit_short,682.53
2026-02-20 14:50:00+00:00,SPY,exit_long,684.26
2026-02-20 15:00:00+00:00,SPY,enter_long,684.89
2026-02-20 15:10:00+00:00,SPY,exit_long,687.035
2026-02-20 15:20:00+00:00,SPY,enter_long,686.85
2026-02-20 15:50:00+00:00,SPY,exit_long,688.17
2026-02-20 15:50:00+00:00,SPY,enter_short,688.17
2026-02-20 16:30:00+00:00,SPY,enter_long,686.1
2026-02-20 16:40:00+00:00,SPY,exit_long,688.12
2026-02-20 17:20:00+00:00,SPY,exit_short,685.08
2026-02-20 17:20:00+00:00,SPY,enter_long,685.08
2026-02-20 18:50:00+00:00,SPY,exit_long,689.1
2026-02-20 18:50:00+00:00,SPY,enter_short,689.1
2026-02-20 19:30:00+00:00,SPY,exit_short,688.68
2026-02-20 20:10:00+00:00,SPY,enter_short,689.03
2026-02-23 16:10:00+00:00,SPY,exit_short,681.15
2026-02-23 16:10:00+00:00,SPY,enter_long,681.15
2026-02-23 16:30:00+00:00,SPY,enter_short,682.66
2026-02-23 16:50:00+00:00,SPY,exit_long,682.05
2026-02-23 17:10:00+00:00,SPY,exit_short,681.96
2026-02-23 17:30:00+00:00,SPY,enter_long,681.67
2026-02-23 18:20:00+00:00,SPY,exit_long,683.13
2026-02-23 18:20:00+00:00,SPY,enter_short,683.13
2026-02-23 19:30:00+00:00,SPY,exit_short,681.29
2026-02-23 19:30:00+00:00,SPY,enter_long,681.29
2026-02-24 14:50:00+00:00,SPY,exit_long,684.9
2026-02-24 15:00:00+00:00,SPY,enter_long,683.125
2026-02-24 15:30:00+00:00,SPY,exit_long,686.33
2026-02-24 16:00:00+00:00,SPY,enter_long,685.36
2026-02-24 17:30:00+00:00,SPY,exit_long,687.45
2026-02-24 17:40:00+00:00,SPY,enter_short,687.4
2026-02-24 18:30:00+00:00,SPY,exit_short,687.04
2026-02-24 18:40:00+00:00,SPY,enter_short,687.67
2026-02-24 19:20:00+00:00,SPY,exit_short,686.93
2026-02-24 19:30:00+00:00,SPY,enter_long,686.89
2026-02-24 21:00:00+00:00,SPY,exit_long,687.45
2026-02-25 14:30:00+00:00,SPY,enter_long,690.14
2026-02-25 14:40:00+00:00,SPY,exit_long,691.19
2026-02-25 14:50:00+00:00,SPY,enter_short,691.68
2026-02-25 15:30:00+00:00,SPY,exit_short,691.13
2026-02-25 15:40:00+00:00,SPY,enter_long,690.49
2026-02-25 16:50:00+00:00,SPY,enter_short,692.29
2026-02-25 17:00:00+00:00,SPY,exit_long,692.02
2026-02-25 17:30:00+00:00,SPY,enter_long,691.97
2026-02-25 17:40:00+00:00,SPY,exit_short,692.31
2026-02-25 19:20:00+00:00,SPY,exit_long,693.0
2026-02-25 19:41:00+00:00,SPY,enter_short,693.18
2026-02-26 14:40:00+00:00,SPY,exit_short,692.165
2026-02-26 14:50:00+00:00,SPY,enter_short,691.05
2026-02-26 15:10:00+00:00,SPY,exit_short,690.025
2026-02-26 15:30:00+00:00,SPY,enter_long,685.6
2026-02-26 15:50:00+00:00,SPY,exit_long,687.56
2026-02-26 16:00:00+00:00,SPY,enter_short,687.685
2026-02-26 17:10:00+00:00,SPY,exit_short,686.76
2026-02-26 17:30:00+00:00,SPY,enter_long,686.23
2026-02-26 19:20:00+00:00,SPY,exit_long,688.89
2026-02-26 19:20:00+00:00,SPY,enter_short,688.89
2026-02-27 14:40:00+00:00,SPY,exit_short,684.06
2026-02-27 14:50:00+00:00,SPY,enter_long,683.5
2026-02-27 15:50:00+00:00,SPY,exit_long,685.135
2026-02-27 16:00:00+00:00,SPY,enter_short,685.24
2026-02-27 17:30:00+00:00,SPY,exit_short,684.14
2026-02-27 18:00:00+00:00,SPY,enter_short,684.37
2026-02-27 18:40:00+00:00,SPY,exit_short,683.69
2026-02-27 19:10:00+00:00,SPY,enter_long,683.87
2026-02-27 20:20:00+00:00,SPY,exit_long,685.57
2026-02-27 20:20:00+00:00,SPY,enter_short,685.57
2026-03-02 14:40:00+00:00,SPY,exit_short,681.0
2026-03-02 14:40:00+00:00,SPY,enter_long,681.0
2026-03-02 15:30:00+00:00,SPY,exit_long,683.37
2026-03-02 15:40:00+00:00,SPY,enter_long,683.83
2026-03-02 17:00:00+00:00,SPY,exit_long,686.25
2026-03-02 17:20:00+00:00,SPY,enter_short,687.04
2026-03-02 18:20:00+00:00,SPY,exit_short,686.59
2026-03-02 18:40:00+00:00,SPY,enter_long,686.16
2026-03-02 19:20:00+00:00,SPY,enter_short,687.66
2026-03-02 19:30:00+00:00,SPY,exit_long,688.245
2026-03-02 20:20:00+00:00,SPY,exit_short,686.08
2026-03-02 20:30:00+00:00,SPY,enter_short,685.37
2026-03-03 14:40:00+00:00,SPY,exit_short,675.78
2026-03-03 14:40:00+00:00,SPY,enter_long,675.78
2026-03-03 17:00:00+00:00,SPY,exit_long,677.57
2026-03-03 17:10:00+00:00,SPY,enter_long,676.81
2026-03-03 18:50:00+00:00,SPY,exit_long,681.4
2026-03-03 19:00:00+00:00,SPY,enter_short,681.27
2026-03-03 19:40:00+00:00,SPY,exit_short,680.82
2026-03-03 19:50:00+00:00,SPY,enter_short,682.01
2026-03-03 20:20:00+00:00,SPY,enter_long,680.48
2026-03-03 20:30:00+00:00,SPY,exit_short,681.04
2026-03-04 14:40:00+00:00,SPY,exit_long,680.95
2026-03-04 14:50:00+00:00,SPY,enter_long,680.85
2026-03-04 15:40:00+00:00,SPY,exit_long,684.63
2026-03-04 16:00:00+00:00,SPY,enter_short,685.86
2026-03-04 16:20:00+00:00,SPY,enter_long,684.54
2026-03-04 16:30:00+00:00,SPY,exit_short,685.185
2026-03-04 17:00:00+00:00,SPY,exit_long,685.78
2026-03-04 17:30:00+00:00,SPY,enter_long,685.33
2026-03-04 18:10:00+00:00,SPY,exit_long,686.22
2026-03-04 18:20:00+00:00,SPY,enter_long,685.6
2026-03-04 18:50:00+00:00,SPY,enter_short,686.76
2026-03-04 19:00:00+00:00,SPY,exit_long,686.57
2026-03-05 14:40:00+00:00,SPY,exit_short,683.63
2026-03-05 14:50:00+00:00,SPY,enter_short,682.825
2026-03-05 15:40:00+00:00,SPY,exit_short,681.3
2026-03-05 15:50:00+00:00,SPY,enter_short,681.29
2026-03-05 17:40:00+00:00,SPY,exit_short,678.09
2026-03-05 18:10:00+00:00,SPY,enter_short,677.79
2026-03-05 18:20:00+00:00,SPY,enter_long,676.46
2026-03-05 18:30:00+00:00,SPY,exit_short,676.67
2026-03-05 20:00:00+00:00,SPY,exit_long,677.1
2026-03-05 20:10:00+00:00,SPY,enter_short,678.28
2026-03-06 14:40:00+00:00,SPY,exit_short,671.06
2026-03-06 14:40:00+00:00,SPY,enter_long,671.06
2026-03-06 15:40:00+00:00,SPY,exit_long,675.5
2026-03-06 15:40:00+00:00,SPY,enter_short,675.5
2026-03-06 15:50:00+00:00,SPY,enter_long,673.5
2026-03-06 16:00:00+00:00,SPY,exit_long,674.92
2026-03-06 17:20:00+00:00,SPY,exit_short,674.43
2026-03-06 17:40:00+00:00,SPY,enter_long,672.96
2026-03-06 18:20:00+00:00,SPY,exit_long,675.82
2026-03-06 18:20:00+00:00,SPY,enter_short,675.82
2026-03-09 13:40:00+00:00,SPY,enter_long,664.67
2026-03-09 13:50:00+00:00,SPY,exit_short,663.68
2026-03-09 16:20:00+00:00,SPY,exit_long,670.0
2026-03-09 16:30:00+00:00,SPY,enter_short,670.93
2026-03-09 17:30:00+00:00,SPY,exit_short,668.875
2026-03-09 17:30:00+00:00,SPY,enter_long,668.875
2026-03-09 19:40:00+00:00,SPY,exit_long,679.16
2026-03-09 19:40:00+00:00,SPY,enter_short,679.16
2026-03-10 13:40:00+00:00,SPY,enter_long,677.04
2026-03-10 13:50:00+00:00,SPY,exit_short,677.32
2026-03-10 15:00:00+00:00,SPY,exit_long,681.1
2026-03-10 15:00:00+00:00,SPY,enter_short,681.1
2026-03-10 16:00:00+00:00,SPY,exit_short,681.4
2026-03-10 16:10:00+00:00,SPY,enter_long,679.97
2026-03-10 16:40:00+00:00,SPY,enter_short,681.56
2026-03-10 16:50:00+00:00,SPY,exit_long,680.94
2026-03-10 18:30:00+00:00,SPY,exit_short,679.42
2026-03-10 18:40:00+00:00,SPY,enter_short,678.78
2026-03-10 19:50:00+00:00,SPY,exit_short,676.78
2026-03-10 19:50:00+00:00,SPY,enter_long,676.78
2026-03-11 13:40:00+00:00,SPY,exit_long,678.38
2026-03-11 13:40:00+00:00,SPY,enter_short,678.38
2026-03-11 15:40:00+00:00,SPY,exit_short,674.875
2026-03-11 15:50:00+00:00,SPY,enter_long,674.25
2026-03-11 16:50:00+00:00,SPY,exit_long,675.34
2026-03-11 16:50:00+00:00,SPY,enter_short,675.34
2026-03-11 17:50:00+00:00,SPY,exit_short,674.83
2026-03-11 18:10:00+00:00,SPY,enter_long,674.325
2026-03-11 18:50:00+00:00,SPY,exit_long,674.815
2026-03-11 18:50:00+00:00,SPY,enter_short,674.815
2026-03-12 13:40:00+00:00,SPY,exit_short,671.28
2026-03-12 13:50:00+00:00,SPY,enter_short,670.29
2026-03-12 14:30:00+00:00,SPY,exit_short,668.04
2026-03-12 14:30:00+00:00,SPY,enter_long,668.04
2026-03-12 15:40:00+00:00,SPY,exit_long,669.73
2026-03-12 15:40:00+00:00,SPY,enter_short,669.73
2026-03-12 16:10:00+00:00,SPY,enter_long,667.89
2026-03-12 16:20:00+00:00,SPY,exit_long,669.8
2026-03-12 18:50:00+00:00,SPY,exit_short,667.49
2026-03-12 19:00:00+00:00,SPY,enter_long,667.3
2026-03-12 19:40:00+00:00,SPY,exit_long,667.915
2026-03-12 19:50:00+00:00,SPY,enter_long,666.69
2026-03-13 13:40:00+00:00,SPY,exit_long,670.39
2026-03-13 13:40:00+00:00,SPY,enter_short,670.39
2026-03-13 15:10:00+00:00,SPY,exit_short,666.21
2026-03-13 15:20:00+00:00,SPY,enter_short,665.865
2026-03-13 16:00:00+00:00,SPY,exit_short,663.5
2026-03-13 16:00:00+00:00,SPY,enter_long,663.5
2026-03-13 16:30:00+00:00,SPY,enter_short,664.325
2026-03-13 16:40:00+00:00,SPY,exit_long,664.27
2026-03-13 17:10:00+00:00,SPY,exit_short,664.02
2026-03-13 17:20:00+00:00,SPY,enter_short,664.76
2026-03-13 17:50:00+00:00,SPY,enter_long,662.485
2026-03-13 18:00:00+00:00,SPY,exit_short,662.7
2026-03-16 14:10:00+00:00,SPY,exit_long,670.8
2026-03-16 14:10:00+00:00,SPY,enter_short,670.8
2026-03-16 14:50:00+00:00,SPY,exit_short,668.02
2026-03-16 14:50:00+00:00,SPY,enter_long,668.02
2026-03-16 15:10:00+00:00,SPY,exit_long,669.17
2026-03-16 15:30:00+00:00,SPY,enter_short,670.03
2026-03-16 16:10:00+00:00,SPY,exit_short,668.81
2026-03-16 16:30:00+00:00,SPY,enter_long,667.44
2026-03-16 18:20:00+00:00,SPY,exit_long,669.81
2026-03-16 18:40:00+00:00,SPY,enter_long,670.1
2026-03-16 19:20:00+00:00,SPY,exit_long,669.42
2026-03-16 19:30:00+00:00,SPY,enter_long,669.26
2026-03-17 13:40:00+00:00,SPY,exit_long,673.885
2026-03-17 13:50:00+00:00,SPY,enter_short,674.16
2026-03-17 14:20:00+00:00,SPY,exit_short,672.565
2026-03-17 14:30:00+00:00,SPY,enter_short,672.73
2026-03-17 15:40:00+00:00,SPY,exit_short,670.68
2026-03-17 16:10:00+00:00,SPY,enter_long,670.64
2026-03-17 16:20:00+00:00,SPY,enter_short,671.55
2026-03-17 17:00:00+00:00,SPY,exit_short,671.05
2026-03-17 17:10:00+00:00,SPY,enter_short,671.79
2026-03-17 17:20:00+00:00,SPY,exit_long,671.4
2026-03-18 13:40:00+00:00,SPY,exit_short,669.07
2026-03-18 13:50:00+00:00,SPY,enter_short,669.09
2026-03-18 14:30:00+00:00,SPY,exit_short,665.98
2026-03-18 14:30:00+00:00,SPY,enter_long,665.98
2026-03-18 15:00:00+00:00,SPY,exit_long,667.13
2026-03-18 15:00:00+00:00,SPY,enter_short,667.13
2026-03-18 19:10:00+00:00,SPY,exit_short,664.4
2026-03-18 19:20:00+00:00,SPY,enter_short,663.3
2026-03-19 13:40:00+00:00,SPY,exit_short,656.23
2026-03-19 13:40:00+00:00,SPY,enter_long,656.23
2026-03-19 14:00:00+00:00,SPY,exit_long,658.64
2026-03-19 14:00:00+00:00,SPY,enter_short,658.64
2026-03-19 14:30:00+00:00,SPY,exit_short,656.33
2026-03-19 14:30:00+00:00,SPY,enter_long,656.33
2026-03-19 14:40:00+00:00,SPY,exit_long,657.37
2026-03-19 15:10:00+00:00,SPY,enter_short,658.87
2026-03-19 15:40:00+00:00,SPY,enter_long,656.93
2026-03-19 15:50:00+00:00,SPY,exit_short,657.02
2026-03-19 16:10:00+00:00,SPY,exit_long,658.495
2026-03-19 16:10:00+00:00,SPY,enter_short,658.495
2026-03-19 17:10:00+00:00,SPY,enter_long,655.86
2026-03-19 17:20:00+00:00,SPY,exit_short,656.8
2026-03-19 18:30:00+00:00,SPY,exit_long,657.155
2026-03-19 18:40:00+00:00,SPY,enter_long,656.71
2026-03-19 19:00:00+00:00,SPY,exit_long,658.415
2026-03-19 19:00:00+00:00,SPY,enter_short,658.415
2026-03-20 14:10:00+00:00,SPY,exit_short,653.09
2026-03-20 14:20:00+00:00,SPY,enter_long,652.19
2026-03-20 15:00:00+00:00,SPY,exit_long,652.15
2026-03-20 15:30:00+00:00,SPY,enter_long,651.94
2026-03-20 16:00:00+00:00,SPY,exit_long,652.96
2026-03-20 16:00:00+00:00,SPY,enter_short,652.96
2026-03-20 18:30:00+00:00,SPY,exit_short,649.4
2026-03-20 18:30:00+00:00,SPY,enter_long,649.4
2026-03-23 13:50:00+00:00,SPY,exit_long,658.965
2026-03-23 14:00:00+00:00,SPY,enter_short,660.2
2026-03-23 16:30:00+00:00,SPY,exit_short,654.08
2026-03-23 16:30:00+00:00,SPY,enter_long,654.08
2026-03-23 17:40:00+00:00,SPY,exit_long,657.8
2026-03-23 17:40:00+00:00,SPY,enter_short,657.8
2026-03-23 18:20:00+00:00,SPY,exit_short,657.36
2026-03-23 18:30:00+00:00,SPY,enter_short,657.43
