symbol,timestamp,open,high,low,close,volume,p_enter_long,p_enter_short,p_exit_long,p_exit_short,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short,long_valid_signal,short_valid_signal,long_intent_active,short_intent_active,long_ref_high,short_ref_low,long_active,short_active,long_bars_held,short_bars_held,do_exit_long,do_exit_short
SPY,2026-02-13 14:30:00+00:00,681.695,682.47,679.8,679.8,79081.0,0.9111150503158569,0.06646104902029037,,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,0,0,False,False
SPY,2026-02-13 14:40:00+00:00,679.86,682.745,677.53,681.365,84189.0,0.9209668636322021,0.05510763078927994,0.27237218618392944,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,1,0,False,False
SPY,2026-02-13 14:50:00+00:00,681.43,682.01,679.62,679.8,52829.0,0.9294135570526123,0.0455947108566761,0.6903296709060669,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,2,0,False,False
SPY,2026-02-13 15:00:00+00:00,679.885,682.43,679.885,682.41,37844.0,0.7432419061660767,0.060547102242708206,0.2863597869873047,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,3,0,False,False
SPY,2026-02-13 15:10:00+00:00,682.455,682.88,680.58,681.01,42885.0,0.9240365624427795,0.0341486930847168,0.5164892673492432,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,4,0,False,False
SPY,2026-02-13 15:20:00+00:00,681.02,683.37,680.52,682.95,40553.0,0.5440714359283447,0.10266398638486862,0.32591161131858826,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,5,0,False,False
SPY,2026-02-13 15:30:00+00:00,682.945,684.57,682.81,682.885,54248.0,0.7938420176506042,0.018600542098283768,0.30330318212509155,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,6,0,False,False
SPY,2026-02-13 15:40:00+00:00,682.86,683.14,680.82,681.175,67050.0,0.9641783237457275,0.010886814445257187,0.5993630290031433,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,7,0,False,False
SPY,2026-02-13 15:50:00+00:00,681.195,683.19,681.15,682.51,44520.0,0.9598476886749268,0.00903448835015297,0.17175300419330597,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,8,0,False,False
SPY,2026-02-13 16:00:00+00:00,682.53,684.2,682.53,683.99,33977.0,0.4865258038043976,0.0589321106672287,0.10351623594760895,,0.5,0.5,0.65,0.65,False,False,False,False,682.47,,1,0,9,0,False,False
SPY,2026-02-13 16:10:00+00:00,684.01,684.01,682.71,683.35,27639.0,0.9237881302833557,0.014922728762030602,0.20842015743255615,,0.5,0.5,0.65,0.65,True,False,False,False,682.47,,1,0,10,0,False,False
