regime,long_entries,long_exits,short_entries,short_exits,long_trades_closed,short_trades_closed,long_win_rate,short_win_rate,long_equity_end,short_equity_end,combined_full_gross_end,profit_protect_exit_count
baseline_next_open_exit_baseline,72.0,72.0,69.0,68.0,72.0,68.0,0.9722222222222222,0.9558823529411765,1.2726990118323187,1.2778656746333108,1.5505646864656297,0.0
directional_1m_entry_exit_baseline,71.0,71.0,69.0,68.0,71.0,68.0,0.9577464788732394,0.9558823529411765,1.2676773268383763,1.2851512654842576,1.552828592322634,0.0
