symbol,timestamp,open,high,low,close,volume,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_enter_long,p_enter_short,p_exit_long,p_exit_short,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short,long_bars_held,short_bars_held,long_exit_threshold_hit,short_exit_threshold_hit,long_entry_still_supports,short_entry_still_supports,ind_entry_long,ind_exit_long,ind_entry_short,ind_exit_short,ind_long_active,ind_short_active,ts_local
SPY,2026-02-13 14:30:00+00:00,681.695,682.47,679.8,679.8,79081.0,0.5569527745246887,0.038579992949962616,0.9647236466407776,0.05499686300754547,0.9111150503158569,0.06646104902029037,,,0.5,0.5,0.65,0.65,0,0,False,False,True,False,True,False,False,False,1,0,2026-02-13 09:30:00-05:00
SPY,2026-02-13 14:40:00+00:00,679.86,682.745,677.53,681.365,84189.0,0.9555510878562927,0.08154814690351486,0.9757779836654663,0.04549570009112358,0.9209668636322021,0.05510763078927994,0.8450021743774414,,0.5,0.5,0.65,0.65,1,0,True,False,True,False,False,False,False,False,1,0,2026-02-13 09:40:00-05:00
SPY,2026-02-13 14:50:00+00:00,681.43,682.01,679.62,679.8,52829.0,0.0007716240361332893,0.036856651306152344,0.9761091470718384,0.03785115107893944,0.9294135570526123,0.0455947108566761,0.9541611671447754,,0.5,0.5,0.65,0.65,2,0,True,False,True,False,False,False,False,False,1,0,2026-02-13 09:50:00-05:00
SPY,2026-02-13 15:00:00+00:00,679.885,682.43,679.885,682.41,37844.0,0.0050172205083072186,0.13129982352256775,0.5602747797966003,0.07083015143871307,0.7432419061660767,0.060547102242708206,0.4835593104362488,,0.5,0.5,0.65,0.65,3,0,False,False,True,False,False,False,False,False,1,0,2026-02-13 10:00:00-05:00
SPY,2026-02-13 15:10:00+00:00,682.455,682.88,680.58,681.01,42885.0,0.011992866173386574,0.1793636530637741,0.9755938649177551,0.016083870083093643,0.9240365624427795,0.0341486930847168,0.9673936367034912,,0.5,0.5,0.65,0.65,4,0,True,False,True,False,False,False,False,False,1,0,2026-02-13 10:10:00-05:00
SPY,2026-02-13 15:20:00+00:00,681.02,683.37,680.52,682.95,40553.0,0.04299775883555412,0.36197784543037415,0.35588857531547546,0.07752139121294022,0.5440714359283447,0.10266398638486862,0.5697629451751709,,0.5,0.5,0.65,0.65,5,0,False,False,True,False,False,False,False,False,1,0,2026-02-13 10:20:00-05:00
SPY,2026-02-13 15:30:00+00:00,682.945,684.57,682.81,682.885,54248.0,0.005210413131862879,0.8992294073104858,0.6897530555725098,0.0514884814620018,0.7938420176506042,0.018600542098283768,0.958231508731842,,0.5,0.5,0.65,0.65,0,0,True,False,False,False,False,True,False,False,0,0,2026-02-13 10:30:00-05:00
SPY,2026-02-13 15:40:00+00:00,682.86,683.14,680.82,681.175,67050.0,0.2624947726726532,0.12459631264209747,0.9458779096603394,0.01396604161709547,0.9641783237457275,0.010886814445257187,,,0.5,0.5,0.65,0.65,0,0,False,False,True,False,True,False,False,False,1,0,2026-02-13 10:40:00-05:00
SPY,2026-02-13 15:50:00+00:00,681.195,683.19,681.15,682.51,44520.0,0.4084022641181946,0.3674357235431671,0.9528051614761353,0.011365598067641258,0.9598476886749268,0.00903448835015297,0.18770018219947815,,0.5,0.5,0.65,0.65,1,0,False,False,True,False,False,False,False,False,1,0,2026-02-13 10:50:00-05:00
SPY,2026-02-13 16:00:00+00:00,682.53,684.2,682.53,683.99,33977.0,0.005592589732259512,0.5269035696983337,0.20057323575019836,0.1253952831029892,0.4865258038043976,0.0589321106672287,0.1372070014476776,,0.5,0.5,0.65,0.65,2,0,False,False,False,False,False,False,False,False,1,0,2026-02-13 11:00:00-05:00
SPY,2026-02-13 16:10:00+00:00,684.01,684.01,682.71,683.35,27639.0,0.0006338227540254593,0.013905751518905163,0.9238758683204651,0.01206924021244049,0.9237881302833557,0.014922728762030602,0.5669113993644714,,0.5,0.5,0.65,0.65,3,0,False,False,True,False,False,False,False,False,1,0,2026-02-13 11:10:00-05:00
SPY,2026-02-13 16:20:00+00:00,683.15,683.93,681.865,683.84,35145.0,0.31237950921058655,0.13887518644332886,0.8016155958175659,0.013192207552492619,0.8308785557746887,0.017618926241993904,0.33186519145965576,,0.5,0.5,0.65,0.65,4,0,False,False,True,False,False,False,False,False,1,0,2026-02-13 11:20:00-05:00
SPY,2026-02-13 16:30:00+00:00,683.78,684.34,682.92,684.34,29721.0,0.037510745227336884,0.3632556200027466,0.6531121730804443,0.07270094007253647,0.7012065649032593,0.026487775146961212,0.11507158726453781,,0.5,0.5,0.65,0.65,5,0,False,False,True,False,False,False,False,False,1,0,2026-02-13 11:30:00-05:00
SPY,2026-02-13 16:40:00+00:00,684.4,684.99,684.03,684.42,39839.0,0.0005281231133267283,0.8821149468421936,0.7294625639915466,0.05137128755450249,0.6969872713088989,0.016960384324193,0.3108194172382355,,0.5,0.5,0.65,0.65,6,0,False,False,True,False,False,False,False,False,1,0,2026-02-13 11:40:00-05:00
