side,entry_ts,entry_ts_ny,entry_price,exit_ts,exit_ts_ny,exit_price,entry_date_ny,exit_date_ny,days_held,crosses_weekend,friday_date_ny,date_ny,friday_close_ts_utc,friday_close_ts_ny,friday_close_price,actual_move,forced_friday_move,weekend_hold_edge,hold_better
short,2026-02-20 20:10:00+00:00,2026-02-20 15:10:00-05:00,688.97,2026-02-23 16:10:00+00:00,2026-02-23 11:10:00-05:00,681.25,2026-02-20,2026-02-23,3,True,2026-02-20,2026-02-20,2026-02-20 21:00:00+00:00,2026-02-20 16:00:00-05:00,689.29,7.720000000000027,-0.31999999999993634,8.039999999999964,True
short,2026-02-27 20:20:00+00:00,2026-02-27 15:20:00-05:00,685.25,2026-03-02 14:40:00+00:00,2026-03-02 09:40:00-05:00,681.12,2026-02-27,2026-03-02,3,True,2026-02-27,2026-02-27,2026-02-27 21:00:00+00:00,2026-02-27 16:00:00-05:00,685.71,4.1299999999999955,-0.4600000000000364,4.590000000000032,True
short,2026-03-06 18:20:00+00:00,2026-03-06 13:20:00-05:00,675.81,2026-03-09 13:51:00+00:00,2026-03-09 09:51:00-04:00,663.465,2026-03-06,2026-03-09,3,True,2026-03-06,2026-03-06,2026-03-06 20:59:00+00:00,2026-03-06 15:59:00-05:00,672.44,12.344999999999914,3.369999999999891,8.975000000000023,True
long,2026-03-13 17:51:00+00:00,2026-03-13 13:51:00-04:00,662.51,2026-03-16 14:11:00+00:00,2026-03-16 10:11:00-04:00,671.07,2026-03-13,2026-03-16,3,True,2026-03-13,2026-03-13,2026-03-13 19:59:00+00:00,2026-03-13 15:59:00-04:00,662.3,8.56000000000006,-0.21000000000003638,8.770000000000095,True
long,2026-03-20 18:32:00+00:00,2026-03-20 14:32:00-04:00,649.24,2026-03-23 13:54:00+00:00,2026-03-23 09:54:00-04:00,659.7,2026-03-20,2026-03-23,3,True,2026-03-20,2026-03-20,2026-03-20 19:59:00+00:00,2026-03-20 15:59:00-04:00,648.48,10.460000000000036,-0.7599999999999909,11.220000000000027,True
