regime,long_entries,long_exits,short_entries,short_exits,long_trades_closed,short_trades_closed,long_win_rate,short_win_rate,long_equity_end,short_equity_end,combined_full_gross_end,profit_protect_exit_count
baseline_next_open_exit_baseline,72.0,72.0,69.0,68.0,72.0,68.0,0.9722222222222222,0.9558823529411765,1.2726990118323187,1.2778656746333108,1.5505646864656297,0.0
baseline_plus_profit_protect_a2.00_gl0.75_gs1.00,75.0,75.0,78.0,77.0,75.0,77.0,0.9866666666666667,0.961038961038961,1.2544356589391026,1.2852672988904155,1.539702957829518,38.0
