entry_timestamp,entry_price,side,symbol,exit_timestamp,exit_price,entry_atr,open,high,low,close,hold_minutes,realized_price_move,realized_exit_atr,mfe_price,mfe_timestamp,mfe_atr,giveback_atr,capture_ratio,max_before_exit,winner
2026-02-13 14:40:00+00:00,679.86,long,SPY,2026-02-13 15:00:00+00:00,679.885,1.6249681120549486,679.86,682.745,677.53,681.365,20.0,0.024999999999977263,0.015384917288230382,682.745,2026-02-13 14:48:00+00:00,1.775419455063395,1.7600345377751647,0.008665511265156791,True,True
2026-02-13 15:10:00+00:00,682.455,long,SPY,2026-02-13 17:10:00+00:00,685.2,1.786962442487139,682.455,682.88,680.58,681.01,120.0,2.7450000000000045,1.536126297192595,685.63,2026-02-13 17:06:00+00:00,1.776758103310168,0.24063180611757296,0.8645669291338721,True,True
2026-02-13 17:40:00+00:00,685.935,short,SPY,2026-02-13 20:50:00+00:00,681.18,1.4925482500466607,685.935,686.24,685.44,685.92,190.0,4.7549999999999955,3.1858266557555797,679.83,2026-02-13 20:43:00+00:00,4.090320028052056,0.9044933722964763,0.7788697788697904,True,True
2026-02-17 14:30:00+00:00,680.15,short,SPY,2026-02-17 15:00:00+00:00,676.42,1.3842813580363877,680.15,682.71,680.12,682.71,30.0,3.730000000000018,2.6945389232800534,676.51,2026-02-17 14:59:00+00:00,2.6295232388041043,-0.06501568447594908,1.0247252747252837,True,True
2026-02-17 15:00:00+00:00,676.42,long,SPY,2026-02-17 15:30:00+00:00,677.43,1.7215948045211065,676.42,678.53,676.315,677.38,30.0,1.009999999999991,0.5866653392236166,679.745,2026-02-17 15:19:00+00:00,1.9313487652659105,1.3446834260422937,0.3037593984962337,True,True
2026-02-17 15:40:00+00:00,675.87,long,SPY,2026-02-17 16:20:00+00:00,682.76,1.9039005677823593,675.87,678.18,675.79,677.68,40.0,6.889999999999986,3.61888646738804,682.865,2026-02-17 16:19:00+00:00,3.6740364062959956,0.0551499389079555,0.9849892780557514,True,True
2026-02-17 16:20:00+00:00,682.76,short,SPY,2026-02-17 17:20:00+00:00,681.365,1.8977585932015875,682.76,683.2,681.535,681.57,60.0,1.3949999999999818,0.7350776884885902,680.87,2026-02-17 16:31:00+00:00,0.9959117069845475,0.2608340184959572,0.7380952380952338,True,True
2026-02-17 17:20:00+00:00,681.365,long,SPY,2026-02-17 19:00:00+00:00,684.06,1.6733052020061894,681.365,682.1,680.49,682.1,100.0,2.6949999999999363,1.6105848453520601,684.71,2026-02-17 18:56:00+00:00,1.999037590984346,0.38845274563228593,0.8056801195814393,True,True
2026-02-17 19:00:00+00:00,684.06,short,SPY,2026-02-17 20:10:00+00:00,683.39,1.4391282873098727,684.06,684.49,683.845,683.89,70.0,0.6699999999999591,0.4655596070954686,683.33,2026-02-17 20:09:00+00:00,0.5072515122084603,0.0416919051129917,0.9178082191781461,True,True
2026-02-17 20:00:00+00:00,683.57,long,SPY,2026-02-18 15:10:00+00:00,687.48,1.2034356651381783,683.57,684.09,683.33,683.36,1150.0,3.909999999999968,3.2490311806996535,688.12,2026-02-18 15:06:00+00:00,3.7808419110443467,0.5318107303446933,0.859340659340661,True,True
2026-02-18 15:20:00+00:00,687.95,short,SPY,2026-02-18 16:20:00+00:00,688.13,1.3230669936969601,687.95,688.15,687.535,687.85,60.0,-0.17999999999994998,-0.13604753263248423,687.34,2026-02-18 15:35:00+00:00,0.4610499716991127,0.5970975043315969,-0.2950819672130262,True,False
