symbol,timestamp,open,high,low,close,volume,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
SPY,2025-03-21 16:40:00+00:00,562.255,562.855,561.86,562.77,9464.0,-1.0,-1,-1,entry_confirmed,0.054913826286792755,0.525557279586792,,,0.005706326570361853,0.334997296333313,0.0973382517695427,0.5568444132804871,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 16:50:00+00:00,562.71,563.61,562.64,563.61,7205.0,-1.0,-1,-1,hold_aligned,0.024108316749334335,0.9232882261276245,,0.117250956594944,0.0001399441243847832,0.5994991660118103,0.039580993354320526,0.9140087962150574,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 17:00:00+00:00,563.35,563.4,562.85,563.32,21542.0,-1.0,-1,-1,hold_aligned,0.05495227873325348,0.874374508857727,,0.1310441642999649,7.448202723026043e-06,0.05372651666402817,0.04498642310500145,0.8716602325439453,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 17:10:00+00:00,563.315,563.315,562.38,562.38,7746.0,-1.0,-1,-1,hold_aligned,0.41484954953193665,0.252916544675827,,0.09577593952417374,0.02055555209517479,0.14373072981834412,0.6734897494316101,0.3589823246002197,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 17:20:00+00:00,562.27,562.895,561.94,562.08,7865.0,-1.0,-1,-1,hold_aligned,0.7399222254753113,0.048657529056072235,,0.18428310751914978,0.39417994022369385,0.30043914914131165,0.7879877090454102,0.08029752969741821,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 17:30:00+00:00,561.98,562.695,561.825,562.695,7419.0,-1.0,-1,-1,hold_aligned,0.1500486582517624,0.2477966696023941,,0.20789466798305511,0.2839067578315735,0.11239836364984512,0.23837600648403168,0.40189215540885925,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 17:40:00+00:00,562.87,563.69,562.68,563.69,11597.0,-1.0,-1,-1,hold_aligned,0.03925706073641777,0.8157604932785034,,0.37629395723342896,0.0008446673164144158,0.6140269041061401,0.029855526983737946,0.9481505155563354,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 17:50:00+00:00,563.61,563.88,562.855,562.88,11725.0,-1.0,-1,-1,hold_aligned,0.12364498525857925,0.5128539800643921,,0.11760559678077698,0.00014034462219569832,0.7336855530738831,0.14453156292438507,0.635747492313385,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 18:00:00+00:00,563.115,563.29,562.45,562.855,22403.0,-1.0,-1,-1,hold_aligned,0.1473478376865387,0.27823176980018616,,0.10310985893011093,0.03649124130606651,0.1057359129190445,0.2922007441520691,0.3094707727432251,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 18:10:00+00:00,562.81,563.06,562.46,563.0,12470.0,-1.0,-1,-1,hold_aligned,0.4096880853176117,0.15154218673706055,,0.17015576362609863,0.002478749956935644,0.008802060037851334,0.7513149380683899,0.07763790339231491,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 18:20:00+00:00,563.03,563.035,562.095,562.095,6467.0,-1.0,-1,-1,hold_aligned,0.8859957456588745,0.028332853689789772,,0.1454334408044815,0.09471289813518524,0.18600232899188995,0.9680556654930115,0.04486793279647827,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 18:30:00+00:00,562.42,563.12,562.32,562.95,7150.0,-1.0,-1,-1,hold_aligned,0.7518250346183777,0.05202937126159668,,0.3808287978172302,0.07189875841140747,0.1300770789384842,0.983747661113739,0.041859209537506104,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 18:40:00+00:00,562.98,563.23,562.4,562.67,9120.0,-1.0,-1,-1,hold_aligned,0.8620898127555847,0.03833158686757088,,0.21842534840106964,0.039205413311719894,0.10482734441757202,0.9836040139198303,0.04632899910211563,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 18:50:00+00:00,562.84,562.915,562.31,562.47,9205.0,-1.0,-1,-1,hold_aligned,0.8809049129486084,0.03589471057057381,,0.23908796906471252,0.14100784063339233,0.1655873954296112,0.9830800294876099,0.03867969289422035,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 19:00:00+00:00,562.25,562.415,561.745,561.88,14583.0,-1.0,-1,-1,hold_aligned,0.8521309494972229,0.04274465888738632,,0.23841550946235657,0.5741601586341858,0.07581590116024017,0.9805136322975159,0.046445801854133606,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 19:10:00+00:00,561.75,562.18,561.515,562.02,19372.0,-1.0,-1,-1,hold_aligned,0.8303256630897522,0.049525145441293716,,0.4350961148738861,0.7488889694213867,0.005242975428700447,0.9824029207229614,0.0499567948281765,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 19:20:00+00:00,562.06,562.365,561.56,561.89,21413.0,-1.0,-1,-1,hold_aligned,0.8341879844665527,0.06450894474983215,,0.39914393424987793,0.09558763355016708,0.06545942276716232,0.9819486737251282,0.050723809748888016,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 19:30:00+00:00,562.08,562.49,561.78,562.18,25367.0,-1.0,-1,-1,hold_aligned,0.7535182237625122,0.11345881223678589,,0.5047873854637146,0.00624276464805007,0.24871176481246948,0.9864833950996399,0.042044755071401596,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 19:40:00+00:00,562.11,562.595,561.835,562.34,61382.0,-1.0,-1,-1,hold_aligned,0.8024378418922424,0.12873387336730957,,0.42992109060287476,0.008372511714696884,0.2635146975517273,0.9879696369171143,0.049123283475637436,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-21 19:50:00+00:00,562.525,564.855,562.525,564.17,172224.0,-1.0,-1,-1,hold_aligned,0.8786050081253052,0.10529287159442902,,0.5949565768241882,0.018699752166867256,0.5725282430648804,0.991438627243042,0.031945545226335526,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 13:30:00+00:00,570.76,571.98,570.29,571.815,105074.0,0.0,0,-1,exit_pending,0.8045873045921326,0.18286319077014923,,0.7508698105812073,0.0004414740251377225,0.3692038357257843,0.4748927354812622,0.42558568716049194,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 13:40:00+00:00,572.07,572.58,571.69,572.58,29710.0,1.0,1,-1,flip_pending,0.7881542444229126,0.13657718896865845,,,2.93224129563896e-05,0.21653912961483002,0.43696507811546326,0.3836899995803833,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 13:50:00+00:00,572.67,572.96,572.44,572.745,36942.0,1.0,1,1,flip_confirmed,0.7798120379447937,0.17643101513385773,0.29757311940193176,,6.997255695750937e-06,0.4517980217933655,0.40760338306427,0.2876390218734741,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 14:00:00+00:00,572.765,572.865,572.04,572.155,37381.0,1.0,1,1,hold_aligned,0.4986392557621002,0.3170972168445587,0.2955503761768341,,0.0005581965669989586,0.8643848896026611,0.15844526886940002,0.5165687799453735,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 14:10:00+00:00,572.11,573.04,572.11,573.04,38417.0,1.0,1,1,hold_aligned,0.2494623064994812,0.5417265892028809,0.26693159341812134,,0.010344859212636948,0.308377206325531,0.14664991199970245,0.48818689584732056,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 14:20:00+00:00,572.99,573.31,572.915,573.14,23060.0,1.0,1,1,hold_aligned,0.2624112069606781,0.6198925375938416,0.5506910085678101,,5.8374873333377764e-05,0.8385244011878967,0.2531992197036743,0.4343368411064148,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 14:30:00+00:00,572.96,573.23,572.69,572.77,21389.0,1.0,1,1,hold_aligned,0.6788836121559143,0.2858757972717285,0.5587506294250488,,0.00021744033438153565,0.8834758996963501,0.4276767671108246,0.18683765828609467,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 14:40:00+00:00,572.84,573.58,572.71,573.58,19179.0,1.0,1,1,hold_aligned,0.26541855931282043,0.45270219445228577,0.21195583045482635,,0.014234739355742931,0.3802776038646698,0.2735739052295685,0.28325051069259644,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 14:50:00+00:00,573.58,573.67,573.4,573.57,25635.0,1.0,1,1,hold_aligned,0.4480164349079132,0.37285393476486206,0.5572828054428101,,3.8524562114616856e-05,0.79021155834198,0.30644309520721436,0.1370294988155365,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 15:00:00+00:00,573.54,573.97,573.2,573.815,22310.0,1.0,1,1,hold_aligned,0.15600734949111938,0.5355563759803772,0.4273865520954132,,0.005340228322893381,0.6335403919219971,0.12296358495950699,0.2635990381240845,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2025-03-24 15:10:00+00:00,573.81,573.97,573.67,573.88,20131.0,1.0,1,1,hold_aligned,0.10149209201335907,0.7081345319747925,0.484887033700943,,0.0002508062752895057,0.7940906882286072,0.08470575511455536,0.33362287282943726,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
