side,trades,win_rate,avg_atr_capture_all,median_atr_capture_all,max_atr_capture_all,min_atr_capture_all,p90_atr_capture_all,avg_atr_capture_winners,median_atr_capture_winners,max_atr_capture_winners,avg_hold_minutes,max_hold_minutes,max_vs_avg_all_ratio,max_vs_avg_winners_ratio
long,72,0.9722222222222222,1.6548037666020834,1.2441557713064177,7.552911208659859,-0.733847593044534,2.9887500767548754,1.7129107091024052,1.2932100847483254,7.552911208659859,268.75,4100.0,4.564233754536796,4.409401592577884
short,68,0.9558823529411765,1.950915117779976,1.4140538736497272,8.726254563183588,-0.1817620627337373,4.154685460507314,2.046269049130848,1.4282796870016286,8.726254563183588,418.80882352941177,4080.0,4.4729032460999845,4.264470777628221
