n,threshold,tp,tn,fp,fn,precision,recall,f1,f0_5,f2,pos_rate,pred_rate,logloss,auc,average_precision
18204.0,0.5,3316.0,11034.0,2388.0,1466.0,0.5813464235624124,0.6934337097448766,0.6324623307266832,0.6007681716066382,0.6676868556701031,0.26268951878707975,0.3133377279718743,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.55,3105.0,11494.0,1928.0,1677.0,0.6169282733955891,0.6493099121706399,0.6327050433010698,0.6231436140322709,0.6425644633914158,0.26268951878707975,0.2764776972094045,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.6,2875.0,11903.0,1519.0,1907.0,0.6543013199817933,0.6012128816394814,0.6266346992153444,0.6429465962966275,0.6111300059518748,0.26268951878707975,0.24137552186332675,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.65,2607.0,12233.0,1189.0,2175.0,0.6867755532139094,0.5451693851944793,0.6078339939379809,0.6528598617650005,0.5686180422264875,0.26268951878707975,0.20852559876950122,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.7,2328.0,12554.0,868.0,2454.0,0.7284105131414268,0.4868255959849435,0.5836049135121585,0.6626437435955824,0.5214119333452786,0.26268951878707975,0.1755658097121512,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.75,2073.0,12796.0,626.0,2709.0,0.7680622452760282,0.43350062735257217,0.5542039834246758,0.6653614071125947,0.4748705731433546,0.26268951878707975,0.1482641177763129,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.8,1800.0,12986.0,436.0,2982.0,0.8050089445438283,0.37641154328732745,0.5129666571672842,0.6556899315168295,0.42126942520127314,0.26268951878707975,0.12283014722039112,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.85,1452.0,13147.0,275.0,3330.0,0.8407643312101911,0.30363864491844417,0.4461514825626056,0.6210436270316508,0.3481179573243826,0.26268951878707975,0.09486925950340584,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.9,1027.0,13299.0,123.0,3755.0,0.8930434782608696,0.21476369719782518,0.3462575859743763,0.5473246642506928,0.2532301015879278,0.26268951878707975,0.06317292902658757,0.45301301118441395,0.8476191201782923,0.6998253811217094
18204.0,0.95,400.0,13400.0,22.0,4382.0,0.9478672985781991,0.0836470096194061,0.15372790161414296,0.30911901081916543,0.10230179028132992,0.26268951878707975,0.023181718303669524,0.45301301118441395,0.8476191201782923,0.6998253811217094
