date,theme,ticker,leader_score,leader_rank,stock_return_5d,stock_vs_theme_5d,rvol,breakout_quality,stock_above_20d
2026-05-19,aerospace,ASTS,0.9333333333333332,1.0,0.22078679596064554,0.2050620143511663,0.7609858940301752,0.0,1.0
2026-05-19,aerospace,RKLB,0.8566666666666666,2.0,0.0879551223376942,0.07223034072821496,0.9323769342965711,-0.035081112175178064,1.0
2026-05-19,aerospace,HON,0.71,3.0,0.0009178630513786423,-0.0148069185581006,0.5159923649665822,-0.0055890427392872866,1.0
2026-05-19,ai_apps,NOW,0.9263157894736843,1.0,0.1473033776443995,0.1256934438577725,1.4236446726294736,-0.012666772208347554,1.0
2026-05-19,ai_apps,DUOL,0.8342105263157895,2.0,0.07268176630879308,0.051071832522166086,0.6111767863322768,0.0,1.0
2026-05-19,ai_apps,ADBE,0.8157894736842106,3.0,0.05281734469954613,0.031207410912919138,0.7586028547556556,-0.011539536864747513,1.0
2026-05-19,ai_infrastructure,MRVL,0.9046875000000001,1.0,0.09392095409265777,0.1040771513982711,0.6563006667522897,-0.014404671138332548,1.0
2026-05-19,ai_infrastructure,ARM,0.8859375,2.0,0.08714888070778115,0.09730507801339448,0.6805883993121623,-0.047450525161472745,1.0
2026-05-19,ai_infrastructure,MSFT,0.7546875,3.0,0.026093177367402465,0.0362493746730158,0.585627640120357,-0.03351660656835653,1.0
2026-05-19,asset_managers,SCHW,0.8357142857142856,1.0,0.028165900498245744,0.05040752644794165,0.48621547968413065,0.0,1.0
2026-05-19,asset_managers,MS,0.7857142857142857,2.0,0.002163331702590643,0.024404957652286546,0.5766091176854493,-0.011488684587736553,1.0
2026-05-19,asset_managers,GS,0.6785714285714286,3.0,-0.007759833667427496,0.014481792282268407,0.6178538461061421,-0.0313738686062327,1.0
2026-05-19,autos,MBLY,0.8650000000000001,1.0,0.05308783847174037,0.05914828615134381,0.7348951486028023,-0.07692302815603491,1.0
2026-05-19,autos,TXN,0.765,2.0,0.029813285200541717,0.03587373288014516,0.47065713717212754,-0.013628880241510433,1.0
2026-05-19,autos,F,0.72,3.0,0.09674727852842402,0.10280772620802746,0.45950301843988656,-0.09185082636409025,1.0
2026-05-19,biotech,ABBV,0.8727272727272727,1.0,0.02886558251891591,0.08523035789103671,0.434274886582487,0.0,1.0
