date,theme,baseline_rank,heat_rank,theme_score,baseline_score,rank_change_5d,theme_return_5d,theme_vs_spy_20d,theme_vs_spy_5d,theme_rvol,breadth,top_leader_1,top_leader_2,top_leader_3
2026-05-21,networking,1.0,11.0,0.6712268314210061,0.9228155339805826,-9.0,0.02123428999191181,0.1622182121967517,0.028518747176136578,0.8688533559583879,1.0,QCOM,MRVL,ANET
2026-05-21,memory,2.0,67.0,0.4320388349514563,0.9072815533980583,-22.0,-0.0019968163066035696,0.4677945268676287,0.005287640877621199,0.8113104052681188,1.0,SNDK,LRCX,RMBS
2026-05-21,memory_storage,3.0,81.0,0.3424536628420123,0.8888349514563108,-40.0,-0.022050550771200123,0.36461864769546537,-0.014766093586975355,0.7738747593646348,1.0,QMCO,NTAP,RMBS
2026-05-21,cybersecurity,4.0,6.0,0.7228596646072374,0.8757281553398057,9.0,0.08947284687129609,0.24535021765340015,0.09675730405552085,0.9321212858154486,0.5625,TENB,QLYS,OKTA
2026-05-21,storage,5.0,25.0,0.5858340688437776,0.8466019417475728,19.0,0.020339400074040573,0.2021115936680793,0.02762385725826534,0.8617627902492696,1.0,QMCO,SNDK,HPQ
2026-05-21,semis_compute,6.0,44.0,0.5255957634598413,0.8262135922330096,-38.0,0.0036829706591796525,0.21786907085571183,0.010967427843404421,0.869535176679398,0.7441860465116279,ARM,ALAB,GFS
2026-05-21,quantum_computing,7.0,3.0,0.7744924977934687,0.8053398058252428,17.0,0.08543286019080298,0.21148132304962752,0.09271731737502775,3.0875495666724238,1.0,ARQQ,QBTS,RGTI
2026-05-21,space_satellites,8.0,53.0,0.48234774933804064,0.7990291262135922,-52.0,0.010684461530202164,0.11271596501472358,0.017968918714426935,0.9690833907181574,0.5789473684210527,RDW,ASTS,IRDM
2026-05-21,renewables_storage,9.0,5.0,0.7462488967343336,0.7980582524271845,-1.0,0.07272549203089428,0.21976257830496926,0.08000994921511904,1.3715673212014663,0.8421052631578947,TE,BLDP,ENPH
2026-05-21,obesity_glp1_health,10.0,40.0,0.5443512797881731,0.7735436893203883,42.0,0.07489056753891155,0.07462258024053847,0.08217502472313631,0.6696764961149697,0.5,SG,LLY,OMDA
2026-05-21,solar,11.0,7.0,0.7096204766107679,0.7720873786407768,3.0,0.06856086114391795,0.18172472943090634,0.07584531832814272,1.4527088771997387,0.6666666666666666,ENPH,SEDG,FSLR
2026-05-21,managed_care_insurance,12.0,94.0,0.19770520741394526,0.7669902912621359,-70.0,-0.018234747223268257,0.12592758925407677,-0.010950290039043489,0.6694628282993346,0.1111111111111111,CLOV,HUM,ELV
2026-05-21,cloud_neocloud,13.0,23.0,0.5955428067078553,0.7665048543689321,-2.0,0.0028067411072600357,0.17112675906537111,0.010091198291484804,0.9767274193697074,0.8333333333333334,APLD,CLSK,BE
2026-05-21,semis,14.0,63.0,0.44285083848190643,0.7606796116504853,-47.0,0.006907872168344661,0.12911762052473064,0.014192329352569429,0.7281542683479904,0.6666666666666666,ARM,MRVL,LRCX
2026-05-21,data_centers,15.0,77.0,0.36496028243601064,0.7582524271844661,-70.0,-0.022056230985398915,0.07693907647893705,-0.014771773801174146,0.8188733059721164,0.8571428571428571,CSCO,EQIX,DLR
2026-05-21,additive_manufacturing,16.0,83.0,0.33671668137687555,0.7526699029126215,-61.0,-0.027343955437573814,0.09306198614186423,-0.020059498253349045,0.8560638836928041,1.0,VELO,NNDM,SSYS
2026-05-21,ai_infrastructure,17.0,24.0,0.5955428067078552,0.7434466019417476,12.0,0.03185368169433328,0.17178202392354258,0.03913813887855805,1.0504713872185907,0.6666666666666666,ARM,SMCI,AMD
2026-05-21,cloud,18.0,27.0,0.5809796999117388,0.737378640776699,43.0,0.04113662255788394,0.1765705627613039,0.04842107974210871,0.8645268519721896,0.3333333333333333,ZS,SNOW,MDB
2026-05-21,crypto_infrastructure,19.0,49.0,0.4929390997352163,0.7101941747572816,-44.0,-0.02256045022655605,0.0902616733437418,-0.015275993042331282,0.9088577224794533,0.8947368421052632,BKKT,PURR,CLSK
2026-05-21,diagnostics_tools,20.0,2.0,0.7842012356575464,0.7072815533980582,71.0,0.07187187413317249,-0.012107320563003565,0.07915633131739726,0.9926399024954798,0.9,GH,WGS,TXG
2026-05-21,managed_care,21.0,95.0,0.17233009708737868,0.7021844660194174,-62.0,-0.02611721217014582,0.09413789386868543,-0.01883275498592105,0.6640241748753973,0.1111111111111111,HUM,ELV,ALHC
2026-05-21,oil_services,22.0,74.0,0.4033539276257723,0.6616504854368932,-55.0,-0.0038631055202362576,0.02408785613551001,0.003421351663988511,1.193105217763667,0.08333333333333333,SLB,HAL,AESI
2026-05-21,aerospace,23.0,60.0,0.44969108561341575,0.6597087378640777,-51.0,0.009018899939202463,0.06747755406476763,0.01630335712342723,1.036872447269763,0.4166666666666667,ASTS,HON,GE
2026-05-21,dev_tools,24.0,45.0,0.5205207413945278,0.6483009708737862,49.0,0.05519863439733996,0.2202399899569758,0.06248309158156473,0.6459863333963111,0.3333333333333333,DDOG,GTLB,MDB
2026-05-21,networking_optical,25.0,79.0,0.34819064430714913,0.6400485436893204,-56.0,-0.04495148524774129,0.05817881100108191,-0.037667028063516524,0.6900156022245899,0.9285714285714286,ERIC,CRDO,ANET
