rank_bucket,observations,avg_fwd_5d_theme_return,median_fwd_5d_theme_return,pct_negative_fwd_5d,avg_rank
1-3,6309,0.008066156050337166,0.00611403961140013,0.4323213156230234,2.0
4-5,4206,0.007752530621198669,0.007224148431689913,0.41579696394686905,4.5
6-10,10515,0.007204167904699313,0.006682304122788807,0.4206831119544592,8.0
11-25,31545,0.005994621336610745,0.005586325006540704,0.434123972169513,18.0
26-50,52575,0.004844344708400122,0.004752670422301468,0.44451612903225807,38.0
51-75,52575,0.004316591711488153,0.0041716653075955885,0.4504933586337761,63.0
76+,42060,0.009513993762270807,0.004057876421835345,0.4585626185958254,85.5
