ticker,asset_type,date,px,avg_dollar_volume_20d,market_cap,min_price,min_avg_dollar_volume_20d,min_market_cap,market_cap_missing,is_exception,passes_price,passes_adv20,passes_market_cap,is_eligible
AMBA,stock,2026-06-01,75.625,4955510.094,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AMD,stock,2026-06-01,510.05,353752526.99125004,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AME,stock,2026-06-01,223.38,13686465.385499999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AMGN,stock,2026-06-01,329.06,24078324.797500003,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AMKR,stock,2026-06-01,72.745,14291326.954750001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AMP,stock,2026-06-01,447.13,19455357.5805,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AMPX,stock,2026-06-01,21.75,7864906.283499999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AMRZ,stock,2026-06-01,53.82,10082857.97275,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AMSC,stock,2026-06-01,51.145,1762291.1517500002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AMT,stock,2026-06-01,187.44,26857883.53125,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AMTM,stock,2026-06-01,24.06,2505080.0807499997,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AMZN,stock,2026-06-01,261.2,468919896.73875,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ANET,stock,2026-06-01,170.68,92533095.54249999,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ANF,stock,2026-06-01,75.67,5558128.791,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AOS,stock,2026-06-01,55.755,4957352.5967500005,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AOSL,stock,2026-06-01,43.87,1725882.0877500002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
APA,stock,2026-06-01,37.76,15008386.61225,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
APG,stock,2026-06-01,40.58,6102644.457,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
APGE,stock,2026-06-01,79.32,3727142.7637499995,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
APH,stock,2026-06-01,146.33,86991098.24625,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
APLD,stock,2026-06-01,47.94,28990420.22975,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
APO,stock,2026-06-01,128.11,25359345.482750002,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
APP,stock,2026-06-01,613.73,119869719.0065,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
APPF,stock,2026-06-01,179.32,3859166.6315000006,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
APPN,stock,2026-06-01,27.77,1202534.9780000001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
APTV,stock,2026-06-01,68.61,13403534.398,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AR,stock,2026-06-01,36.77,12876413.857250001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ARCC,stock,2026-06-01,19.06,3835598.29725,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ARE,stock,2026-06-01,48.62,3961787.4652500004,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ARES,stock,2026-06-01,128.73,24935633.55125,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ARKK,etf,2026-06-01,81.3,37012915.23925,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ARKX,etf,2026-06-01,36.37,4083713.453,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ARM,stock,2026-06-01,408.78,103751025.8875,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AROC,stock,2026-06-01,32.915,4490000.13175,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ARQT,stock,2026-06-01,21.5,2780576.3260000004,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ARRY,stock,2026-06-01,8.8,2967961.44775,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ARWR,stock,2026-06-01,75.2,7367721.49925,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AS,stock,2026-06-01,35.83,10343533.403749999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ASAN,stock,2026-06-01,9.08,3550014.2484999998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ASM,stock,2026-06-01,7.31,1447420.0782499998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ASML,stock,2026-06-01,1628.39,108115911.88624999,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ASND,stock,2026-06-01,218.595,9440793.5765,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ASPI,stock,2026-06-01,8.0,2003610.1932499998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ASST,stock,2026-06-01,17.2,3156706.55975,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ASTS,stock,2026-06-01,105.69,57097785.74525,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ASX,stock,2026-06-01,38.17,16670278.91575,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ATEC,stock,2026-06-01,7.49,2364837.347,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ATEN,stock,2026-06-01,31.56,1236919.9704999998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ATI,stock,2026-06-01,178.92,17100890.03925,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AU,stock,2026-06-01,92.04,11347893.513,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AUR,stock,2026-06-01,7.485,12942696.62075,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AVAV,stock,2026-06-01,203.945,7707893.911750001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AVGO,stock,2026-06-01,460.09,275252217.84749997,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AVPT,stock,2026-06-01,11.53,1587849.5405000001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AVT,stock,2026-06-01,86.96,5128430.121,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AVTR,stock,2026-06-01,9.19,5427501.6635,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AXON,stock,2026-06-01,476.44,24340961.01475,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AXP,stock,2026-06-01,313.595,38766187.58225,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AXTI,stock,2026-06-01,109.51,31849445.432750005,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AZN,stock,2026-06-01,179.69,15678478.501250003,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BA,stock,2026-06-01,224.33,53561615.908250004,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BABA,stock,2026-06-01,125.44,56437843.62624999,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BAC,stock,2026-06-01,51.5,115032532.56224999,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BALL,stock,2026-06-01,53.72,8239551.877250001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BAM,stock,2026-06-01,48.11,10133933.54875,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BAND,stock,2026-06-01,70.97,2925293.8815,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BB,stock,2026-06-01,9.71,10245299.83075,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BBAI,stock,2026-06-01,5.335,5492059.20675,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BBIO,stock,2026-06-01,65.405,10530319.77025,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BBWI,stock,2026-06-01,18.65,7435793.92075,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BBY,stock,2026-06-01,74.965,14532197.76425,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BCS,stock,2026-06-01,24.51,5868841.1125,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BE,stock,2026-06-01,273.52,84979477.4725,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BEAM,stock,2026-06-01,31.15,2964888.2107499996,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BEKE,stock,2026-06-01,17.18,8539208.52175,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BEN,stock,2026-06-01,30.94,10200295.716000002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BEP,stock,2026-06-01,36.86,2827749.6939999997,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BETA,stock,2026-06-01,18.04,1735926.2255000002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BFAM,stock,2026-06-01,65.5,7721785.0194999995,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BFLY,stock,2026-06-01,4.615,996278.9289999999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BG,stock,2026-06-01,130.07,12528554.48875,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BGC,stock,2026-06-01,10.44,2212164.0162500003,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BHP,stock,2026-06-01,91.215,12220846.7545,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BIDU,stock,2026-06-01,132.35,16674936.622,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BIIB,stock,2026-06-01,192.3,10375341.320499998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BILI,stock,2026-06-01,18.36,5707081.498000001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BILL,stock,2026-06-01,39.55,6194507.05925,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BIRK,stock,2026-06-01,44.855,6915770.6477500005,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BITO,etf,2026-06-01,9.74,145494607.82625002,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BJ,stock,2026-06-01,88.07,15183190.272499999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BKNG,stock,2026-06-01,169.26,61765209.778249994,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BKR,stock,2026-06-01,62.93,28082632.997999996,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BKSY,stock,2026-06-01,42.35,4321313.5594999995,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BKU,stock,2026-06-01,45.785,1427076.115,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BLBD,stock,2026-06-01,69.315,2185566.21225,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BLD,stock,2026-06-01,412.38,23117760.31375,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BLDP,stock,2026-06-01,6.295,3531263.9077500002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BLDR,stock,2026-06-01,75.61,10807515.30425,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BLK,stock,2026-06-01,1019.73,38637357.191,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BLMN,stock,2026-06-01,8.13,1344003.3105000001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BLSH,stock,2026-06-01,32.145,1973391.1367500003,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BMNR,stock,2026-06-01,18.835,24876551.87125,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BMY,stock,2026-06-01,54.93,37079025.69775,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BN,stock,2026-06-01,45.325,27817790.0895,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BNTX,stock,2026-06-01,91.66,5725886.003999999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BORR,stock,2026-06-01,5.21,3127465.6075000004,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BP,stock,2026-06-01,42.95,25134863.2215,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BROS,stock,2026-06-01,58.89,12905504.26075,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BSX,stock,2026-06-01,47.98,74401685.5035,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BSY,stock,2026-06-01,35.24,6211245.815,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BTDR,stock,2026-06-01,18.5,8327500.64425,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BTG,stock,2026-06-01,4.66,5827820.051000001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BTSG,stock,2026-06-01,59.99,8302326.36875,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BULL,stock,2026-06-01,6.6,3850560.2490000003,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
BURL,stock,2026-06-01,313.885,31004970.899,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
BW,stock,2026-06-01,16.99,3239796.5465,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
