experiment,cagr,sharpe,sortino,max_drawdown,profit_factor,turnover,hit_rate
leaky_oracle_next5d_theme_current_leaders,29.696364372315404,7.917007571598255,35.8591947015481,-0.05220373536261602,12.49088981715297,0.3266427411754736,0.7879506641366224
theme_followers_4_9,0.4017927522277076,1.9524323221967035,2.9607185926284965,-0.14350011070718172,1.4443395083732624,0.2401619755429053,0.5426944971537002
current_regime_leaders_1_3,0.5554120159563904,1.8942139918525536,2.895357004872152,-0.1853378366908549,1.4715012496282494,0.23819376276088797,0.5531309297912713
theme_followers_4_6,0.42897127573093674,1.889647833772516,2.9158092050025277,-0.1755483286529128,1.4382807542183103,0.24125395946909228,0.5422201138519924
persistent_top5_2of5_leaders_1_3,0.4803460572696463,1.5810377647487415,2.3244512618188247,-0.24194333220423025,1.3918053064585398,0.2586567422667992,0.5412713472485768
stability_gate_leaders_1_3,0.5628554346422316,1.5498290253497937,2.5880659609991556,-0.23489367171363584,1.429315485523877,0.3179147088943104,0.5213472485768501
long_leaders_short_worst_themes_half,,-0.21390131783477254,-0.1586702677870244,-3.4513112904298318,0.8859002436227257,1.0617497966928706,0.5056925996204934
long_leaders_short_worst_themes_equal,,-0.38907055753908476,-0.2840847060540822,-1.8141045685840371,0.7274861234198501,1.427422479744586,0.4876660341555977
