date,strategy_return,gross_return,turnover,n_active_themes,n_active_tickers,active_themes
2018-03-13,-0.019454684503234086,-0.018704684503234086,1.4999999999999998,4,10,airlines_travel|biotech|memory|transport_logistics
2018-03-14,-0.02231712125473158,-0.021400454588064912,1.8333333333333333,3,9,memory_storage|solar|utilities_yield
2018-03-15,-0.0049814998168736056,-0.004314833150206939,1.3333333333333335,3,9,electronics_components|transport_logistics|utilities_yield
2018-03-16,0.01744148724045191,0.017885931684896356,0.888888888888889,4,10,power_grid_electrification|real_estate_reits|transport_logistics|utilities_yield
2018-03-19,-0.008877519458680113,-0.00818307501423567,1.3888888888888888,3,9,renewables_storage|transport_logistics|utilities_yield
2018-03-20,0.005826782251180048,0.006521226695624493,1.3888888888888888,4,10,fintech|oil_exploration|renewables_storage|solar
2018-03-21,0.020835787162083737,0.021502453828750403,1.3333333333333333,4,10,copper_metals|energy|oil_exploration|oil_gas
2018-03-22,-0.006158942469577568,-0.005436720247355346,1.4444444444444444,3,7,energy|power_grid_electrification|utilities_yield
2018-03-23,-0.00770628170452143,-0.006928503926743651,1.5555555555555558,3,9,gold|gold_silver_miners|oil_exploration
2018-03-26,0.004475099653777252,0.005252877431555029,1.5555555555555554,3,9,construction_infrastructure|defense|energy
2018-03-27,-0.01991161202070995,-0.019467167576265505,0.8888888888888888,4,7,defense|energy|oil_exploration|oil_gas
2018-03-28,-0.014467463520611325,-0.013467463520611326,2.0,3,9,real_estate_reits|retail_consumer|utilities_yield
2018-03-29,-0.00925057389163439,-0.008583907224967723,1.3333333333333333,3,7,medtech|medtech_devices|retail_consumer
2018-04-02,-0.013810400489128585,-0.013477067155795252,0.6666666666666665,3,9,managed_care_insurance|medtech_devices|retail_consumer
2018-04-03,0.012862616276413868,0.013862616276413867,2.0,3,9,agriculture_food_inputs|power_grid_electrification|transport_logistics
2018-04-04,0.011472882141910112,0.012472882141910113,2.0,3,7,apparel_beauty_lifestyle|healthcare|managed_care
2018-04-05,0.0064655453108904614,0.007132211977557128,1.3333333333333335,3,9,apparel_beauty_lifestyle|construction_infrastructure|oil_integrated
2018-04-06,-0.018549852455290478,-0.01788318578862381,1.3333333333333335,3,9,apparel_beauty_lifestyle|nuclear_uranium|restaurants_food
2018-04-09,-0.007078482161099247,-0.006300704383321469,1.5555555555555558,3,7,diagnostics_tools|nuclear|uranium
2018-04-10,0.017751334139631134,0.018751334139631134,2.0,3,9,medtech_devices|oil_integrated|oil_services
2018-04-11,0.005449864308202487,0.005922086530424709,0.9444444444444445,4,11,gold_silver_miners|oil_gas|oil_integrated|oil_services
2018-04-12,-0.0024943572821281004,-0.0016610239487947671,1.6666666666666665,3,9,drones_autonomy|oil_services|semicap_equipment
2018-04-13,0.0037997557530826424,0.004466422419749309,1.3333333333333335,3,7,energy|oil_exploration|oil_services
2018-04-16,0.010141075784256319,0.01114107578425632,2.0,3,9,datacenter_infra|medtech_devices|storage
2018-04-17,0.004708792949026709,0.005375459615693376,1.3333333333333335,3,9,diagnostics_tools|storage|workflow_software
2018-04-18,0.00019673246984026156,0.0008633991365069283,1.3333333333333335,3,9,diagnostics_tools|oil_services|transport_logistics
2018-04-19,-0.009306604705386329,-0.00830660470538633,1.9999999999999998,3,7,energy|oil_exploration|silver
2018-04-20,-0.010887379381200716,-0.009887379381200715,2.0,3,6,aerospace|nuclear|uranium
2018-04-23,-0.007332434643060027,-0.006582434643060027,1.4999999999999998,4,12,aerospace|airlines_travel|energy|regional_banks
2018-04-24,-0.017050094084550382,-0.016383427417883716,1.333333333333333,4,12,networking_optical|oil_integrated|regional_banks|utilities_yield
2018-04-25,-0.0012043533822322363,-0.0004543533822322363,1.4999999999999998,3,9,medtech_devices|pharma|utilities_yield
2018-04-26,0.0030804286908496454,0.0038304286908496456,1.5,4,9,consumer|medtech_devices|pharma_largecap|restaurants
2018-04-27,-0.0011097499349456506,-0.00044308326827898403,1.3333333333333333,4,11,consumer|real_estate_reits|restaurants_food|utilities_yield
2018-04-30,-0.00856540971408403,-0.008315409714084029,0.49999999999999994,4,12,apparel_beauty_lifestyle|real_estate_reits|restaurants_food|utilities_yield
2018-05-01,0.006754380760768889,0.007671047427435555,1.833333333333333,3,9,homebuilders_housing|natural_gas|real_estate_reits
2018-05-02,-0.006673753094224737,-0.005895975316446958,1.5555555555555558,3,6,nuclear_uranium|real_estate_reits|uranium
2018-05-03,-0.02108957049245087,-0.02008957049245087,2.0000000000000004,3,8,business_apps|fintech|workflow_software
2018-05-04,0.00975202301814301,0.010474245240365233,1.4444444444444442,4,11,asset_managers|business_apps|mega_cap_platforms|semis
2018-05-07,0.00696533016838408,0.007687552390606302,1.4444444444444444,3,9,fintech|mega_cap_platforms|networking_optical
2018-05-08,0.014077060199917687,0.014743726866584353,1.3333333333333333,4,11,ai_infrastructure|dev_tools|networking_optical|workflow_software
2018-05-09,-0.009566165458103595,-0.008760609902548039,1.611111111111111,3,9,business_apps|storage|workflow_software
2018-05-10,0.008943248159153584,0.009693248159153584,1.5000000000000002,4,9,renewables_storage|semis|solar|storage
2018-05-11,-0.019769700051361343,-0.019019700051361343,1.5,4,11,biotech|biotech_innovation|drones_autonomy|renewables_storage
2018-05-14,0.011100991113361616,0.011656546668917172,1.111111111111111,3,8,biotech|energy|oil_exploration
2018-05-15,-0.0021452375297039803,-0.0011452375297039802,2.0,3,9,lithium_battery_materials|memory_storage|regional_banks
2018-05-16,0.03057683257887608,0.03107683257887608,1.0,4,12,airlines_travel|copper_metals|lithium_battery_materials|memory_storage
2018-05-17,-0.006770317355543583,-0.005770317355543583,1.9999999999999996,3,6,oil_exploration|oil_gas|oil_services
