n,threshold,tp,tn,fp,fn,precision,recall,f1,f0_5,f2,pos_rate,pred_rate,logloss,auc,average_precision
43733.0,0.5,4571.0,21758.0,9016.0,8388.0,0.336424523441525,0.3527278339378038,0.3443833345890153,0.33956349265306734,0.34934197453494953,0.29632085610408615,0.31068072165184185,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.55,1400.0,28287.0,2487.0,11559.0,0.36017494211474144,0.10803302723975615,0.16621156357592307,0.24555372364682362,0.125621377169212,0.29632085610408615,0.08888025061166625,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.6,495.0,29885.0,889.0,12464.0,0.35765895953757226,0.03819739177405664,0.06902321690023008,0.13381995133819952,0.04650507328072154,0.29632085610408615,0.03164658267212402,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.65,125.0,30503.0,271.0,12834.0,0.31565656565656564,0.009645806003549657,0.018719580681392737,0.042976002200371316,0.011965844692908564,0.29632085610408615,0.009054947065145313,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.7,25.0,30730.0,44.0,12934.0,0.36231884057971014,0.0019291612007099313,0.003837887626650292,0.009444654325651681,0.0024082458337347074,0.29632085610408615,0.001577755928017744,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.75,6.0,30770.0,4.0,12953.0,0.6,0.0004629986881703835,0.0009252833680314596,0.002307869836141242,0.0005786367318597384,0.29632085610408615,0.00022866027942286145,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.8,0.0,30773.0,1.0,12959.0,0.0,0.0,0.0,0.0,0.0,0.29632085610408615,2.2866027942286144e-05,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.85,0.0,30774.0,0.0,12959.0,0.0,0.0,0.0,0.0,0.0,0.29632085610408615,0.0,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.9,0.0,30774.0,0.0,12959.0,0.0,0.0,0.0,0.0,0.0,0.29632085610408615,0.0,0.6533946215568825,0.5448382236033914,0.327428164305519
43733.0,0.95,0.0,30774.0,0.0,12959.0,0.0,0.0,0.0,0.0,0.0,0.29632085610408615,0.0,0.6533946215568825,0.5448382236033914,0.327428164305519
