enter_rank,exit_rank,min_hold_days,cagr,sharpe,max_drawdown,turnover,profit_factor,mean_hold_days,median_hold_days
8,15,0,0.46650553366379954,1.4284638996643917,-0.3238310301200221,0.3586773046687658,1.285844617451192,6.824425108763207,5.0
8,12,0,0.4454079300636813,1.366088763087414,-0.3255513496246535,0.4190819085861781,1.2725813475348127,5.54979079497908,4.0
8,10,0,0.44723182112712445,1.3544597494415882,-0.32091097633051235,0.47135735118420136,1.2691708365035204,4.669452887537994,3.0
8,15,3,0.42845233185089215,1.3515132187253438,-0.34714021829791575,0.3279404458602751,1.2684584191048667,7.620039037085231,5.0
8,12,3,0.426759881616116,1.3368511290762364,-0.36034038589898476,0.3640949056390233,1.2662242801752221,6.623454929152849,4.0
8,15,5,0.40811576334219146,1.321461428364981,-0.3366750385971131,0.2894825841532439,1.2598357635471191,8.80896953098254,6.0
8,10,3,0.41779751439393853,1.3051085082042384,-0.3585035764851361,0.3945525409828067,1.2595844433825376,5.995175936435868,4.0
8,12,5,0.3961736455977649,1.2872724532861373,-0.3295970243533476,0.31313481932856896,1.2526527794137061,7.990642142626654,6.0
8,10,5,0.3881197761803279,1.2629853780218683,-0.33592183325764446,0.33127619581307,1.2472421534682714,7.470787207872078,5.0
5,15,5,0.4022694986742774,1.242086277795746,-0.31532287204990006,0.2812996639490947,1.2447830270741078,9.455010224948875,7.0
5,12,5,0.40604177590150226,1.238177488786914,-0.3157544247129779,0.30379781289411273,1.2449018944718504,8.593154034229828,6.0
5,15,3,0.40761126468108544,1.2350035274863729,-0.30932939667503,0.31146047930915105,1.2452350684717493,8.457467853610288,6.0
5,15,0,0.4076889946417601,1.2221581736444014,-0.31415646618807813,0.32723672069023113,1.2433531478230233,7.962209302325581,6.0
5,10,5,0.4005675753085214,1.213277500269363,-0.308026980353326,0.3222479559410299,1.24147909885385,8.032562529495046,6.0
5,12,3,0.40347970862456806,1.2124353296844537,-0.30956121568463,0.3432164499882716,1.2407410519367263,7.4646038443506795,5.0
5,12,0,0.3946250494292416,1.176055901047684,-0.3443187409373697,0.3724326200014056,1.2339342682277872,6.774105930285197,5.0
5,10,3,0.3847409442789569,1.1536157597915215,-0.3223334063780877,0.37116618886068603,1.2302760886701172,6.776486365668306,5.0
5,10,0,0.38576229881248403,1.137599181897652,-0.3637500336655024,0.4099439775910364,1.2270297638718188,5.939445628997868,4.0
3,15,5,0.2943729292171371,0.9359123631182731,-0.42473578335497586,0.2829718071653555,1.1823644730639977,9.920769230769231,8.0
3,12,5,0.289211132218663,0.909843177457043,-0.4156490668443502,0.30401014755853467,1.1777676406192272,9.071535022354695,7.0
3,15,0,0.2917481553013075,0.9088848039431795,-0.4668885484919012,0.31356058552453236,1.1788897424982945,8.852102102102101,7.0
3,15,3,0.28247614771547336,0.8954348740191445,-0.4618050511238815,0.30306680019678117,1.1755708383880485,9.175132676269902,8.0
3,12,0,0.2784523892628863,0.8641688469916213,-0.4444464025409225,0.35024170958706063,1.1705884015648227,7.739255014326647,6.0
3,10,5,0.26848744317464956,0.8563292237675497,-0.4343724063118528,0.321812071195373,1.1670052346992439,8.498909090909091,7.0
3,10,0,0.2798265359553167,0.8541218207372145,-0.469187762564267,0.38133264058311495,1.170161989525531,6.975051975051975,6.0
3,12,3,0.2681075378021247,0.8482969578992703,-0.44521655548073613,0.33086867363432826,1.1668798837740748,8.175528040786599,7.0
3,10,3,0.24691897612456248,0.7926746993334933,-0.4649451529582672,0.35606909430438843,1.1562668243218794,7.489406779661017,6.0
