date,best_themes,short_themes,short_tickers,selected_short_basket_same_day_long_return,selected_short_basket_next_1d_long_return,selected_short_basket_next_5d_long_return,short_pnl_next_1d_before_cost,short_pnl_next_5d_before_cost,short_basket_next_1d_positive_return,short_basket_next_5d_positive_return,short_pnl_equity_before_cost
2018-01-02,additive_manufacturing|advanced_packaging|aerospace,workflow_software|vertical_software|utilities_yield,NOW|PTC|TEAM|TYL|VEEV|VST|WDAY|WEC|XEL,0.0,0.014743664567136359,0.03639901631229033,-0.014743664567136359,-0.03639901631229033,True,True,0.9852563354328636
2018-01-03,additive_manufacturing|advanced_packaging|aerospace,workflow_software|vertical_software|utilities_yield,NOW|PTC|TEAM|TYL|VEEV|VST|WDAY|WEC|XEL,0.014743664567136359,0.012050600161046175,0.017743431164027015,-0.012050600161046175,-0.017743431164027015,True,True,0.9733834052784246
2018-01-04,additive_manufacturing|advanced_packaging|aerospace,workflow_software|vertical_software|utilities_yield,NOW|PTC|TEAM|TYL|VEEV|VST|WDAY|WEC|XEL,0.012050600161046175,0.0036972737939629705,0.012268919753532368,-0.0036972737939629705,-0.012268919753532368,True,True,0.9697845403226102
2018-01-05,additive_manufacturing|advanced_packaging|aerospace,workflow_software|vertical_software|utilities_yield,NOW|PTC|TEAM|TYL|VEEV|VST|WDAY|WEC|XEL,0.0036972737939629705,0.00517740434959979,0.009006798070282448,-0.00517740434959979,-0.009006798070282448,True,True,0.9647635736253692
2018-01-08,business_apps|fintech|creative_software,crypto_infrastructure|ai_apps|silver,RIOT|SBET|SLV|SNAP|SVM|WPM|WULF,-0.02403729811115583,7.754188845532362e-05,-0.0041803670446981045,-7.754188845532362e-05,0.0041803670446981045,True,False,0.9646887640359574
2018-01-09,creative_software|business_apps|fintech,crypto_infrastructure|silver|uranium,AG|LEU|MARA|RIOT|SBET|SVM|UEC|UUUU|WPM,-0.013071677024161158,0.010505703968850557,-0.039920973754323165,-0.010505703968850557,0.039920973754323165,True,False,0.9545540294589193
2018-01-10,regional_banks|creative_software|fintech,crypto_infrastructure|utilities_yield|uranium,AEP|CMS|DNN|DUK|MARA|RIOT|UEC|UUUU|WULF,-0.0058023116746364805,-0.02463621205444892,-0.05527062740205616,0.02463621205444892,0.05527062740205616,False,False,0.978070624946098
2018-01-11,regional_banks|creative_software|fintech,uranium|crypto_infrastructure|real_estate_reits,DNN|DOC|MARA|MPT|NXE|OUT|RIOT|UEC|WULF,-0.021994627963882234,0.014293609415688493,-0.037153946138483246,-0.014293609415688493,0.037153946138483246,True,False,0.9640904654521602
2018-01-12,creative_software|regional_banks|asset_managers,real_estate_reits|utilities_yield|uranium,AEP|AMT|CMS|DLR|DNN|DOC|NXE|SO|UEC,-0.009191800082764347,-0.014467224841282933,-0.015483692940384677,0.014467224841282933,0.015483692940384677,False,False,0.9780381789831937
2018-01-16,asset_managers|regional_banks|creative_software,uranium|nuclear|ai_apps,DNN|NXE|SNAP|UEC,-0.05373125125921588,0.0118932683910003,0.016334941087667504,-0.0118932683910003,-0.016334941087667504,True,True,0.9664061084239014
2018-01-17,workflow_software|fintech|creative_software,crypto_infrastructure|uranium|rare_earth_critical_minerals,ALB|CLSK|LAR|LEU|MARA|NXE|RIOT|UEC|UUUU,-0.0027863862177789477,-0.01305709964690411,-0.01066654137184686,0.01305709964690411,0.01066654137184686,False,False,0.9790245692809691
2018-01-18,workflow_software|managed_care_insurance|creative_software,rare_earth_critical_minerals|uranium|lithium_battery_materials,ALB|LAR|NXE|SQM|UEC|UUUU,-0.05451762140354958,0.005099591547902534,-0.006588480636861423,-0.005099591547902534,0.006588480636861423,True,False,0.974031943862275
2018-01-19,fintech|robotics|retail,rare_earth_critical_minerals|lithium_battery_materials|uranium,ALB|LAR|NXE|SQM|UEC|UUUU,0.005099591547902534,-0.0062894422555684155,-0.02234876083638221,0.0062894422555684155,0.02234876083638221,False,False,0.9801580615282758
2018-01-22,creative_software|asset_managers|workflow_software,uranium|crypto_infrastructure|nuclear,DNN|MARA|NXE|RIOT|SBET|UEC|UUUU,-0.010088967981366255,0.008845514708512787,-0.06639283658662253,-0.008845514708512787,0.06639283658662253,True,False,0.97148805897836
2018-01-23,creative_software|regional_banks|workflow_software,crypto_infrastructure|uranium|nuclear,CLSK|DNN|MARA|NXE|SBET|UEC,0.005324803776285488,0.01374369952298147,-0.059979555085593696,-0.01374369952298147,0.059979555085593696,True,False,0.9581362190055969
2018-01-24,asset_managers|regional_banks|managed_care_insurance,crypto_infrastructure|nuclear|uranium,CCJ|CLSK|MSTR|NXE|SBET|UEC,0.0045814177041642035,-0.016491839046264445,-0.035978065710291385,0.016491839046264445,0.035978065710291385,False,False,0.9739376473138336
2018-01-25,managed_care_insurance|workflow_software|fintech,crypto_infrastructure|uranium|nuclear,CCJ|NXE|RIOT|SBET|UEC|UUUU|WULF,-0.02962552388500978,-0.00875609057378625,-0.07038724123131403,0.00875609057378625,0.07038724123131403,False,False,0.9824655335669338
2018-01-26,pharma|workflow_software|managed_care_insurance,crypto_infrastructure|uranium|nuclear,CCJ|CLSK|MARA|NXE|RIOT|UEC|UUUU,-0.023000328798550167,-0.0278069480176896,-0.08843357863022452,0.0278069480176896,0.08843357863022452,False,False,1.0097849015880012
2018-01-29,pharma|workflow_software|managed_care_insurance,crypto_infrastructure|uranium|nuclear,CCJ|LEU|MARA|RIOT|SBET|UEC|UUUU,-0.03576456328810259,-0.028366014480966317,-0.1354130702473469,0.028366014480966317,0.1354130702473469,False,False,1.0384284747291075
2018-01-30,workflow_software|retail|ai_apps_agents,crypto_infrastructure|uranium|nuclear,CCJ|DNN|MARA|RIOT|SBET|UEC|UUUU,-0.030123172188867873,0.021834637083533805,-0.04384889274515667,-0.021834637083533805,0.04384889274515667,True,False,1.0157547658461898
2018-01-31,workflow_software|fintech|ai_apps_agents,crypto_infrastructure|uranium|nuclear,CCJ|DNN|MARA|NXE|RIOT|SBET|UUUU,0.022488725755024013,-0.02577359253540704,-0.02904701308449063,0.02577359253540704,0.02904701308449063,False,False,1.0419344152970074
2018-02-01,workflow_software|ai_apps_agents|fintech,crypto_infrastructure|rare_earth_critical_minerals|lithium_battery_materials,ALB|LAR|MARA|RIOT|SBET|SQM|UUUU,-0.03371586134160771,-0.04482836150519883,0.004342023674383125,0.04482836150519883,-0.004342023674383125,False,True,1.0886426279306496
2018-02-02,workflow_software|regional_banks|streaming_entertainment,crypto_infrastructure|rare_earth_critical_minerals|lithium_battery_materials,ALB|LAR|MARA|RIOT|SBET|SQM|UUUU,-0.04482836150519883,-0.04991373437730932,0.06228583533369324,0.04991373437730932,-0.06228583533369324,False,True,1.142980846892996
2018-02-05,workflow_software|quantum_computing|streaming_entertainment,lithium_battery_materials|rare_earth_critical_minerals|additive_manufacturing,ALB|DDD|LAR|NNDM|SQM|SSYS|UUUU,-0.03525088604908232,0.047129301515542496,0.05498545097860182,-0.047129301515542496,-0.05498545097860182,True,True,1.0891129579332859
2018-02-06,workflow_software|quantum_computing|streaming_entertainment,crypto_infrastructure|natural_gas|nuclear,CTRA|DNN|EQT|MARA|NXE|RIOT|RRC|SBET|UEC,0.054555541792746624,0.006536809249846971,0.015586043795800197,-0.006536809249846971,-0.015586043795800197,True,True,1.0819936342757392
2018-02-07,ai_apps|workflow_software|quantum_computing,crypto_infrastructure|nuclear|natural_gas,AR|CLSK|EQT|LEU|MARA|NXE|RRC|UEC|WULF,-0.026207896220734137,-0.01585658716154677,-0.012110874286636066,0.01585658716154677,0.012110874286636066,False,False,1.0991503606458712
