date,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,tb_label,tb_entry_price,tb_exit_price,tb_holding_bars,tb_realized_return,tb_long_label,tb_short_label,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short
2025-01-27 09:30:00-05:00,0,0,0,0,0.0,0,0,,,,,0.0,597.55,597.11,10.0,-0.0007363400552253818,0,0,0.19999999999999996,0.4,0,0,0,,,,,4.0,0,,,,,,
2025-01-27 09:45:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,598.61,597.54,10.0,-0.0017874743154976391,0,1,0.15000000000000002,0.35,0,0,0,,,,,3.0,0,,,,,,
2025-01-27 10:00:00-05:00,0,0,0,0,0.0,0,0,,,,,0.0,597.705,597.54,10.0,-0.0002760559138706986,0,0,0.09999999999999998,0.30000000000000004,0,0,0,,,,,2.0,0,,,,,,
2025-01-27 10:15:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,599.04,596.4899999999999,4.0,-0.004256810897436014,0,1,0.050000000000000044,0.25,0,0,0,,,,,1.0,0,,,,,,
2025-01-27 10:30:00-05:00,1,0,0,0,0.0,0,0,,,,,-1.0,599.465,596.915,3.0,-0.0042537929653942985,0,1,,,0,0,0,,,,,,,,,,,,
2025-01-27 10:45:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,598.085,596.1,10.0,-0.003318926239581299,0,1,0.35,0.15000000000000002,0,0,0,,,,,3.0,0,,,,,,
2025-01-27 11:00:00-05:00,0,0,0,0,0.0,0,0,,,,,0.0,597.57,597.215,10.0,-0.0005940726609434677,0,0,0.30000000000000004,0.09999999999999998,0,0,0,,,,,2.0,0,,,,,,
2025-01-27 11:15:00-05:00,0,0,0,0,0.0,0,0,,,,,0.0,596.51,596.615,10.0,0.00017602387218995652,0,0,0.25,0.050000000000000044,0,0,0,,,,,1.0,0,,,,,,
2025-01-27 11:30:00-05:00,0,1,0,0,0.0,0,0,,,,,0.0,596.7,597.035,10.0,0.0005614211496562937,0,0,,,0,0,0,,,,,,,,,,,,
2025-01-27 11:45:00-05:00,0,0,0,0,0.0,0,0,,,,,1.0,596.83,598.98,10.0,0.0036023658328165897,1,0,0.15000000000000002,0.30000000000000004,0,0,0,,,,,3.0,0,,,,,,
2025-01-27 12:00:00-05:00,0,0,0,0,0.0,0,0,,,,,0.0,597.11,597.62,10.0,0.000854113982348359,0,0,0.09999999999999998,0.25,0,0,0,,,,,2.0,0,,,,,,
2025-01-27 12:15:00-05:00,0,0,0,0,0.0,0,0,,,,,0.0,597.54,596.915,10.0,-0.0010459550825049346,0,0,0.050000000000000044,0.19999999999999996,0,0,0,,,,,1.0,0,,,,,,
2025-01-27 12:30:00-05:00,1,0,0,0,0.0,0,0,,,,,-1.0,597.54,596.84,10.0,-0.0011714696924054468,0,1,,,0,0,0,,,,,,,,,,,,
2025-01-27 12:45:00-05:00,0,0,0,0,0.0,0,0,,,,,1.0,596.22,598.7700000000001,6.0,0.004276944751937295,1,0,0.30000000000000004,0.09999999999999998,0,0,0,,,,,2.0,0,,,,,,
2025-01-27 13:00:00-05:00,0,0,0,0,0.0,0,0,,,,,1.0,596.43,598.98,5.0,0.004275438861224501,1,0,0.25,0.050000000000000044,0,0,0,,,,,1.0,0,,,,,,
2025-01-27 13:15:00-05:00,0,1,0,0,1.0,1,0,596.05,597.2764285714286,1.0,0.0020575934425444142,1.0,596.1,598.5528571428572,4.0,0.004114841709205175,1,0,,,0,0,0,,,,,,,,,,,,
2025-01-27 13:30:00-05:00,0,0,0,0,0.0,0,0,,,,,1.0,597.215,599.64,10.0,0.004060514220171951,1,0,0.15000000000000002,0.25,0,0,0,,,,,3.0,0,,,,,,
2025-01-27 13:45:00-05:00,0,0,0,0,0.0,0,0,,,,,1.0,596.615,598.99889212828,2.0,0.0039956959316811425,1,0,0.09999999999999998,0.19999999999999996,0,0,0,,,,,2.0,0,,,,,,
2025-01-27 14:00:00-05:00,0,0,0,0,0.0,0,0,,,,,1.0,597.035,599.343614119117,7.0,0.0038667986284171008,1,0,0.050000000000000044,0.15000000000000002,0,0,0,,,,,1.0,0,,,,,,
