,ret_1,ret_2,ret_4,ret_8,ret_16,body_pct,range_pct,upper_wick_pct,lower_wick_pct,close_pos_in_range,atr_14_pct,tr_pct,rv_10,rv_20,rv_ratio_10_20,ema_20_ratio,ema_50_ratio,ema_20_50_ratio,adx_14,close_z_20,close_z_50,ret_z_20,vwap_dist_pct,vwap_slope_pct,above_vwap_flag,vol_z_20,vol_ratio_20,bb_width_20_pct,keltner_width_pct,squeeze_flag,rsi_14,stoch_k_14_3,roc_10,atr,atr_swing_state,atr_swing_extreme,atr_swing_dist_from_extreme_atr,atr_swing_bars_since_flip,atr_swing_flip,swing_leg_count,minutes_from_open,sin_time,cos_time,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,is_opening_30m_flag,is_power_hour_flag,ret_1__30m,ret_2__30m,ret_4__30m,ret_8__30m,ret_16__30m,body_pct__30m,range_pct__30m,upper_wick_pct__30m,lower_wick_pct__30m,close_pos_in_range__30m,atr_14_pct__30m,tr_pct__30m,rv_10__30m,rv_20__30m,rv_ratio_10_20__30m,ema_20_ratio__30m,ema_50_ratio__30m,ema_20_50_ratio__30m,adx_14__30m,close_z_20__30m,close_z_50__30m,ret_z_20__30m,vwap_dist_pct__30m,vwap_slope_pct__30m,above_vwap_flag__30m,vol_z_20__30m,vol_ratio_20__30m,bb_width_20_pct__30m,keltner_width_pct__30m,squeeze_flag__30m,rsi_14__30m,stoch_k_14_3__30m,roc_10__30m,atr__30m,atr_swing_state__30m,atr_swing_extreme__30m,atr_swing_dist_from_extreme_atr__30m,atr_swing_bars_since_flip__30m,atr_swing_flip__30m,ret_1__4h,ret_2__4h,ret_4__4h,ret_8__4h,ret_16__4h,body_pct__4h,range_pct__4h,upper_wick_pct__4h,lower_wick_pct__4h,close_pos_in_range__4h,atr_14_pct__4h,tr_pct__4h,rv_10__4h,rv_20__4h,rv_ratio_10_20__4h,ema_20_ratio__4h,ema_50_ratio__4h,ema_20_50_ratio__4h,adx_14__4h,close_z_20__4h,close_z_50__4h,ret_z_20__4h,vwap_dist_pct__4h,vwap_slope_pct__4h,above_vwap_flag__4h,vol_z_20__4h,vol_ratio_20__4h,bb_width_20_pct__4h,keltner_width_pct__4h,squeeze_flag__4h,rsi_14__4h,stoch_k_14_3__4h,roc_10__4h,atr__4h,atr_swing_state__4h,atr_swing_extreme__4h,atr_swing_dist_from_extreme_atr__4h,atr_swing_bars_since_flip__4h,atr_swing_flip__4h,swing_leg_count__4h,ret_1__1d,ret_2__1d,ret_4__1d,ret_8__1d,ret_16__1d,body_pct__1d,range_pct__1d,upper_wick_pct__1d,lower_wick_pct__1d,close_pos_in_range__1d,atr_14_pct__1d,tr_pct__1d,rv_10__1d,rv_20__1d,rv_ratio_10_20__1d,ema_20_ratio__1d,ema_50_ratio__1d,ema_20_50_ratio__1d,adx_14__1d,close_z_20__1d,close_z_50__1d,ret_z_20__1d,vwap_dist_pct__1d,vwap_slope_pct__1d,above_vwap_flag__1d,vol_z_20__1d,vol_ratio_20__1d,dollar_vol_z_20__1d,bb_width_20_pct__1d,keltner_width_pct__1d,squeeze_flag__1d,rsi_14__1d,stoch_k_14_3__1d,roc_10__1d,atr__1d,atr_swing_state__1d,atr_swing_extreme__1d,atr_swing_dist_from_extreme_atr__1d,atr_swing_bars_since_flip__1d,atr_swing_flip__1d,swing_leg_count__1d
1481,0.00071975734,0.00024965307,-0.0012766615,-0.0023759252,-0.006542141,0.000778233,0.0027164735,0.0005139274,0.0014243132,0.8108108,0.0033563252,0.0027164735,0.0013169408,0.0032934425,0.39986753,0.9969923,0.99679846,0.99980557,26.56372,-0.9681949,-1.3750927,0.36981943,0.00017070549,-7.687672e-05,1.0,-0.5830247,0.5167999,0.019615695,0.013700848,0.0,41.03467,14.015477,-0.0010414527,2.285758,-1.0,679.18,0.8093595,10.0,0.0,124.0,0.53846157,-0.23931566,-0.97094184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004701043,-0.00088860496,-0.001849759,7.3471338e-06,-0.0075973636,-0.00035266113,0.0029388426,0.00095512386,0.0016310577,0.555,0.0034079966,0.0029388426,0.004308915,0.0037171873,1.1591871,0.99595964,0.9959511,0.9999914,25.430939,-1.2136154,-1.6380107,-0.08029644,-0.0006261129,-0.00023426497,0.0,-0.52070665,0.5662364,0.019582951,0.014009344,0.0,38.939953,14.345084,-0.014852345,2.319278,-1.0,679.18,0.5863894,9.0,0.0,-0.0015263145,-0.0013796547,-0.014493641,-0.009836026,-0.0075792302,-0.0023205946,0.0055224276,0.00088123843,0.0023205946,0.42021278,0.0048386944,0.0055224276,0.0058290716,0.0042187595,1.3817027,0.99595696,1.0006653,1.0047275,25.37682,-1.4102752,0.29170787,-0.2986856,-0.00029374615,-0.001673929,0.0,-0.0146938,0.9854684,0.01536932,0.01966134,1.0,45.785645,20.120378,-0.002709789,3.2944736,-1.0,679.18,0.5099449,3.0,0.0,36.0,-0.012967327,-0.007916957,-0.0031918504,0.00046938716,0.02336815,-0.008021704,0.012127878,0.00011731926,0.0039888546,0.32889965,0.0107304705,0.017040621,0.0056833616,0.009018509,0.6301886,1.002619,1.0130764,1.0104301,16.230547,0.5164849,0.7640434,-1.5170413,-0.0013833896,-0.0074566845,0.0,0.0948908,1.0470827,0.12971197,0.0618475,0.04234662,0.0,53.078133,87.47475,-0.0016251592,7.317108,1.0,690.81,1.2176942,12.0,0.0,14.0
1482,0.00096865103,0.0016884084,0.0007998034,-0.0012534499,-0.008188594,0.0009095043,0.0019143599,9.535126e-05,0.0009095043,0.95019156,0.0032503102,0.0019143599,0.0012128288,0.0033097551,0.36644065,0.9981526,0.99785197,0.9996988,27.379713,-0.6976498,-1.0676098,0.42285216,0.0010216826,0.00011717304,1.0,-0.09121488,0.93158245,0.019367306,0.0131132845,0.0,43.829834,16.394382,0.0016971941,2.215704,-1.0,679.18,1.1328229,11.0,0.0,124.0,0.6923077,-0.9350162,-0.3546049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071975734,0.00024965307,-0.0012766615,-0.0023759252,-0.006542141,0.000778233,0.0027164735,0.0005139274,0.0014243132,0.8108108,0.0033563252,0.0027164735,0.0013169408,0.0032934425,0.39986753,0.9969923,0.99679846,0.99980557,26.56372,-0.9681949,-1.3750927,0.36981943,0.00017070549,-7.687672e-05,1.0,-0.5830247,0.5167999,0.019615695,0.013700848,0.0,41.03467,14.015477,-0.0010414527,2.285758,-1.0,679.18,0.8093595,10.0,0.0,-0.0015263145,-0.0013796547,-0.014493641,-0.009836026,-0.0075792302,-0.0023205946,0.0055224276,0.00088123843,0.0023205946,0.42021278,0.0048386944,0.0055224276,0.0058290716,0.0042187595,1.3817027,0.99595696,1.0006653,1.0047275,25.37682,-1.4102752,0.29170787,-0.2986856,-0.00029374615,-0.001673929,0.0,-0.0146938,0.9854684,0.01536932,0.01966134,1.0,45.785645,20.120378,-0.002709789,3.2944736,-1.0,679.18,0.5099449,3.0,0.0,36.0,-0.012967327,-0.007916957,-0.0031918504,0.00046938716,0.02336815,-0.008021704,0.012127878,0.00011731926,0.0039888546,0.32889965,0.0107304705,0.017040621,0.0056833616,0.009018509,0.6301886,1.002619,1.0130764,1.0104301,16.230547,0.5164849,0.7640434,-1.5170413,-0.0013833896,-0.0074566845,0.0,0.0948908,1.0470827,0.12971197,0.0618475,0.04234662,0.0,53.078133,87.47475,-0.0016251592,7.317108,1.0,690.81,1.2176942,12.0,0.0,14.0
1483,-0.0014312927,-0.0004626417,-0.00021298864,-0.0018419522,-0.010674191,-0.0013882462,0.0017481619,0.00011752349,0.0002423922,0.13865547,0.003147337,0.0017481619,0.0007557338,0.0033172637,0.22781843,0.9970359,0.9965645,0.99952716,28.137419,-0.8915694,-1.418207,-0.2859223,-0.0004138082,4.634787e-06,0.0,2.0831606,2.491613,0.019318387,0.01254736,0.0,40.756218,16.895958,-0.002834542,2.1424394,-1.0,679.18,0.71647304,12.0,0.0,124.0,0.84615386,-0.82298386,0.56806475,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00096865103,0.0016884084,0.0007998034,-0.0012534499,-0.008188594,0.0009095043,0.0019143599,9.535126e-05,0.0009095043,0.95019156,0.0032503102,0.0019143599,0.0012128288,0.0033097551,0.36644065,0.9981526,0.99785197,0.9996988,27.379713,-0.6976498,-1.0676098,0.42285216,0.0010216826,0.00011717304,1.0,-0.09121488,0.93158245,0.019367306,0.0131132845,0.0,43.829834,16.394382,0.0016971941,2.215704,-1.0,679.18,1.1328229,11.0,0.0,-0.0015263145,-0.0013796547,-0.014493641,-0.009836026,-0.0075792302,-0.0023205946,0.0055224276,0.00088123843,0.0023205946,0.42021278,0.0048386944,0.0055224276,0.0058290716,0.0042187595,1.3817027,0.99595696,1.0006653,1.0047275,25.37682,-1.4102752,0.29170787,-0.2986856,-0.00029374615,-0.001673929,0.0,-0.0146938,0.9854684,0.01536932,0.01966134,1.0,45.785645,20.120378,-0.002709789,3.2944736,-1.0,679.18,0.5099449,3.0,0.0,36.0,-0.012967327,-0.007916957,-0.0031918504,0.00046938716,0.02336815,-0.008021704,0.012127878,0.00011731926,0.0039888546,0.32889965,0.0107304705,0.017040621,0.0056833616,0.009018509,0.6301886,1.002619,1.0130764,1.0104301,16.230547,0.5164849,0.7640434,-1.5170413,-0.0013833896,-0.0074566845,0.0,0.0948908,1.0470827,0.12971197,0.0618475,0.04234662,0.0,53.078133,87.47475,-0.0016251592,7.317108,1.0,690.81,1.2176942,12.0,0.0,14.0
1484,0.0004039054,-0.0010273873,0.0006610211,-0.0011887379,-0.011446885,0.00029369007,0.00036711257,1.4684503e-05,5.8738013e-05,0.96,0.0029512404,0.00041850834,0.00078635616,0.0032938241,0.23873653,0.9976821,0.9970857,0.9994022,28.841002,-0.7358524,-1.2583877,0.22791821,-9.738005e-06,-7.9225906e-08,0.0,-1.2516772,0.0044270502,0.019413525,0.011507221,0.0,41.99183,18.889025,-0.002278238,2.0097651,-1.0,679.18,0.90060276,13.0,0.0,124.0,1.0,-2.4492937e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0014312927,-0.0004626417,-0.00021298864,-0.0018419522,-0.010674191,-0.0013882462,0.0017481619,0.00011752349,0.0002423922,0.13865547,0.003147337,0.0017481619,0.0007557338,0.0033172637,0.22781843,0.9970359,0.9965645,0.99952716,28.137419,-0.8915694,-1.418207,-0.2859223,-0.0004138082,4.634787e-06,0.0,2.0831606,2.491613,0.019318387,0.01254736,0.0,40.756218,16.895958,-0.002834542,2.1424394,-1.0,679.18,0.71647304,12.0,0.0,-0.00021298864,-0.0017393032,0.0002644628,-0.009656261,-0.0039219903,-9.5487834e-05,0.0034155264,0.0014323175,0.001887721,0.5526882,0.004737997,0.0034155264,0.005802999,0.00421876,1.3755225,0.9961485,1.0004344,1.0043025,25.377035,-1.3284721,0.24660124,0.011421621,-7.271449e-05,-0.00043388564,0.0,1.1133337,2.0050263,0.01617584,0.019093774,0.0,45.515217,17.010605,-0.0042275875,3.2252254,-1.0,679.18,0.47593573,4.0,0.0,36.0,-0.012967327,-0.007916957,-0.0031918504,0.00046938716,0.02336815,-0.008021704,0.012127878,0.00011731926,0.0039888546,0.32889965,0.0107304705,0.017040621,0.0056833616,0.009018509,0.6301886,1.002619,1.0130764,1.0104301,16.230547,0.5164849,0.7640434,-1.5170413,-0.0013833896,-0.0074566845,0.0,0.0948908,1.0470827,0.12971197,0.0618475,0.04234662,0.0,53.078133,87.47475,-0.0016251592,7.317108,1.0,690.81,1.2176942,12.0,0.0,14.0
1485,-0.0029264942,-0.0025225887,-0.0029852304,-0.004261892,-0.014837827,-0.0025405008,0.0066863033,0.00046391753,0.003681885,0.5506608,0.003226062,0.0066863033,0.0011563629,0.003343928,0.34580976,0.9952627,0.99439925,0.99913245,30.595472,-1.1894864,-1.9243687,-0.7327089,0.00022582228,-0.0031570857,1.0,-0.004250715,0.99667084,0.020082232,0.012988972,0.0,36.120953,22.358242,-0.00435503,2.1904962,-1.0,676.5,1.1412939,14.0,0.0,124.0,0.07692308,0.46472317,0.885456,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0004039054,-0.0010273873,0.0006610211,-0.0011887379,-0.011446885,0.00029369007,0.00036711257,1.4684503e-05,5.8738013e-05,0.96,0.0029512404,0.00041850834,0.00078635616,0.0032938241,0.23873653,0.9976821,0.9970857,0.9994022,28.841002,-0.7358524,-1.2583877,0.22791821,-9.738005e-06,-7.9225906e-08,0.0,-1.2516772,0.0044270502,0.019413525,0.011507221,0.0,41.99183,18.889025,-0.002278238,2.0097651,-1.0,679.18,0.90060276,13.0,0.0,0.0004039054,0.00019091676,-0.0011887379,-0.0066008773,-0.00394235,0.00029369007,0.00036711257,1.4684503e-05,5.8738013e-05,0.96,0.0044276854,0.00041850834,0.0053948904,0.004171161,1.2933786,0.9968784,1.0008057,1.0039396,25.377237,-1.1116421,0.24375756,0.18496026,0.00033099725,1.415159e-07,1.0,-1.0420754,0.0019371203,0.01661295,0.017427776,0.0,46.16466,14.402408,-0.009598743,3.0152094,-1.0,679.18,0.60029,5.0,0.0,36.0,-0.0013353978,-0.014302725,-0.0025225503,-0.0044541545,0.04338037,-0.002129253,0.0055213734,0.0008810702,0.00251105,0.45478722,0.010371707,0.0055213734,0.0055401525,0.009029544,0.6135584,1.001159,1.0112596,1.0100889,16.108215,0.39454824,0.6422653,-0.21365722,-0.00016642438,-0.0025481686,0.0,-0.09039521,0.9549609,-0.07001842,0.062032185,0.040468186,0.0,52.221718,75.747795,0.0010878354,7.063029,1.0,690.81,1.3903383,13.0,0.0,14.0
1486,-0.0010756887,-0.004002183,-0.0050295703,-0.004229767,-0.018304907,-0.0011352411,0.0039512287,0.00039807157,0.0024179162,0.6119403,0.003281084,0.0039512287,0.0011709391,0.0032652565,0.35860553,0.9947429,0.99359006,0.9988411,32.224625,-1.2617543,-2.0625625,-0.12702848,-0.0002984284,-0.0005513051,0.0,-0.110826485,0.9147568,0.020222252,0.013269804,0.0,34.230335,25.508284,-0.0051774713,2.2254608,-1.0,676.5,0.7953409,15.0,0.0,124.0,0.23076923,0.99270886,0.12053668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0029264942,-0.0025225887,-0.0029852304,-0.004261892,-0.014837827,-0.0025405008,0.0066863033,0.00046391753,0.003681885,0.5506608,0.003226062,0.0066863033,0.0011563629,0.003343928,0.34580976,0.9952627,0.99439925,0.99913245,30.595472,-1.1894864,-1.9243687,-0.7327089,0.00022582228,-0.0031570857,1.0,-0.004250715,0.99667084,0.020082232,0.012988972,0.0,36.120953,22.358242,-0.00435503,2.1904962,-1.0,676.5,1.1412939,14.0,0.0,0.0004039054,0.00019091676,-0.0011887379,-0.0066008773,-0.00394235,0.00029369007,0.00036711257,1.4684503e-05,5.8738013e-05,0.96,0.0044276854,0.00041850834,0.0053948904,0.004171161,1.2933786,0.9968784,1.0008057,1.0039396,25.377237,-1.1116421,0.24375756,0.18496026,0.00033099725,1.415159e-07,1.0,-1.0420754,0.0019371203,0.01661295,0.017427776,0.0,46.16466,14.402408,-0.009598743,3.0152094,-1.0,679.18,0.60029,5.0,0.0,36.0,-0.0013353978,-0.014302725,-0.0025225503,-0.0044541545,0.04338037,-0.002129253,0.0055213734,0.0008810702,0.00251105,0.45478722,0.010371707,0.0055213734,0.0055401525,0.009029544,0.6135584,1.001159,1.0112596,1.0100889,16.108215,0.39454824,0.6422653,-0.21365722,-0.00016642438,-0.0025481686,0.0,-0.09039521,0.9549609,-0.07001842,0.062032185,0.040468186,0.0,52.221718,75.747795,0.0010878354,7.063029,1.0,690.81,1.3903383,13.0,0.0,14.0
1487,-0.0039294525,-0.0050051413,-0.00752773,-0.0077407183,-0.009032367,-0.0040259915,0.0048696734,0.0006808662,0.00016281582,0.03343465,0.00340655,0.0048696734,0.001558694,0.0033172248,0.46987894,0.9917067,0.99009365,0.9983734,33.97438,-1.7872344,-2.7373438,-0.9102055,-0.0033739393,-0.0008592065,0.0,-0.18010268,0.86530316,0.020917928,0.013908397,0.0,28.397629,18.628796,-0.009224227,2.3014994,-1.0,675.5,0.04779493,16.0,0.0,124.0,0.3846154,0.66312265,-0.7485108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0010756887,-0.004002183,-0.0050295703,-0.004229767,-0.018304907,-0.0011352411,0.0039512287,0.00039807157,0.0024179162,0.6119403,0.003281084,0.0039512287,0.0011709391,0.0032652565,0.35860553,0.9947429,0.99359006,0.9988411,32.224625,-1.2617543,-2.0625625,-0.12702848,-0.0002984284,-0.0005513051,0.0,-0.110826485,0.9147568,0.020222252,0.013269804,0.0,34.230335,25.508284,-0.0051774713,2.2254608,-1.0,676.5,0.7953409,15.0,0.0,-0.004002183,-0.0035982777,-0.0053375806,-0.015913516,-0.008529431,-0.0036195025,0.0066934996,0.00046441684,0.0026095803,0.38986784,0.004606017,0.0066934996,0.005472571,0.004249786,1.2877287,0.99356884,0.99693304,1.003386,26.17744,-1.760914,-0.072075,-0.81492996,-0.00049144635,-0.003174755,0.0,-0.12292617,0.87929994,0.018208703,0.018381124,0.0,40.96367,13.710265,-0.013167084,3.1241229,-1.0,676.5,0.566559,6.0,0.0,36.0,-0.0013353978,-0.014302725,-0.0025225503,-0.0044541545,0.04338037,-0.002129253,0.0055213734,0.0008810702,0.00251105,0.45478722,0.010371707,0.0055213734,0.0055401525,0.009029544,0.6135584,1.001159,1.0112596,1.0100889,16.108215,0.39454824,0.6422653,-0.21365722,-0.00016642438,-0.0025481686,0.0,-0.09039521,0.9549609,-0.07001842,0.062032185,0.040468186,0.0,52.221718,75.747795,0.0010878354,7.063029,1.0,690.81,1.3903383,13.0,0.0,14.0
1488,0.0033395428,-0.0005899096,-0.0045920927,-0.0039310716,-0.0039237244,0.0033782288,0.005229616,0.0010105183,0.0008408692,0.8067701,0.003526223,0.005229616,0.0020563155,0.003422425,0.60083586,0.99549586,0.9936626,0.9981584,35.69863,-1.0886261,-1.859447,1.2101045,0.00028457932,-0.00031328847,1.0,0.09757741,1.0715746,0.019391965,0.014534069,0.0,38.05534,19.837688,-0.0048080804,2.3903208,-1.0,675.01,1.1964922,17.0,0.0,124.0,0.53846157,-0.23931566,-0.97094184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0039294525,-0.0050051413,-0.00752773,-0.0077407183,-0.009032367,-0.0040259915,0.0048696734,0.0006808662,0.00016281582,0.03343465,0.00340655,0.0048696734,0.001558694,0.0033172248,0.46987894,0.9917067,0.99009365,0.9983734,33.97438,-1.7872344,-2.7373438,-0.9102055,-0.0033739393,-0.0008592065,0.0,-0.18010268,0.86530316,0.020917928,0.013908397,0.0,28.397629,18.628796,-0.009224227,2.3014994,-1.0,675.5,0.04779493,16.0,0.0,-0.004002183,-0.0035982777,-0.0053375806,-0.015913516,-0.008529431,-0.0036195025,0.0066934996,0.00046441684,0.0026095803,0.38986784,0.004606017,0.0066934996,0.005472571,0.004249786,1.2877287,0.99356884,0.99693304,1.003386,26.17744,-1.760914,-0.072075,-0.81492996,-0.00049144635,-0.003174755,0.0,-0.12292617,0.87929994,0.018208703,0.018381124,0.0,40.96367,13.710265,-0.013167084,3.1241229,-1.0,676.5,0.566559,6.0,0.0,36.0,-0.0013353978,-0.014302725,-0.0025225503,-0.0044541545,0.04338037,-0.002129253,0.0055213734,0.0008810702,0.00251105,0.45478722,0.010371707,0.0055213734,0.0055401525,0.009029544,0.6135584,1.001159,1.0112596,1.0100889,16.108215,0.39454824,0.6422653,-0.21365722,-0.00016642438,-0.0025481686,0.0,-0.09039521,0.9549609,-0.07001842,0.062032185,0.040468186,0.0,52.221718,75.747795,0.0010878354,7.063029,1.0,690.81,1.3903383,13.0,0.0,14.0
1489,0.00011800977,0.0034575525,-0.0015475886,-0.004532819,-0.006908744,0.00028025665,0.003997345,0.0009292721,0.002787816,0.7675277,0.003559488,0.003997345,0.0020651354,0.0034165496,0.6044506,0.99602944,0.9940223,0.9979848,37.279785,-1.0292692,-1.7362752,0.2743354,0.00047667164,-7.415294e-05,1.0,0.4147813,1.2765226,0.016932044,0.014671118,0.0,38.37222,24.492338,-0.0042740065,2.413155,-1.0,675.01,1.218322,18.0,0.0,124.0,0.6923077,-0.9350162,-0.3546049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0033395428,-0.0005899096,-0.0045920927,-0.0039310716,-0.0039237244,0.0033782288,0.005229616,0.0010105183,0.0008408692,0.8067701,0.003526223,0.005229616,0.0020563155,0.003422425,0.60083586,0.99549586,0.9936626,0.9981584,35.69863,-1.0886261,-1.859447,1.2101045,0.00028457932,-0.00031328847,1.0,0.09757741,1.0715746,0.019391965,0.014534069,0.0,38.05534,19.837688,-0.0048080804,2.3903208,-1.0,675.01,1.1964922,17.0,0.0,-0.004002183,-0.0035982777,-0.0053375806,-0.015913516,-0.008529431,-0.0036195025,0.0066934996,0.00046441684,0.0026095803,0.38986784,0.004606017,0.0066934996,0.005472571,0.004249786,1.2877287,0.99356884,0.99693304,1.003386,26.17744,-1.760914,-0.072075,-0.81492996,-0.00049144635,-0.003174755,0.0,-0.12292617,0.87929994,0.018208703,0.018381124,0.0,40.96367,13.710265,-0.013167084,3.1241229,-1.0,676.5,0.566559,6.0,0.0,36.0,-0.0013353978,-0.014302725,-0.0025225503,-0.0044541545,0.04338037,-0.002129253,0.0055213734,0.0008810702,0.00251105,0.45478722,0.010371707,0.0055213734,0.0055401525,0.009029544,0.6135584,1.001159,1.0112596,1.0100889,16.108215,0.39454824,0.6422653,-0.21365722,-0.00016642438,-0.0025481686,0.0,-0.09039521,0.9549609,-0.07001842,0.062032185,0.040468186,0.0,52.221718,75.747795,0.0010878354,7.063029,1.0,690.81,1.3903383,13.0,0.0,14.0
1490,0.0013413818,0.0014593916,0.000869482,-0.0041600885,-0.0054135383,0.0013846743,0.0040656393,0.0024600064,0.00022095867,0.39492753,0.0035912113,0.0040656393,0.0021391846,0.0033723984,0.63432145,0.99761665,0.9955379,0.9979162,37.29238,-0.819554,-1.3810972,0.65625495,0.0009121791,0.00090598187,1.0,3.1035933,3.3607893,0.010675948,0.01480489,1.0,42.006363,40.058117,-0.0024686279,2.4379296,-1.0,675.01,1.5792089,19.0,0.0,124.0,0.84615386,-0.82298386,0.56806475,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.00011800977,0.0034575525,-0.0015475886,-0.004532819,-0.006908744,0.00028025665,0.003997345,0.0009292721,0.002787816,0.7675277,0.003559488,0.003997345,0.0020651354,0.0034165496,0.6044506,0.99602944,0.9940223,0.9979848,37.279785,-1.0292692,-1.7362752,0.2743354,0.00047667164,-7.415294e-05,1.0,0.4147813,1.2765226,0.016932044,0.014671118,0.0,38.37222,24.492338,-0.0042740065,2.413155,-1.0,675.01,1.218322,18.0,0.0,-0.004002183,-0.0035982777,-0.0053375806,-0.015913516,-0.008529431,-0.0036195025,0.0066934996,0.00046441684,0.0026095803,0.38986784,0.004606017,0.0066934996,0.005472571,0.004249786,1.2877287,0.99356884,0.99693304,1.003386,26.17744,-1.760914,-0.072075,-0.81492996,-0.00049144635,-0.003174755,0.0,-0.12292617,0.87929994,0.018208703,0.018381124,0.0,40.96367,13.710265,-0.013167084,3.1241229,-1.0,676.5,0.566559,6.0,0.0,36.0,-0.0013353978,-0.014302725,-0.0025225503,-0.0044541545,0.04338037,-0.002129253,0.0055213734,0.0008810702,0.00251105,0.45478722,0.010371707,0.0055213734,0.0055401525,0.009029544,0.6135584,1.001159,1.0112596,1.0100889,16.108215,0.39454824,0.6422653,-0.21365722,-0.00016642438,-0.0025481686,0.0,-0.09039521,0.9549609,-0.07001842,0.062032185,0.040468186,0.0,52.221718,75.747795,0.0010878354,7.063029,1.0,690.81,1.3903383,13.0,0.0,14.0
