date,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,tb_label,tb_entry_price,tb_exit_price,tb_holding_bars,tb_realized_return,tb_long_label,tb_short_label,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short,trend_phase_ret,trend_phase_m,trend_phase_dm,trend_phase_a,trend_phase_label,trend_phase_dead,trend_phase_ignition,trend_phase_expansion,trend_phase_saturation
2021-01-04 09:30:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,374.15,372.0157142857143,6.0,-0.005704358450583147,0,1,1.0,0.5,0,0,0,,,,,10.0,0,,,,,,,,,,,0,1,0,0,0
2021-01-04 09:40:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,374.21,372.0757142857143,5.0,-0.005703443826422849,0,1,1.0,0.44999999999999996,0,0,0,,,,,9.0,0,,,,,,,0.00016036349057868549,0.00016036349057868549,,,0,1,0,0,0
2021-01-04 09:50:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,373.44,371.3057142857143,5.0,-0.005715203819316894,0,1,1.0,0.4,0,0,0,,,,,8.0,0,,,,,,,-0.002057668154244907,-5.087761845213283e-05,-0.00021124110903081832,-0.00021124110903081832,0,1,0,0,0
2021-01-04 10:00:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,372.885,370.7507142857143,5.0,-0.005723710297506401,0,1,1.0,0.35,0,0,0,,,,,7.0,0,,,,,,,-0.0014861825192802325,-0.0001875733232929042,-0.00013669570484077138,-0.00020414154672700432,0,1,0,0,0
2021-01-04 10:10:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,372.48,370.34571428571434,4.0,-0.005729933726067671,0,1,1.0,0.30000000000000004,0,0,0,,,,,6.0,0,,,,,,,-0.0010861257492255083,-0.0002731497448102951,-8.557642151739087e-05,-0.00019284963004037446,0,1,0,0,0
2021-01-04 10:20:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,372.51,370.3757142857143,3.0,-0.005729472267283264,0,1,1.0,0.25,0,0,0,,,,,5.0,0,,,,,,,8.054123711342953e-05,-0.00023946488938898796,3.368485542130711e-05,-0.00017127491713926193,0,1,0,0,0
2021-01-04 10:30:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,371.82,369.6857142857143,3.0,-0.0057401046589362625,0,1,1.0,0.19999999999999996,0,0,0,,,,,4.0,0,,,,,,,-0.0018522992671338168,-0.000393068163459924,-0.00015360327407093602,-0.00016959190351370707,0,1,0,0,0
2021-01-04 10:40:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,371.175,369.04071428571433,2.0,-0.005750079381115825,0,1,0.95,0.15000000000000002,0,0,0,,,,,3.0,0,,,,,,,-0.0017347103437146405,-0.0005208436091984684,-0.00012777544573854438,-0.00016560938372559632,0,1,0,0,0
2021-01-04 10:50:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,369.985,367.85071428571433,2.0,-0.005768573629432727,0,1,0.9,0.09999999999999998,0,0,0,,,,,2.0,0,,,,,,,-0.0032060348892032353,-0.0007765761120560652,-0.00025573250285759687,-0.000174192537928644,0,1,0,0,0
2021-01-04 11:00:00-05:00,0,0,0,0,0.0,0,0,,,,,-1.0,368.25,366.1157142857143,6.0,-0.005795752109397645,0,1,0.85,0.050000000000000044,0,0,0,,,,,1.0,0,,,,,,,-0.004689379299160801,-0.0011492240346374686,-0.00037264792258140335,-0.0001930930507527163,0,1,0,0,0
