n,threshold,tp,tn,fp,fn,precision,recall,f1,f0_5,f2,pos_rate,pred_rate,logloss,auc,average_precision
30761.0,0.5,3219.0,14327.0,7479.0,5736.0,0.3008973639932698,0.359463986599665,0.3275835750267135,0.3110325236245579,0.345995098671482,0.2911153733623744,0.3477780306231917,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.55,983.0,19583.0,2223.0,7972.0,0.3066126013724267,0.10977107761027359,0.1616643368144067,0.2256761100142339,0.1259416799057039,0.2911153733623744,0.10422287962029843,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.6,163.0,21455.0,351.0,8792.0,0.31712062256809337,0.018202121719709658,0.03442813391065582,0.07401689219871038,0.022430781086585565,0.2911153733623744,0.016709469783166998,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.65,42.0,21720.0,86.0,8913.0,0.328125,0.004690117252931323,0.009248045799845866,0.022182317524030843,0.0058417714476466,0.2911153733623744,0.004161113097753649,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.7,6.0,21793.0,13.0,8949.0,0.3157894736842105,0.0006700167504187605,0.001337196344996657,0.0033218912634259776,0.0008370769273696254,0.2911153733623744,0.0006176652254478073,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.75,1.0,21805.0,1.0,8954.0,0.5,0.00011166945840312674,0.0002232890476722117,0.0005578489345085351,0.0001395790296465859,0.2911153733623744,6.501739215240077e-05,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.8,0.0,21806.0,0.0,8955.0,0.0,0.0,0.0,0.0,0.0,0.2911153733623744,0.0,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.85,0.0,21806.0,0.0,8955.0,0.0,0.0,0.0,0.0,0.0,0.2911153733623744,0.0,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.9,0.0,21806.0,0.0,8955.0,0.0,0.0,0.0,0.0,0.0,0.2911153733623744,0.0,0.6701288553216439,0.5134228932017286,0.3014326290044944
30761.0,0.95,0.0,21806.0,0.0,8955.0,0.0,0.0,0.0,0.0,0.0,0.2911153733623744,0.0,0.6701288553216439,0.5134228932017286,0.3014326290044944
