theme,start,end,days,avg_rank,max_rank,total_return
ai_apps,2018-07-10,2018-07-13,3,9.5,14.0,0.017427759125627773
payments,2018-07-11,2018-07-27,12,4.923076923076923,13.0,0.018226552278389763
dev_tools,2018-07-12,2018-07-18,4,9.2,15.0,0.040956127391329256
defense,2018-07-16,2018-08-03,14,3.7333333333333334,15.0,0.03429476540979004
aerospace,2018-07-18,2018-07-25,5,6.5,13.0,0.005441559602288981
fintech,2018-07-18,2018-07-27,7,5.375,18.0,-0.009433340718011385
medtech,2018-07-19,2018-07-27,6,8.0,16.0,-0.018830752520549665
business_apps,2018-07-23,2018-07-26,3,11.0,18.0,0.018609904187347093
mega_banks,2018-07-24,2018-08-13,14,4.933333333333334,21.0,-0.013896430508754443
pharma,2018-07-25,2018-08-27,23,2.875,13.0,0.055340601079531426
insurance,2018-07-26,2018-08-10,11,5.666666666666667,18.0,0.01770181476017796
aerospace,2018-07-27,2018-08-02,4,7.6,15.0,-0.004084103787462934
regional_banks,2018-07-30,2018-08-06,5,7.666666666666667,15.0,0.008969897303158003
cloud,2018-08-02,2018-08-21,13,7.5,13.0,0.05565783087264964
robotics,2018-08-02,2018-08-14,8,5.888888888888889,14.0,0.027076030640488913
consumer_staples,2018-08-06,2018-08-27,15,7.0,18.0,0.024335065034877257
dev_tools,2018-08-07,2018-08-08,1,9.0,15.0,0.008630653611755301
regional_banks,2018-08-08,2018-08-10,2,6.0,13.0,-0.008426296706781189
workflow_software,2018-08-08,2018-09-19,29,4.133333333333334,19.0,0.05302476587634297
consumer,2018-08-09,2018-08-28,13,6.357142857142857,13.0,0.03873435427602678
restaurants,2018-08-09,2018-08-24,11,7.0,14.0,0.0365469608365403
dev_tools,2018-08-10,2018-10-01,35,3.1944444444444446,14.0,0.15455341669348788
payments,2018-08-13,2018-09-28,33,5.470588235294118,14.0,0.08889536257288588
retail,2018-08-16,2018-08-22,4,8.2,17.0,0.03233708178623318
insurance,2018-08-21,2018-08-29,6,10.0,14.0,0.011063410411264574
medtech,2018-08-22,2018-10-08,32,5.090909090909091,16.0,0.05869310727901911
business_apps,2018-08-24,2018-09-19,17,6.555555555555555,13.0,0.010746057119837893
vertical_software,2018-08-27,2018-09-10,9,9.4,13.0,-0.005300941008332893
cloud,2018-08-28,2018-09-17,13,7.928571428571429,14.0,-0.018477749224577678
fintech,2018-08-31,2018-10-09,26,5.62962962962963,13.0,-0.02399123762816624
consumer,2018-09-07,2018-09-14,5,8.833333333333334,13.0,-0.0005966721155803434
restaurants,2018-09-07,2018-09-14,5,8.5,14.0,-0.003035665577639124
cybersecurity,2018-09-11,2018-09-21,8,7.333333333333333,16.0,-0.010721780173499673
aerospace,2018-09-17,2018-09-20,3,6.0,13.0,-0.0022696234611254695
defense,2018-09-17,2018-09-20,3,7.5,19.0,-0.01504776179638756
robotics,2018-09-18,2018-09-28,8,6.333333333333333,20.0,-0.003385969523576393
insurance,2018-09-20,2018-09-27,5,7.5,18.0,-0.02068470853564408
aerospace,2018-09-21,2018-10-22,21,5.181818181818182,14.0,-0.037818839712259855
asset_managers,2018-09-21,2018-09-25,2,9.333333333333334,15.0,-0.0074454746164718255
oil_exploration,2018-09-24,2018-10-17,17,4.444444444444445,21.0,-0.04216695362997913
travel,2018-09-26,2018-10-01,3,8.25,17.0,-0.0005777504234276698
defense,2018-09-27,2018-10-12,11,7.333333333333333,18.0,-0.06106207185065804
nuclear,2018-09-28,2018-10-17,13,4.714285714285714,16.0,-0.043735821320849744
pharma,2018-10-01,2018-10-31,22,4.695652173913044,13.0,-0.063733230325284
uranium,2018-10-04,2018-10-17,9,5.3,15.0,-0.06670919410653298
gold,2018-10-11,2018-10-25,10,3.5454545454545454,19.0,-0.006758300462548883
consumer,2018-10-12,2018-11-01,14,6.6,22.0,0.01879320780795979
restaurants,2018-10-12,2018-11-01,14,3.933333333333333,15.0,0.026841392016653032
retail,2018-10-16,2018-11-16,23,4.916666666666667,18.0,0.011562813444890851
consumer_staples,2018-10-17,2018-11-21,25,2.730769230769231,16.0,0.014205854019495812
data_centers,2018-10-25,2018-10-26,1,13.0,21.0,-0.032607311946709516
autos,2018-10-26,2018-11-12,11,5.0,14.0,0.06702127339215003
insurance,2018-10-30,2018-10-31,1,10.5,16.0,0.02317718062292884
regional_banks,2018-10-30,2018-11-07,6,9.428571428571429,20.0,0.053613209355246605
consumer_internet,2018-11-01,2018-11-05,2,10.333333333333334,16.0,0.02031840705257304
travel,2018-11-01,2018-11-08,5,7.666666666666667,23.0,-0.013046306206534908
china_internet,2018-11-02,2018-11-08,4,13.4,30.0,-0.0538060864338219
uranium,2018-11-05,2018-11-13,6,8.571428571428571,18.0,-0.006949139552136274
nuclear,2018-11-06,2018-11-08,2,9.666666666666666,17.0,-0.019386827698911757
medtech,2018-11-07,2018-12-14,25,4.769230769230769,13.0,-0.027138134625961485
consumer,2018-11-08,2018-11-26,11,4.583333333333333,18.0,-0.017273953550462462
restaurants,2018-11-08,2018-11-26,11,4.083333333333333,17.0,-0.015040035588780865
regional_banks,2018-11-09,2018-11-27,11,5.833333333333333,15.0,-0.00783285265137712
