mode,theme,avg_regime_duration
heat_and_regime,data_centers,12.403846153846153
heat_and_regime,ai_apps,12.363636363636363
heat_and_regime,cloud,11.481481481481481
heat_and_regime,defense,10.666666666666666
heat_and_regime,nuclear,10.489795918367347
heat_and_regime,vertical_software,10.454545454545455
heat_and_regime,gold,10.36231884057971
heat_and_regime,ai_infrastructure,10.222222222222221
heat_and_regime,restaurants,10.083333333333334
heat_and_regime,oil_exploration,10.046153846153846
heat_and_regime,dev_tools,10.045454545454545
heat_and_regime,workflow_software,10.033898305084746
heat_and_regime,asset_managers,9.964912280701755
heat_and_regime,fintech,9.709090909090909
heat_and_regime,payments,9.659574468085106
heat_and_regime,retail,9.564102564102564
heat_and_regime,autos,9.368421052631579
heat_and_regime,travel,9.285714285714286
heat_and_regime,mega_banks,9.28125
heat_and_regime,aerospace,9.258064516129032
heat_and_regime,business_apps,9.125
heat_and_regime,uranium,9.12280701754386
heat_and_regime,robotics,9.03225806451613
heat_and_regime,pharma,9.029850746268657
heat_and_regime,medtech,9.016129032258064
heat_and_regime,consumer_staples,8.777777777777779
heat_and_regime,consumer,8.714285714285714
heat_and_regime,cybersecurity,8.555555555555555
heat_and_regime,semis,8.123456790123457
heat_and_regime,biotech,7.932203389830509
heat_and_regime,regional_banks,7.8125
heat_and_regime,insurance,7.810126582278481
heat_and_regime,consumer_internet,7.615384615384615
heat_and_regime,china_internet,7.451612903225806
regime,cloud,13.619047619047619
regime,ai_infrastructure,12.458333333333334
regime,fintech,12.371428571428572
regime,data_centers,12.326086956521738
regime,ai_apps,12.307692307692308
regime,payments,12.03225806451613
regime,nuclear,12.0
regime,oil_exploration,11.916666666666666
regime,medtech,11.88888888888889
regime,pharma,11.688888888888888
regime,workflow_software,11.591836734693878
regime,vertical_software,11.13953488372093
regime,gold,11.12280701754386
regime,restaurants,10.875
regime,business_apps,10.857142857142858
regime,aerospace,10.829268292682928
regime,travel,10.68421052631579
regime,robotics,10.65625
regime,mega_banks,10.625
regime,defense,10.5
regime,uranium,10.391304347826088
regime,insurance,10.351851851851851
regime,dev_tools,10.316666666666666
regime,semis,10.30188679245283
regime,biotech,10.294117647058824
regime,china_internet,10.025641025641026
regime,consumer_staples,9.902439024390244
regime,asset_managers,9.882352941176471
regime,autos,9.63888888888889
regime,cybersecurity,9.228070175438596
regime,consumer_internet,9.064516129032258
regime,retail,8.973684210526315
regime,regional_banks,8.673076923076923
regime,consumer,8.196078431372548
