date,action,theme,theme_rank,theme_score,tickers
2018-01-26,exit,payments,9.0,0.6564685314685313,GPN|FIS|V
2018-01-26,enter,cloud,1.0,0.7687937062937064,AMZN|MSFT|NOW
2018-01-26,enter,pharma,2.0,0.7513111888111887,ABBV|PFE|GILD
2018-01-26,enter,china_internet,3.0,0.735576923076923,JD|BABA|KWEB
2018-01-29,exit,fintech,25.0,0.4423076923076923,GPN|FIS|V
2018-01-29,exit,cloud,9.0,0.6451048951048951,AMZN|MSFT|NOW
2018-01-29,enter,defense,2.0,0.7854020979020979,HEI|NOC|LMT
2018-01-30,exit,biotech,9.0,0.6687062937062936,AMGN|ABBV|CRSP
2018-01-30,exit,china_internet,21.0,0.5437062937062938,JD|BABA|KWEB
2018-01-30,enter,cloud,2.0,0.7526223776223776,WDAY|AMZN|NOW
2018-01-31,exit,consumer_internet,16.0,0.5664335664335665,NFLX|META|BABA
2018-01-31,exit,pharma,19.0,0.5454545454545454,ABBV|PFE|GILD
2018-01-31,enter,payments,2.0,0.7338286713286712,PYPL|XYZ|FIS
2018-01-31,enter,workflow_software,3.0,0.6958041958041958,NOW|WDAY|CRM
2018-02-01,exit,payments,13.0,0.611451048951049,PYPL|XYZ|FIS
2018-02-01,enter,aerospace,2.0,0.7618006993006994,NOC|LMT|LHX
2018-02-01,enter,regional_banks,3.0,0.75,FITB|HBAN|TFC
2018-02-02,exit,workflow_software,10.0,0.6140734265734266,NOW|WDAY|CRM
2018-02-02,enter,mega_banks,3.0,0.7167832167832169,BAC|JPM|WFC
2018-02-05,exit,defense,14.0,0.5690559440559442,HEI|NOC|LMT
2018-02-05,exit,aerospace,13.0,0.5839160839160839,NOC|LMT|LHX
2018-02-05,exit,mega_banks,23.0,0.43837412587412594,BAC|JPM|WFC
2018-02-05,enter,gold,1.0,0.7285839160839161,GLD|WPM|PAAS
2018-02-05,enter,consumer_internet,2.0,0.7124125874125874,AMZN|SNAP|EXPE
2018-02-05,enter,ai_apps,3.0,0.694493006993007,NOW|SNAP|ADBE
2018-02-06,exit,cloud,13.0,0.6044580419580421,WDAY|AMZN|NOW
2018-02-06,exit,regional_banks,12.0,0.6162587412587412,FITB|HBAN|TFC
2018-02-06,exit,gold,34.0,0.21503496503496503,GLD|WPM|PAAS
2018-02-06,enter,cybersecurity,1.0,0.7993881118881119,FTNT|PANW|GEN
2018-02-06,enter,business_apps,2.0,0.722027972027972,MSFT|ADBE|CRM
2018-02-06,enter,travel,3.0,0.7119755244755245,TCOM|EXPE|DIS
2018-02-07,exit,consumer_internet,9.0,0.6739510489510488,AMZN|SNAP|EXPE
2018-02-07,exit,business_apps,14.0,0.6035839160839161,MSFT|ADBE|CRM
2018-02-07,enter,regional_banks,2.0,0.8081293706293705,KEY|PNC|FITB
2018-02-08,exit,regional_banks,22.0,0.45891608391608385,KEY|PNC|FITB
2018-02-08,enter,uranium,2.0,0.7312062937062936,LEU|CCJ|UUUU
2018-02-08,enter,consumer_internet,3.0,0.7263986013986014,SNAP|EXPE|AMZN
2018-02-09,exit,travel,33.0,0.26092657342657344,TCOM|EXPE|DIS
2018-02-09,exit,uranium,15.0,0.5402097902097902,LEU|CCJ|UUUU
2018-02-09,enter,ai_infrastructure,2.0,0.7097902097902098,NVDA|ANET|MSFT
2018-02-12,exit,consumer_internet,28.0,0.34833916083916083,SNAP|EXPE|AMZN
2018-02-12,enter,mega_banks,2.0,0.7115384615384615,AXP|BAC|JPM
2018-02-12,enter,data_centers,3.0,0.7089160839160839,ANET|NVDA|PSTG
2018-02-13,exit,mega_banks,11.0,0.597027972027972,AXP|BAC|JPM
2018-02-13,enter,defense,2.0,0.7609265734265734,AXON|NOC|KTOS
2018-02-14,exit,ai_apps,28.0,0.3461538461538462,NOW|SNAP|ADBE
2018-02-14,exit,data_centers,10.0,0.6267482517482517,ANET|NVDA|PSTG
2018-02-14,exit,defense,9.0,0.6464160839160839,AXON|NOC|KTOS
2018-02-14,enter,dev_tools,1.0,0.7054195804195805,MDB|PTC|TEAM
2018-02-14,enter,mega_banks,3.0,0.6713286713286712,BAC|JPM|WFC
2018-02-15,exit,cybersecurity,12.0,0.6398601398601398,FTNT|PANW|GEN
2018-02-15,exit,dev_tools,18.0,0.5384615384615384,MDB|PTC|TEAM
2018-02-15,exit,mega_banks,9.0,0.6577797202797202,BAC|JPM|WFC
2018-02-15,enter,semis,2.0,0.7403846153846154,NVDA|AMAT|KLAC
2018-02-15,enter,payments,3.0,0.7373251748251748,GPN|XYZ|MA
2018-02-16,exit,ai_infrastructure,28.0,0.40472027972027974,NVDA|ANET|MSFT
2018-02-16,exit,semis,12.0,0.5935314685314684,NVDA|AMAT|KLAC
2018-02-16,enter,workflow_software,2.0,0.707604895104895,HUBS|WDAY|NOW
2018-02-16,enter,fintech,3.0,0.6966783216783217,GPN|INTU|MA
2018-02-20,enter,dev_tools,1.0,0.8347902097902097,MDB|TEAM|PTC
2018-02-20,enter,business_apps,3.0,0.8028846153846154,HUBS|WDAY|INTU
2018-02-21,exit,payments,23.0,0.5048076923076923,GPN|XYZ|MA
2018-02-21,exit,fintech,21.0,0.5240384615384616,GPN|INTU|MA
2018-02-21,exit,business_apps,13.0,0.6088286713286714,HUBS|WDAY|INTU
2018-02-21,enter,china_internet,2.0,0.7701048951048951,KWEB|BIDU|JD
2018-02-21,enter,restaurants,3.0,0.7517482517482518,DPZ|CMG|TXRH
2018-02-22,exit,dev_tools,29.0,0.423513986013986,MDB|TEAM|PTC
2018-02-22,exit,restaurants,15.0,0.5812937062937062,DPZ|CMG|TXRH
2018-02-22,enter,ai_apps,1.0,0.792395104895105,HUBS|TSLA|CRM
2018-02-22,enter,robotics,2.0,0.7862762237762239,ZBRA|TSLA|TER
2018-02-22,enter,business_apps,3.0,0.7534965034965034,HUBS|INTU|CRM
2018-02-23,exit,china_internet,12.0,0.6153846153846154,KWEB|BIDU|JD
2018-02-23,exit,ai_apps,11.0,0.6162587412587412,HUBS|TSLA|CRM
2018-02-23,enter,cybersecurity,1.0,0.7574300699300701,OKTA|PANW|FTNT
2018-02-23,enter,travel,3.0,0.6901223776223777,BKNG|TCOM|EXPE
2018-02-26,exit,workflow_software,22.0,0.4724650349650349,HUBS|WDAY|NOW
2018-02-26,exit,travel,26.0,0.4025349650349651,BKNG|TCOM|EXPE
2018-02-26,enter,autos,1.0,0.7220279720279721,TSLA|ON|TXN
2018-02-26,enter,semis,2.0,0.721153846153846,MU|AMAT|INTC
2018-02-27,exit,robotics,9.0,0.6228146853146853,ZBRA|TSLA|TER
2018-02-27,exit,business_apps,12.0,0.5791083916083917,HUBS|INTU|CRM
2018-02-27,enter,biotech,2.0,0.7508741258741258,CRSP|NTLA|AMGN
2018-02-28,enter,ai_apps,2.0,0.7386363636363638,AXON|ADBE|CRM
2018-02-28,enter,payments,3.0,0.716346153846154,XYZ|GPN|MA
2018-03-01,exit,autos,25.0,0.3994755244755245,TSLA|ON|TXN
2018-03-01,exit,payments,18.0,0.4711538461538462,XYZ|GPN|MA
2018-03-01,enter,dev_tools,1.0,0.722027972027972,MDB|PTC|TEAM
2018-03-02,exit,dev_tools,9.0,0.7176573426573427,MDB|PTC|TEAM
2018-03-02,enter,business_apps,2.0,0.7775349650349651,CRM|WDAY|ADSK
2018-03-02,enter,workflow_software,3.0,0.7775349650349651,TEAM|CRM|HUBS
2018-03-05,exit,semis,20.0,0.5174825174825175,MU|AMAT|INTC
2018-03-05,exit,biotech,10.0,0.6284965034965035,CRSP|NTLA|AMGN
2018-03-05,exit,ai_apps,15.0,0.6022727272727273,AXON|ADBE|CRM
2018-03-05,enter,dev_tools,1.0,0.7854020979020979,MDB|TEAM|PTC
2018-03-05,enter,cloud,3.0,0.729895104895105,MDB|TEAM|WDAY
2018-03-06,exit,cybersecurity,16.0,0.5598776223776224,OKTA|PANW|FTNT
2018-03-06,exit,dev_tools,12.0,0.6328671328671328,MDB|TEAM|PTC
2018-03-06,exit,cloud,9.0,0.6464160839160839,MDB|TEAM|WDAY
2018-03-06,enter,travel,2.0,0.7294580419580418,BKNG|TCOM|DIS
2018-03-06,enter,consumer_internet,3.0,0.7233391608391608,NFLX|BKNG|BIDU
2018-03-07,exit,travel,16.0,0.5506993006993006,BKNG|TCOM|DIS
2018-03-07,enter,dev_tools,1.0,0.8837412587412586,MDB|TEAM|PTC
2018-03-08,exit,workflow_software,17.0,0.563811188811189,TEAM|CRM|HUBS
2018-03-08,exit,consumer_internet,11.0,0.6193181818181818,NFLX|BKNG|BIDU
2018-03-08,enter,biotech,1.0,0.7937062937062935,NTLA|EXAS|CRSP
2018-03-08,enter,cybersecurity,3.0,0.7867132867132868,OKTA|AKAM|FTNT
2018-03-09,exit,dev_tools,23.0,0.4458041958041959,MDB|TEAM|PTC
2018-03-09,exit,cybersecurity,16.0,0.5633741258741258,OKTA|AKAM|FTNT
2018-03-09,enter,vertical_software,3.0,0.756118881118881,ADSK|PTC|LDOS
2018-03-12,exit,business_apps,13.0,0.5638111888111887,CRM|WDAY|ADSK
2018-03-12,exit,vertical_software,15.0,0.5528846153846154,ADSK|PTC|LDOS
2018-03-12,enter,semis,1.0,0.7465034965034965,MU|LRCX|AVGO
2018-03-12,enter,china_internet,3.0,0.7180944055944054,KWEB|NTES|BABA
2018-03-13,exit,china_internet,25.0,0.4392482517482517,KWEB|NTES|BABA
2018-03-13,enter,medtech,2.0,0.7683566433566434,DXCM|JNJ|EXAS
2018-03-13,enter,pharma,3.0,0.7596153846153845,JNJ|GILD|PFE
2018-03-14,exit,pharma,15.0,0.5192307692307693,JNJ|GILD|PFE
2018-03-14,enter,data_centers,1.0,0.7517482517482518,WDC|STX|AVGO
2018-03-14,enter,cloud,3.0,0.7268356643356644,MDB|DLR|GOOGL
2018-03-15,exit,biotech,31.0,0.3026275195392843,NTLA|EXAS|CRSP
2018-03-15,exit,data_centers,9.0,0.6541803784450844,WDC|STX|AVGO
2018-03-15,exit,cloud,15.0,0.5800596462361167,MDB|DLR|GOOGL
2018-03-15,enter,fintech,1.0,0.7858134512546276,XYZ|INTU|PYPL
2018-03-15,enter,china_internet,2.0,0.7692050596462363,BABA|NTES|BIDU
2018-03-15,enter,payments,3.0,0.7201511723570547,XYZ|PYPL|GPN
2018-03-16,exit,semis,25.0,0.43750000000000006,MU|LRCX|AVGO
2018-03-16,exit,fintech,9.0,0.6302447552447553,XYZ|INTU|PYPL
2018-03-16,exit,china_internet,10.0,0.6271853146853147,BABA|NTES|BIDU
2018-03-16,enter,consumer_staples,1.0,0.7237762237762237,MCD|DG|PEP
2018-03-16,enter,restaurants,2.0,0.7124125874125874,MCD|TXRH|SBUX
2018-03-16,enter,oil_exploration,3.0,0.7058566433566434,APA|USO|COP
2018-03-19,exit,medtech,25.0,0.4527972027972028,DXCM|JNJ|EXAS
2018-03-19,exit,restaurants,12.0,0.5939685314685316,MCD|TXRH|SBUX
2018-03-19,exit,oil_exploration,15.0,0.5716783216783217,APA|USO|COP
2018-03-19,enter,insurance,1.0,0.7145979020979022,ALL|MET|PGR
2018-03-19,enter,fintech,2.0,0.6993006993006993,XYZ|V|PYPL
2018-03-19,enter,aerospace,3.0,0.6936188811188813,HEI|TDG|LHX
2018-03-20,exit,consumer_staples,20.0,0.5008741258741259,MCD|DG|PEP
2018-03-20,exit,aerospace,9.0,0.6280594405594407,HEI|TDG|LHX
2018-03-20,enter,oil_exploration,2.0,0.7958916083916083,USO|APA|COP
