,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short
6350,0,0,0,0,0.0,0,0,690.59,689.6903737671763,1.0,-0.0013026922382654016,1.0,0.19999999999999996,1,0,1,4.4648801465196994,1.2894960711970824,0.3438656189858072,1.2894960711970824,4.0,0,1.0,4.0,0,0,0.95,0.8
6351,0,0,0,0,0.0,0,0,690.59,689.6903737671763,1.0,-0.0013026922382654016,1.0,0.15000000000000002,1,0,1,5.201588073448777,1.2862929292259258,0.4287643097419752,1.2862929292259258,3.0,0,1.0,3.0,0,0,0.95,0.85
6352,0,0,0,0,0.0,0,0,690.59,689.6903737671763,1.0,-0.0013026922382654016,1.0,0.09999999999999998,1,0,1,5.989731241992677,0.6915518379954346,0.4684705999324689,0.6915518379954346,2.0,0,1.0,2.0,0,0,0.95,0.9
6353,0,0,0,0,0.0,0,0,690.59,689.6903737671763,1.0,-0.0013026922382654016,1.0,0.050000000000000044,1,0,1,6.464616981612381,0.4362624956916196,0.7082183371617369,0.4362624956916196,1.0,0,1.0,1.0,0,0,0.95,0.95
6354,0,1,0,0,1.0,1,0,688.28,689.1716036256722,1.0,0.001295408301377643,1.0,0.050000000000000044,2,1,0,6.314465125414114,0.32525664056303105,0.47106134150509266,0.32525664056303105,1.0,0,1.0,1.0,0,0,0.95,0.95
6355,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.95,0.44999999999999996,2,1,0,6.589121997756229,0.1595981106722814,0.45599460192082253,0.1595981106722814,19.0,0,19.0,1.0,0,0,0.050000000000000044,0.95
6356,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.9,0.4,2,1,0,6.599326096571406,0.15238230773610184,0.515755503106755,0.15238230773610184,18.0,0,18.0,1.0,0,0,0.09999999999999998,0.95
6357,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.85,0.35,2,1,0,6.285308035676585,0.45023696530634444,0.45023696530634444,0.45023696530634444,17.0,0,17.0,1.0,0,0,0.15000000000000002,0.95
6358,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.8,0.30000000000000004,2,1,0,6.421002366384404,0.43532219433116703,3.246778032719765,0.43532219433116703,16.0,0,16.0,1.0,0,0,0.19999999999999996,0.95
6359,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.75,0.25,2,1,0,6.60500037997131,0.27925553077087095,3.417844865738796,0.27925553077087095,15.0,0,15.0,1.0,0,0,0.25,0.95
6360,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.7,0.19999999999999996,2,1,0,6.765544348053295,0.2860432353037496,3.5009204668694545,0.2860432353037496,14.0,0,14.0,1.0,0,0,0.30000000000000004,0.95
6361,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.65,0.15000000000000002,2,1,0,6.62572046335805,0.6548677202156136,3.255077785777626,0.6548677202156136,13.0,0,13.0,1.0,0,0,0.35,0.95
6362,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.6,0.09999999999999998,2,1,0,3.85411947738836,2.4274870166046405,0.5806062340398259,2.4274870166046405,12.0,0,12.0,1.0,0,0,0.4,0.95
6363,0,0,0,0,0.0,0,0,688.28,689.1716036256722,1.0,0.001295408301377643,0.55,0.050000000000000044,2,1,0,3.9907937490019822,2.4740769872518293,0.4517879715850816,2.4740769872518293,11.0,0,11.0,1.0,0,0,0.44999999999999996,0.95
6364,0,1,0,0,1.0,1,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.55,0.050000000000000044,2,1,0,3.7162329600699264,0.34987434993024613,1.938493019883837,0.34987434993024613,11.0,0,11.0,1.0,0,0,0.44999999999999996,0.95
6365,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.44999999999999996,0.6,2,1,0,1.8920331767525793,1.5499951425112737,0.29441248516977264,1.5499951425112737,9.0,0,9.0,1.0,0,0,0.55,0.95
6366,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.4,0.55,2,1,0,3.012551257271681,0.2954297503677231,0.3536835039615106,0.2954297503677231,8.0,0,8.0,1.0,0,0,0.6,0.95
6367,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.35,0.5,2,1,0,2.8637954666352274,-0.0170718060604036,1.4468355636204668,-0.0170718060604036,7.0,0,7.0,1.0,0,0,0.65,0.95
6368,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.30000000000000004,0.44999999999999996,2,1,0,1.5220278592489505,0.740334203276096,0.07858296012419849,0.740334203276096,6.0,0,6.0,1.0,0,0,0.7,0.95
6369,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.25,0.4,2,1,0,2.099675218022354,1.8313597236301833,2.099675218022354,0.22998470947921093,5.0,0,5.0,1.0,0,0,0.75,0.95
6370,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.19999999999999996,0.35,2,1,0,1.8629309414082922,2.1924588201951356,1.8629309414082922,0.021968525252436248,4.0,0,4.0,1.0,0,0,0.8,0.95
6371,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.15000000000000002,0.30000000000000004,2,1,0,1.263885155248549,2.8582561814809315,1.263885155248549,0.46446662949062856,3.0,0,3.0,1.0,0,0,0.85,0.95
6372,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.09999999999999998,0.25,2,1,0,1.0291848266517312,3.249813349021864,1.0291848266517312,0.7649346684572952,2.0,0,2.0,1.0,0,0,0.9,0.95
6373,0,0,0,0,0.0,0,0,689.21,690.267522507934,1.0,0.0015343980904716226,0.050000000000000044,0.19999999999999996,2,1,0,1.0197796746214363,3.399265582071708,1.0197796746214363,0.8330594525077027,1.0,0,1.0,1.0,0,0,0.95,0.95
6374,1,0,0,0,-1.0,0,1,694.5,693.4952527143467,2.0,-0.0014467203537124051,0.050000000000000044,0.19999999999999996,2,1,0,1.194330173501993,3.3988646187580254,1.194330173501993,0.7315272312700258,1.0,0,1.0,1.0,0,0,0.95,0.95
6375,0,0,0,0,0.0,0,0,694.5,693.4952527143467,2.0,-0.0014467203537124051,0.15000000000000002,0.09999999999999998,2,1,0,1.3852946342919485,3.4035703374366846,1.3852946342919485,0.6226043300189129,3.0,0,3.0,1.0,0,0,0.85,0.95
