theme,days,top5_days,top10_days,top5_pct,top10_pct,avg_rank,median_rank,best_rank,worst_rank,latest_rank,avg_fwd_5d,avg_fwd_5d_when_top5,avg_fwd_5d_when_top10
power_grid_electrification,2108,14,69,0.006641366223908918,0.03273244781783681,41.247153700189756,38.0,2,94,64,0.004275061841979833,0.004874453536225577,0.004450629393597962
transport_logistics,2108,24,93,0.011385199240986717,0.04411764705882353,51.59203036053131,53.0,1,95,69,0.002410196270567374,0.000494633075645446,-0.0022523711271416544
retail_consumer,2108,28,74,0.013282732447817837,0.03510436432637571,49.95540796963947,51.0,2,95,66,0.0036571949578372643,0.011772212989753466,0.009430082494156417
medtech_devices,2108,29,132,0.013757115749525617,0.06261859582542695,45.83728652751423,45.0,1,95,53,0.003574685767344946,-0.004457301393037396,0.0017417968547281636
semis_compute,2108,33,101,0.015654648956356737,0.04791271347248577,42.71821631878558,41.0,1,94,6,0.007589381429701291,0.04039694946282746,0.02626240952548944
gaming_sports_betting,2108,37,102,0.017552182163187855,0.04838709677419355,51.92314990512334,53.0,1,95,58,0.0035059267609808807,0.002843492633539017,-0.0013048752263826763
banks_brokers_exchanges,2108,37,127,0.017552182163187855,0.06024667931688805,45.47438330170778,44.0,2,94,51,0.003091267447358819,0.00215588627993167,0.0018407335476746712
defense_aerospace,2108,37,119,0.017552182163187855,0.056451612903225805,44.12618595825427,43.0,1,94,30,0.0050793200442173095,0.005331652860183949,0.004852823173326267
space_satellites,2108,45,91,0.021347248576850095,0.04316888045540797,55.6892789373814,59.0,1,95,8,0.006852416747669823,0.022060083831606233,0.02251071160824428
streaming_entertainment,2108,49,112,0.023244781783681213,0.05313092979127135,47.19117647058823,47.0,1,95,41,0.003508842558778255,0.002664520495351761,0.0031013700088687647
apparel_beauty_lifestyle,2108,52,121,0.024667931688804556,0.05740037950664137,49.86290322580645,51.0,1,94,81,0.0033141568617959926,0.001562391864614075,0.001589712217911712
fintech_payments,2108,52,154,0.024667931688804556,0.0730550284629981,45.469165085388994,45.0,1,95,76,0.0038831755811725077,0.009830955640271987,0.005448961206052886
retail,2108,53,137,0.025142314990512334,0.06499051233396584,50.323055028462996,51.0,2,95,54,0.003185709423374022,0.004655396287169441,0.0049577365300247185
consumer_internet_marketplaces,2108,53,132,0.025142314990512334,0.06261859582542695,48.730550284629985,49.0,1,95,86,0.005600630640931556,0.016888412623622298,-0.0001555675865893171
industrial_automation,2108,54,124,0.025616698292220113,0.058823529411764705,46.01992409867173,45.0,1,95,85,0.0029856341591071385,0.002389711106621175,-0.0009651604609371032
datacenter_infra,2108,57,153,0.027039848197343452,0.07258064516129033,41.17267552182163,39.0,1,92,91,0.004252529428129142,0.013130154312024944,0.009017282710738225
autos,2108,58,168,0.027514231499051234,0.07969639468690702,50.26565464895636,52.0,1,95,34,0.003546839490323181,0.0015486572179352809,0.0014726290288267472
robotics,2108,60,149,0.028462998102466792,0.0706831119544592,46.895161290322584,46.0,1,95,27,0.004951881631122511,0.0005599248897395462,0.006185013101193185
