steps,progress_pct,rollout_avg_reward,rollout_avg_abs_reward,loss_total,loss_pi,loss_v,entropy,approx_kl,clipfrac,sps
921600.0,36.864,0.002699532313272357,0.0029343513306230307,-0.0008026188535344166,0.0013810128012361625,0.0001538346842911172,0.753516336530447,0.01176318445650395,0.14041341145833333,2430.402149406952
933888.0,37.35552,0.0025217297952622175,0.0026909762527793646,-0.0005803537690856805,0.0015531035664025695,0.00019064673891383183,0.7429270356893539,0.010967310361835795,0.13894856770833333,2430.575956498955
946176.0,37.84704,0.002643480198457837,0.0028142358642071486,-0.0025739473407156766,-0.000497963735445713,0.00017480073174738208,0.7211279931167761,0.014326658899274964,0.140283203125,2430.0659486466134
958464.0,38.33856,0.0031042892951518297,0.003269896609708667,0.0018538970199491209,0.0038721986464224757,0.00018292379011957866,0.7032545189062754,0.012877306240261533,0.14025065104166667,2429.8805918212897
970752.0,38.83008,0.003142157569527626,0.003540389472618699,0.00037835269855956234,0.002397008279028038,0.00022250735067549007,0.7099698161085447,0.012875555171437252,0.13986002604166667,2429.224289711509
983040.0,39.3216,0.002883578883484006,0.0030581692699342966,0.00046443269675364716,0.002241900563240051,0.0005407658617211079,0.6826169773936271,0.014047759457995804,0.1466796875,2429.2398776189934
995328.0,39.81312,0.002873108023777604,0.0030020822305232286,0.0003278642155540486,0.0022192111840316406,0.0003069349740447554,0.6816048274437586,0.013300593644574595,0.13889973958333332,2429.4271588221573
1007616.0,40.30464,0.002911090850830078,0.003054219065234065,-0.0006129591730617297,0.0013017870796223482,0.0003034855398861206,0.6888296917080879,0.010614848835393787,0.13474934895833332,2429.474614451236
1019904.0,40.79616,0.003389251185581088,0.003548241453245282,0.00014194096002029255,0.0016651599435135722,0.0008372259557290817,0.6472773102422555,0.012843293016582416,0.13616536458333334,2429.5306257601633
1032192.0,41.28768,0.0032091725151985884,0.0033134575933218002,-0.00033461535543513794,0.001527919911313802,0.00017470546072217985,0.6499626154700915,0.012604693617322481,0.12379557291666667,2429.5483416967318
1044480.0,41.7792,0.002153029665350914,0.002350765047594905,-0.0005670593687682413,0.0014896022039465606,0.00014548495106888974,0.7098012926677862,0.012446060759248211,0.14894205729166668,2429.3596534033213
1056768.0,42.27072,0.002202418399974704,0.002533762250095606,-0.001151355636344912,0.000886646097448344,0.00015707162495649148,0.7055125820140044,0.011541596031747758,0.12950846354166667,2429.4775412953204
1069056.0,42.76224,0.002349315909668803,0.002654881216585636,-0.0013745220678780849,0.0005426757115249832,0.00017170947315510907,0.6676841122408708,0.011762690094959302,0.13564453125,2429.645889608541
1081344.0,43.25376,0.002629437716677785,0.0029786855448037386,0.002651763809262775,0.004452017112635076,0.0003622883849250987,0.6604658340414366,0.01222946190876731,0.16236979166666668,2429.9026643421516
1093632.0,43.74528,0.0025081071071326733,0.0028663037810474634,-0.001999244555675735,-6.538743036799133e-05,0.00015694787422641335,0.6707770586013794,0.012188017840768832,0.14710286458333333,2429.950580957851
1105920.0,44.2368,0.0028771962970495224,0.0031412560492753983,-0.000964341117166138,0.0008595354447606951,0.00021122998208132534,0.6431638854245345,0.01492771241561665,0.14456380208333333,2429.87275990751
1118208.0,44.72832,0.00300462543964386,0.003378436202183366,0.0015479713377620403,0.003345611431480696,0.00019903935523567877,0.6323865629732609,0.014781503305615236,0.15994466145833333,2429.6993980409075
1130496.0,45.21984,0.0029209936037659645,0.0031378695275634527,0.0008180146796803456,0.002625511639053002,0.00017251559111173265,0.6312515911956628,0.012776006250836266,0.13649088541666668,2429.8688624720876
1142784.0,45.71136,0.0031398471910506487,0.003325223922729492,0.0005593676493541958,0.0022687673452310266,0.0002962333776546681,0.6191720758875211,0.011394252994796262,0.14132486979166667,2430.058228102538
1155072.0,46.20288,0.0031087687239050865,0.003272152738645673,-0.0015027507625442619,0.0001843441588183244,0.00024033756077794047,0.6024212300777435,0.01350165161517604,0.148291015625,2430.5539726748493
1167360.0,46.6944,0.003044004552066326,0.00317021063528955,-0.0006587061148214464,0.0010354362098344912,0.00023236880551849026,0.6034422668317954,0.012736031191889197,0.13186848958333333,2430.6755711299597
1179648.0,47.18592,0.0029900670051574707,0.0031312648206949234,-0.00012794781165818372,0.0016088071764291574,0.000238162318206984,0.6186119961241882,0.014003999266424216,0.14933268229166666,2430.6187620120386
1191936.0,47.67744,0.0029762645717710257,0.0031649575103074312,0.0012871300777381597,0.0030425904667936267,0.00016645318592054537,0.6128955813745658,0.01419675540140209,0.14552408854166668,2430.431129085861
1204224.0,48.16896,0.0031342545989900827,0.0032695478294044733,-8.050631683242197e-05,0.001449411684491982,0.0006578826082356197,0.6196198311944803,0.013126759336834463,0.13870442708333333,2430.0821206875744
1216512.0,48.66048,0.0029858797788619995,0.0031468302477151155,-0.001995918760561229,-0.00013685294155341883,0.00019230362525680296,0.6517391587297122,0.012713857873071296,0.13243815104166667,2430.0387294148054
1228800.0,49.152,0.002720109885558486,0.0028538622427731752,0.0012055104380124249,0.003105729391487936,0.00014168978750603856,0.6570212538043658,0.011801566009914192,0.15061848958333332,2429.718814420792
1241088.0,49.64352,0.0026247743517160416,0.0028107690159231424,-0.0017011789784495098,0.0002648971586798628,0.00014298245723693982,0.6791890976329644,0.013125959538350192,0.14544270833333334,2429.2961322690016
1253376.0,50.13504,0.002673457143828273,0.0028231199830770493,0.0015492044151566612,0.0034231350834791857,0.00028112322418868035,0.6714974666635195,0.01078178253956139,0.14635416666666667,2429.331059210618
1265664.0,50.62656,0.0027477324474602938,0.0030136590357869864,0.0018474330213697006,0.003676740063626009,0.00034873353306466017,0.66789128134648,0.012730371081852354,0.14895833333333333,2429.4374869813623
1277952.0,51.11808,0.00262364256195724,0.002785055199638009,-0.0002567280573809209,0.0016324970910015205,0.0002164457444753983,0.6658159956336022,0.012884321463449548,0.14181315104166667,2429.3454861899277
1290240.0,51.6096,0.0027568761724978685,0.0029134314972907305,0.0006534041308138209,0.002473612482814739,0.00023526760721021372,0.6459474238256614,0.013900256449899947,0.14964192708333332,2429.403729132613
1302528.0,52.10112,0.0032041047234088182,0.0033853526692837477,-0.0004858852335019037,0.0012794510422584912,0.00018459247551921482,0.6192108574012916,0.012966110745522504,0.13196614583333333,2429.5027754241823
