timestamp,bar_idx,side,prob,entry_close,exit_close,mfe_atr,mae_atr,ret_net,hit_within_1_bars
2025-09-19 09:30:00-04:00,47281,long,0.8382805585861206,661.62,662.535,1.7465984491101139,1.9151298784102355,0.0012829690759046275,True
2025-09-19 09:50:00-04:00,47283,short,0.8279796838760376,662.13,662.405,2.589093245839029,0.9267776959537414,-0.0005151538711211212,False
2025-09-19 10:40:00-04:00,47288,long,0.8313188552856445,661.26,662.715,2.5338465421170744,1.3877682599902532,0.0021003447962979374,False
2025-09-19 11:30:00-04:00,47293,long,0.9300363659858704,660.74,663.09,3.8332294758802417,-0.08104079230183385,0.0034566183370161488,True
2025-09-19 12:20:00-04:00,47298,short,0.7948091626167297,662.48,663.78,0.5828730110512049,2.7289054608302306,-0.002058480219349745,False
2025-09-19 13:50:00-04:00,47307,short,0.7914817333221436,662.69,664.295,1.1013331671578184,4.223669465800771,-0.0025160952588833105,False
2025-09-19 15:00:00-04:00,47314,short,0.8373355865478516,663.27,664.63,2.5530930724407876,4.890431800731833,-0.0021462512977145185,False
2025-09-19 15:50:00-04:00,47319,short,0.9661205410957336,663.54,666.17,2.8491667927458955,5.634307365430383,-0.004047941216206119,True
2025-09-22 10:40:00-04:00,47328,short,0.7697606086730957,664.655,666.17,0.3106730449120722,3.8651381764070214,-0.002374194274734631,False
2025-09-22 11:00:00-04:00,47330,short,0.8256582617759705,665.03,666.565,1.023850461841557,3.268806979090738,-0.0024028511848057763,True
2025-09-22 12:10:00-04:00,47337,short,0.8285331130027771,665.365,667.01,-0.010382539059765935,3.8934521474157666,-0.002566229891605831,False
2025-09-22 13:00:00-04:00,47342,short,0.9005787968635559,666.32,667.02,0.6440577910140295,2.2081981406186704,-0.0011494437947886626,False
2025-09-22 13:40:00-04:00,47346,short,0.8539464473724365,666.67,666.635,1.540066100369716,1.6378480749965545,-4.749750613154405e-05,True
2025-09-22 14:00:00-04:00,47348,long,0.8124388456344604,666.17,666.4,2.8851308670666,-0.02465923818003245,0.00024525721662648224,True
2025-09-22 15:10:00-04:00,47355,short,0.8847863674163818,667.04,665.53,4.470756044111022,0.8766188321788466,0.0021688684206571,False
2025-09-22 15:50:00-04:00,47359,short,0.8085764646530151,666.8,665.455,5.403474399209399,1.5197271747778933,0.0019211734828048388,False
2025-09-23 09:50:00-04:00,47363,short,0.8357266783714294,666.87,664.655,5.495389079783747,0.8670502770325912,0.003232555987692887,False
2025-09-23 10:00:00-04:00,47364,long,0.8501815795898438,667.05,663.71,0.41506822677042354,7.969309953988788,-0.005107120905479279,False
2025-09-23 10:20:00-04:00,47366,long,0.8069115281105042,666.635,663.38,0.27746206094118614,10.589801992588297,-0.004982731929766626,False
2025-09-23 10:40:00-04:00,47368,long,0.7800755500793457,666.4,662.88,0.8183853344866185,10.016575431955486,-0.005382112845138021,False
2025-09-23 11:40:00-04:00,47374,long,0.8506928086280823,665.82,662.26,0.10121082326289085,9.665633621614994,-0.005446790423838344,False
2025-09-23 12:10:00-04:00,47377,long,0.9525970816612244,665.475,662.74,0.8857592698574921,8.550037396540802,-0.004209846350351276,False
2025-09-23 12:30:00-04:00,47379,long,0.9081823825836182,665.455,663.26,0.8811924257702114,8.011894292200402,-0.003398495014689262,False
2025-09-23 13:00:00-04:00,47382,long,0.9301122426986694,665.1,663.04,-0.021246517665728132,6.58642047638176,-0.0031972786047211985,False
2025-09-23 13:40:00-04:00,47386,long,0.9547645449638367,663.38,663.28,1.9338226774429104,2.2332010835741385,-0.00025074316379759533,False
2025-09-23 14:30:00-04:00,47391,short,0.9260326027870178,662.64,662.68,1.0186116810688874,3.079708754481874,-0.00016036095853201306,False
2025-09-24 09:30:00-04:00,47400,short,0.9461885690689087,663.62,660.48,6.168687027299189,0.34488212096720955,0.0046541182170542926,True
2025-09-24 09:50:00-04:00,47402,long,0.8658071160316467,663.04,661.18,0.9380913372422887,5.117555181216015,-0.002905260617760652,False
2025-09-24 11:10:00-04:00,47410,long,0.800432562828064,662.685,660.765,0.44842378583154957,4.891895845433468,-0.00299730414903,False
2025-09-24 12:10:00-04:00,47416,long,0.9369910359382629,660.28,660.785,2.252187669960786,0.42322989771070796,0.00066482704307268,True
2025-09-24 13:10:00-04:00,47422,short,0.9112052917480469,661.18,655.6,9.796528419641385,0.9522161066867857,0.008411287370347676,False
2025-09-24 13:30:00-04:00,47424,short,0.8922716379165649,661.14,658.41,9.963276735905366,0.33045693983110036,0.004046352576662071,True
2025-09-24 14:10:00-04:00,47428,long,0.9340546131134033,660.67,658.83,1.145328604426442,9.504517971060093,-0.0028850515385895445,False
2025-09-24 15:00:00-04:00,47433,short,0.7765131592750549,660.7,659.235,9.947450201845575,1.1388851751665467,0.002122272785880719,True
2025-09-25 09:40:00-04:00,47441,long,0.7714052796363831,656.15,658.105,3.7440812428935693,1.0978015989964893,0.002879501638344928,False
2025-09-25 13:00:00-04:00,47461,long,0.8625665307044983,658.105,661.53,4.4019252799076645,4.4019252799078,0.00510433669399245,False
2025-09-25 13:20:00-04:00,47463,long,0.9416192173957825,657.325,659.88,5.913340812568584,3.4185582209974776,0.0037869661126534895,False
2025-09-25 14:00:00-04:00,47467,long,0.897142767906189,655.205,658.47,8.230366912017386,0.028797644898696115,0.004883173205332702,True
2025-09-25 15:50:00-04:00,47478,short,0.8153514266014099,657.79,660.485,-0.17630210967849383,5.742411572385861,-0.004180334905410488,False
2025-09-26 10:00:00-04:00,47483,short,0.8705098628997803,659.88,661.6,1.84666671096886,1.7424957682988111,-0.0026997581620315067,True
2025-09-26 10:20:00-04:00,47485,long,0.8894813656806946,658.77,661.315,2.673551075555245,0.6525277201355322,0.003763260318472506,True
2025-09-26 11:30:00-04:00,47492,short,0.9248614311218262,659.19,661.94,0.6320683747437785,2.679420284239677,-0.004254455086563758,False
2025-09-26 12:00:00-04:00,47495,long,0.8153839111328125,658.835,661.62,3.2218402142503346,0.13260622833041752,0.004127158545007325,True
2025-09-26 13:30:00-04:00,47504,short,0.7823274731636047,661.46,664.22,0.8662672296188545,4.637077523253417,-0.00425524976664361,False
2025-09-26 13:50:00-04:00,47506,long,0.9441803693771362,661.36,664.785,5.012542911893454,0.6835285788945481,0.0050787226321518,True
2025-09-26 15:10:00-04:00,47514,long,0.8215974569320679,661.66,663.23,5.409435197878022,0.7859863108027775,0.0022728198772783317,True
2025-09-26 15:50:00-04:00,47518,long,0.855759859085083,661.775,663.38,5.683723291840881,-0.008370726497548957,0.002325295606512723,True
2025-09-29 09:30:00-04:00,47520,short,0.9654175639152527,663.93,663.04,1.4880630964902273,1.7085168885629811,0.0012423021235521304,False
2025-09-29 10:10:00-04:00,47524,short,0.9334006309509277,664.22,662.515,2.5711185959364973,1.2462054419078836,0.0024735266371327283,False
