signal_date,theme,ticker,exit_mode,theme_score,theme_rank,theme_return_5d,theme_vs_spy_5d,theme_breadth,entropy_score,theme_duration_median,trade_return_5d,leaders
2018-01-02,advanced_packaging,AMAT,fixed_5d,0.2283868092691622,1.0,,,0.0,,1.0,0.034313417019869785,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,advanced_packaging,AMAT,rank_exit,0.2283868092691622,1.0,,,0.0,,1.0,0.034313417019869785,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,advanced_packaging,AMAT,decay_exit,0.2283868092691622,1.0,,,0.0,,1.0,0.034313417019869785,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,advanced_packaging,AMKR,fixed_5d,0.2283868092691622,1.0,,,0.0,,1.0,0.015504375042659113,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,advanced_packaging,AMKR,rank_exit,0.2283868092691622,1.0,,,0.0,,1.0,0.015504375042659113,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,advanced_packaging,AMKR,decay_exit,0.2283868092691622,1.0,,,0.0,,1.0,0.015504375042659113,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,advanced_packaging,ASX,fixed_5d,0.2283868092691622,1.0,,,0.0,,1.0,0.007553004843811051,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,advanced_packaging,ASX,rank_exit,0.2283868092691622,1.0,,,0.0,,1.0,0.007553004843811051,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,advanced_packaging,ASX,decay_exit,0.2283868092691622,1.0,,,0.0,,1.0,0.007553004843811051,AMAT|AMKR|ASX|AMAT|AMKR
2018-01-02,aerospace,BA,fixed_5d,0.2283868092691622,2.0,,,0.0,,1.0,0.0727328549894326,BA|GD|GE|BA|GD
2018-01-02,aerospace,BA,rank_exit,0.2283868092691622,2.0,,,0.0,,1.0,0.0727328549894326,BA|GD|GE|BA|GD
2018-01-02,aerospace,BA,decay_exit,0.2283868092691622,2.0,,,0.0,,1.0,0.0727328549894326,BA|GD|GE|BA|GD
2018-01-02,aerospace,GD,fixed_5d,0.2283868092691622,2.0,,,0.0,,1.0,0.026884329862815415,BA|GD|GE|BA|GD
2018-01-02,aerospace,GD,rank_exit,0.2283868092691622,2.0,,,0.0,,1.0,0.026884329862815415,BA|GD|GE|BA|GD
2018-01-02,aerospace,GD,decay_exit,0.2283868092691622,2.0,,,0.0,,1.0,0.026884329862815415,BA|GD|GE|BA|GD
2018-01-02,aerospace,GE,fixed_5d,0.2283868092691622,2.0,,,0.0,,1.0,0.032258541225150816,BA|GD|GE|BA|GD
2018-01-02,aerospace,GE,rank_exit,0.2283868092691622,2.0,,,0.0,,1.0,0.032258541225150816,BA|GD|GE|BA|GD
2018-01-02,aerospace,GE,decay_exit,0.2283868092691622,2.0,,,0.0,,1.0,0.032258541225150816,BA|GD|GE|BA|GD
2018-01-02,agriculture_food_inputs,ADM,fixed_5d,0.2283868092691622,3.0,,,0.0,,1.0,0.0032426010226556112,ADM|AGCO|BG|ADM|AGCO
2018-01-02,agriculture_food_inputs,ADM,rank_exit,0.2283868092691622,3.0,,,0.0,,1.0,0.0032426010226556112,ADM|AGCO|BG|ADM|AGCO
2018-01-02,agriculture_food_inputs,ADM,decay_exit,0.2283868092691622,3.0,,,0.0,,1.0,0.0032426010226556112,ADM|AGCO|BG|ADM|AGCO
2018-01-02,agriculture_food_inputs,AGCO,fixed_5d,0.2283868092691622,3.0,,,0.0,,1.0,0.030573776319346324,ADM|AGCO|BG|ADM|AGCO
2018-01-02,agriculture_food_inputs,AGCO,rank_exit,0.2283868092691622,3.0,,,0.0,,1.0,0.030573776319346324,ADM|AGCO|BG|ADM|AGCO
